OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,n_members
consumption rate,mean relative consumption rate,mg of aphids,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids.,-1,130
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1).,-1,130
weight loss,proportionate weight loss in relation to temperature and population,proportion,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion.,-1,130
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1.,-1,130
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days.,-1,130
oocyst prevalence,not stated,percent,Trait: oocyst prevalence. Definition: not stated. Unit: percent.,-1,130
oocyst intensity,not stated,not stated,Trait: oocyst intensity. Definition: not stated. Unit: not stated.,-1,130
sporozoite prevalence,not stated,percent,Trait: sporozoite prevalence. Definition: not stated. Unit: percent.,-1,130
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1.,-1,130
prey consumption,mean number of prey consumed,number of individual prey individual-1,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1.,-1,130
parasite maturation time,mean duration time from infective feed to mature infection,days,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days.,-1,130
interlarval period,mean frequency of larval production,days,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days.,-1,130
survival,probability of survival after exposure to extreme temperatures,probability,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability.,-1,130
fat consumption rate,mean daily rate of fat consumption,mg day-1,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1.,-1,130
blood feeding,mean lifetime blood feeds,blood meals individual-1,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1.,-1,130
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent.,-1,130
viral load,individual-level viral load,PFU (plaque-forming units),Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units).,-1,130
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days.,-1,130
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds.,-1,130
survival,individual-level binomial survival,1 = survived life stage,Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage.,-1,130
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days.,-1,130
bloodmeal weight,individual-level weight of bloodmeal,mg,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg.,-1,130
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes.,-1,130
feeding time,mean duration of adult female feeding developmental phase,days,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days.,-1,130
egg size,mean weight of egg mass produced by adult female ticks,mg,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg.,-1,130
sex ratio,ratio of male ticks to female ticks,ratio,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio.,-1,130
feeding time,mean duration of feeding developmental phase,days,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days.,-1,130
fertility,percentage of females that laid fertile eggs,percent,Trait: fertility. Definition: percentage of females that laid fertile eggs. Unit: percent.,-1,130
oviposition failure,mean probability of failure to oviposit,probability,Trait: oviposition failure. Definition: mean probability of failure to oviposit. Unit: probability.,-1,130
weight loss,cumulative weight loss across time (see notes for time intervals),percent,Trait: weight loss. Definition: cumulative weight loss across time (see notes for time intervals). Unit: percent.,-1,130
mortality,number of dead individuals per group,individuals,Trait: mortality. Definition: number of dead individuals per group. Unit: individuals.,-1,130
weight loss,mean weight loss,mg,Trait: weight loss. Definition: mean weight loss. Unit: mg.,-1,130
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,Trait: feeding preference. Definition: mean number of individual ticks selecting to feed on human (see notes for %). Unit: individuals.,-1,130
survival rate,percent surviving to oviposition,percent,Trait: survival rate. Definition: percent surviving to oviposition. Unit: percent.,-1,130
molting period (larval),mean duration of life stage,days,Trait: molting period (larval). Definition: mean duration of life stage. Unit: days.,-1,130
pre-hatch period,number of days until hatching,days,Trait: pre-hatch period. Definition: number of days until hatching. Unit: days.,-1,130
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Trait: mortality (larval). Definition: duration for 100% mortality (unfed larvae). Unit: weeks.,-1,130
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Trait: mortality (nymphal). Definition: duration for 50% mortality (unfed nymphs). Unit: weeks.,-1,130
mortality,time taken for 50% of adults to die,days,Trait: mortality. Definition: time taken for 50% of adults to die. Unit: days.,-1,130
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Trait: reproductive capacity. Definition: proportion of individuals that laid eggs after first blood meal. Unit: proportion.,-1,130
lifespan,mean duration of entrie lifespan (from egg to adult death),days,Trait: lifespan. Definition: mean duration of entrie lifespan (from egg to adult death). Unit: days.,-1,130
sex ratio,mean proportion of female adults cohort-1,ratio,Trait: sex ratio. Definition: mean proportion of female adults cohort-1. Unit: ratio.,-1,130
sex ratio,ratio of male psyllids to female psyllids,ratio,Trait: sex ratio. Definition: ratio of male psyllids to female psyllids. Unit: ratio.,-1,130
head capsule width,mean width of head capsule,mm,Trait: head capsule width. Definition: mean width of head capsule. Unit: mm.,-1,130
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,Trait: cold hardiness. Definition: percent of eggs hatched after being exposed to freezing temperatures for a given duration of time. Unit: percent.,-1,130
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,Trait: temperature thresholds for oviposition. Definition: number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held. Unit: number of eggs.,-1,130
mortality rate,inverse of mean longevity,days-1,Trait: mortality rate. Definition: inverse of mean longevity. Unit: days-1.,-1,130
life cycle,mean duration of entire life cycle,days,Trait: life cycle. Definition: mean duration of entire life cycle. Unit: days.,-1,130
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1.,-1,130
body length,replicate-level mean body length,mm,Trait: body length. Definition: replicate-level mean body length. Unit: mm.,-1,130
body size (alate nymph),mean wet mass,days,Trait: body size (alate nymph). Definition: mean wet mass. Unit: days.,-1,130
development duration,period at 4th instar,days,Trait: development duration. Definition: period at 4th instar. Unit: days.,-1,130
pre-reproductive period,period of time before female aphids reproduce,days,Trait: pre-reproductive period. Definition: period of time before female aphids reproduce. Unit: days.,-1,130
reproductive period,period of time where female aphids reproduce,days,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days.,-1,130
nymph production,number of nymphs produced / female,number of nymphs produced / female,Trait: nymph production. Definition: number of nymphs produced / female. Unit: number of nymphs produced / female.,-1,130
survival,cumulative daily survival,lx,Trait: survival. Definition: cumulative daily survival. Unit: lx.,-1,130
adult longevity,period from adult emergence until death,days,Trait: adult longevity. Definition: period from adult emergence until death. Unit: days.,-1,130
percent survival,percent of adult aphids that were still alive each day,percent,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent.,-1,130
feeding behavior,initiation of stylet penetration of leaf tissue,percent,Trait: feeding behavior. Definition: initiation of stylet penetration of leaf tissue. Unit: percent.,-1,130
Pre-reproductive average,Period from birth until first molt,days,Trait: Pre-reproductive average. Definition: Period from birth until first molt. Unit: days.,-1,130
Reproductive average,Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction,days,Trait: Reproductive average. Definition: Period from the adult stage (genital plate appeared and the complete development of the cauda) until the end of reproduction. Unit: days.,-1,130
Post-reproductive average,period from the end of reproduction until death,days,Trait: Post-reproductive average. Definition: period from the end of reproduction until death. Unit: days.,-1,130
hypostome length,mean length of hypostome (appendage on the mouth),mm,Trait: hypostome length. Definition: mean length of hypostome (appendage on the mouth). Unit: mm.,-1,130
body width,mean width (engorged),mm,Trait: body width. Definition: mean width (engorged). Unit: mm.,-1,130
feeding period,mean duration of feeding period,days,Trait: feeding period. Definition: mean duration of feeding period. Unit: days.,-1,130
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days.,-1,130
Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,Trait: Pre-Oviposition Period. Definition: Pre-oviposition period of ticks held at constant temperature. Unit: days.,-1,130
Oviposition Rate,mean number of eggs per female,eggs,Trait: Oviposition Rate. Definition: mean number of eggs per female. Unit: eggs.,-1,130
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,Trait: Weight. Definition: Weight of eggs laid by an individual engorged female raised at constant temp. Unit: g.,-1,130
Weight,Weight of an individual engorged female in grams held at constant temperature,g,Trait: Weight. Definition: Weight of an individual engorged female in grams held at constant temperature. Unit: g.,-1,130
Incubation Period,Incubation period of ticks held at constant temperature,days,Trait: Incubation Period. Definition: Incubation period of ticks held at constant temperature. Unit: days.,-1,130
Molting Period,number of days required for an individual engorged nymph to molt into an adult,days,Trait: Molting Period. Definition: number of days required for an individual engorged nymph to molt into an adult. Unit: days.,-1,130
Feeding Period,number of days required for nymphs to fully engorge,days,Trait: Feeding Period. Definition: number of days required for nymphs to fully engorge. Unit: days.,-1,130
Feeding Period of Nymphs (Days),number of days required for nymphs to fully engorge,days,Trait: Feeding Period of Nymphs (Days). Definition: number of days required for nymphs to fully engorge. Unit: days.,-1,130
feeding period,mean Feeding Period in days at larval state at constant temps,days,Trait: feeding period. Definition: mean Feeding Period in days at larval state at constant temps. Unit: days.,-1,130
feeding period,mean Feeding Period in days at adult female state at const temps,days,Trait: feeding period. Definition: mean Feeding Period in days at adult female state at const temps. Unit: days.,-1,130
weight loss,Percentage loss in body weight during female prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during female prefeeding period. Unit: percent.,-1,130
hardening period,mean time for a tick to become hardened,days,Trait: hardening period. Definition: mean time for a tick to become hardened. Unit: days.,-1,130
engorgement period,mean time required for females to become engorged,days,Trait: engorgement period. Definition: mean time required for females to become engorged. Unit: days.,-1,130
egg count,mean number of eggs layed,mg,Trait: egg count. Definition: mean number of eggs layed. Unit: mg.,-1,130
survival rate,percentage of unfed adults that survive,percent,Trait: survival rate. Definition: percentage of unfed adults that survive. Unit: percent.,-1,130
percent moult,percentage moulted engorged on calves,days,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days.,-1,130
premolting period,average pre-moulting period engorged on calves,days,Trait: premolting period. Definition: average pre-moulting period engorged on calves. Unit: days.,-1,130
percent moult,percentage moulted engorged on rabbits,percent,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent.,-1,130
engorgement period,average duration of engorgement on calves,days,Trait: engorgement period. Definition: average duration of engorgement on calves. Unit: days.,-1,130
engorgement period,average duration of engorgement on rabbits,days,Trait: engorgement period. Definition: average duration of engorgement on rabbits. Unit: days.,-1,130
feeding time,time required for larval ticks to reach engorgement post attachment,days,Trait: feeding time. Definition: time required for larval ticks to reach engorgement post attachment. Unit: days.,-1,130
molting period,time required for engorged larval ticks to molt,days,Trait: molting period. Definition: time required for engorged larval ticks to molt. Unit: days.,-1,130
pre hatching period,mean time until hatching,days,Trait: pre hatching period. Definition: mean time until hatching. Unit: days.,-1,130
questing,mean percent of ticks questing,percent,Trait: questing. Definition: mean percent of ticks questing. Unit: percent.,-1,130
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,Trait: lipid content. Definition: median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight. Unit: NA.,-1,130
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,-1,130
Distance Traveled,Average distance covered per hour while questing,mm,Trait: Distance Traveled. Definition: Average distance covered per hour while questing. Unit: mm.,-1,130
Questing Time,Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours,percent,Trait: Questing Time. Definition: Mean proportion of time tick seen questing (legs spread more than 50 percent) across the 38 hours. Unit: percent.,-1,130
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,Trait: Questing Height. Definition: questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline. Unit: mm.,-1,130
Mortality Rate,number that survived the 38 hours,count,Trait: Mortality Rate. Definition: number that survived the 38 hours. Unit: count.,-1,130
Mortality Rate,number that survived the 43 hours,count,Trait: Mortality Rate. Definition: number that survived the 43 hours. Unit: count.,-1,130
Water loss,Water loss of ticks exposed to dry air for 24 hours,mg/cm2,Trait: Water loss. Definition: Water loss of ticks exposed to dry air for 24 hours. Unit: mg/cm2.,-1,130
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,Trait: Weight loss. Definition: Weight loss of ticks exposed to dry air for 24 hours. Unit: percent.,-1,130
Water loss,Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins,mg/cm2,Trait: Water loss. Definition: Water loss of dead engorged ticks exposed to dry air at a certain temperature for 30 mins. Unit: mg/cm2.,-1,130
Mortality Rate,Percent mortality in engorged ticks before moulting,percent,Trait: Mortality Rate. Definition: Percent mortality in engorged ticks before moulting. Unit: percent.,-1,130
Pre-Oviposition Period in engorged females,Pre-Oviposition Period in engorged females,days-1,Trait: Pre-Oviposition Period in engorged females. Definition: Pre-Oviposition Period in engorged females. Unit: days-1.,-1,130
Development Rate (Egg),1 / time for egg incubation across const temps,days-1,Trait: Development Rate (Egg). Definition: 1 / time for egg incubation across const temps. Unit: days-1.,-1,130
Development Rate (Larva),1 / development time of Engorged Larva,days-1,Trait: Development Rate (Larva). Definition: 1 / development time of Engorged Larva. Unit: days-1.,-1,130
Development Rate (Nymph),1 / development time of Engorged Nymph,days-1,Trait: Development Rate (Nymph). Definition: 1 / development time of Engorged Nymph. Unit: days-1.,-1,130
oviposition,daily average number of eggs / female,eggs,Trait: oviposition. Definition: daily average number of eggs / female. Unit: eggs.,-1,130
Development Rate,percent of immature stages remaining x days after attatchment,percent,Trait: Development Rate. Definition: percent of immature stages remaining x days after attatchment. Unit: percent.,-1,130
Development Rate,Percent of emerging males who develop on day X after attatchment (premolt period),percent,Trait: Development Rate. Definition: Percent of emerging males who develop on day X after attatchment (premolt period). Unit: percent.,-1,130
Development Rate,Percent of emerging females who develop on day X after attatchment (premolt period),percent,Trait: Development Rate. Definition: Percent of emerging females who develop on day X after attatchment (premolt period). Unit: percent.,-1,130
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Trait: metabolic rate. Definition: mean CO2 production (VCO2) (RMR: resting metabolic rate). Unit: uL h-1.,0,10
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),ml CO2 h-1,Trait: metabolic rate. Definition: mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor). Unit: ml CO2 h-1.,0,10
metabolic rate,mean CO2 production rate,ul CO2 h-1,Trait: metabolic rate. Definition: mean CO2 production rate. Unit: ul CO2 h-1.,0,10
metabolic rate (active),mean active metabolic rate (AMR),ml CO2 h-1,Trait: metabolic rate (active). Definition: mean active metabolic rate (AMR). Unit: ml CO2 h-1.,0,10
metabolic rate,mean respiratory CO2 rate (RCO2),pmol mg-1 s-1,Trait: metabolic rate. Definition: mean respiratory CO2 rate (RCO2). Unit: pmol mg-1 s-1.,0,10
metabolic heat rate,mean metabolic heat rate (or 455RCO2),uW mg-1,Trait: metabolic heat rate. Definition: mean metabolic heat rate (or 455RCO2). Unit: uW mg-1.,0,10
anabolic rate,mean anabolic rate,uW mg-1,Trait: anabolic rate. Definition: mean anabolic rate. Unit: uW mg-1.,0,10
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,Ml O2 g thorax-1 h-1,Trait: metabolic rate (resting). Definition: mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation. Unit: Ml O2 g thorax-1 h-1.,0,10
metabolic rate,mean oxygen uptake rate,ml O2 g-1 h-1,Trait: metabolic rate. Definition: mean oxygen uptake rate. Unit: ml O2 g-1 h-1.,0,10
metabolic rate (standard),mean CO2 production rate (VCO2),ml CO2 g-1 h-1,Trait: metabolic rate (standard). Definition: mean CO2 production rate (VCO2). Unit: ml CO2 g-1 h-1.,0,10
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,percent,Trait: conversion efficiency index. Definition: percentage of adult female weight post feeding that was converted into egg mass. Unit: percent.,1,10
conversion efficiency index,total mg eggs produced divided by mg engorged weight,proportion,Trait: conversion efficiency index. Definition: total mg eggs produced divided by mg engorged weight. Unit: proportion.,1,10
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,Trait: feed conversion rate. Definition: ability to produce eggs relative to the weight at detachment of each engorged female. Unit: percent.,1,10
conversion efficiency,total number of eggs produced divided by engorged weight,eggs individual-1 mg-1,Trait: conversion efficiency. Definition: total number of eggs produced divided by engorged weight. Unit: eggs individual-1 mg-1.,1,10
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,Trait: reproductive efficiency index. Definition: mean number of eggs per mg weight of engorged female. Unit: eggs individual-1 mg-1.,1,10
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,Trait: reproductive efficiency index. Definition: ratio of lifetime eggs to engorged female weight. Unit: eggs individual-1 day-1.,1,10
Efficency,Percent weight transfered from engorged female at constant temperature to mass of eggs,percent,Trait: Efficency. Definition: Percent weight transfered from engorged female at constant temperature to mass of eggs. Unit: percent.,1,10
conversion efficiency,the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs,ratio,Trait: conversion efficiency. Definition: the ratio of laid eggs to engorged female body mass calculated as the sum of all eggs laid divided by the sum of all females laying eggs. Unit: ratio.,1,10
egg conversion ratio,mean weight of eggs / mean weight of engorged females,percent,Trait: egg conversion ratio. Definition: mean weight of eggs / mean weight of engorged females. Unit: percent.,1,10
conversion efficiency,Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100,percent,Trait: conversion efficiency. Definition: Mean index of conversion efficiency- (cumulative egg weight (g)/ replete female tick wt (g) )*100. Unit: percent.,1,10
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Trait: gonotrophic cycle. Definition: mean number of gonotrophic cycles completed in individuals lifetime. Unit: days.,2,5
gonotrophic cycle,mean duration of gonotrophic cycle (7th),days,Trait: gonotrophic cycle. Definition: mean duration of gonotrophic cycle (7th). Unit: days.,2,5
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,days,Trait: gonotrophic cycle 1. Definition: individual-level duration of first gonotrophic cycle. Unit: days.,2,5
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,days,Trait: gonotrophic cycle 2. Definition: individual-level duration of second gonotrophic cycle. Unit: days.,2,5
gonotrophic cycle,individual-level lifetime number of cycles completed,lifetime cycles,Trait: gonotrophic cycle. Definition: individual-level lifetime number of cycles completed. Unit: lifetime cycles.,2,5
weight loss,nymphal weight loss during molting stage,percent,Trait: weight loss. Definition: nymphal weight loss during molting stage. Unit: percent.,3,5
weight loss,Percentage loss in body weight during larval prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during larval prefeeding period. Unit: percent.,3,5
weight loss,Percentage loss in body weight during larval molting period,percent,Trait: weight loss. Definition: Percentage loss in body weight during larval molting period. Unit: percent.,3,5
weight loss,Percentage loss in body weight during nymphal prefeeding period,percent,Trait: weight loss. Definition: Percentage loss in body weight during nymphal prefeeding period. Unit: percent.,3,5
weight loss,Percentage loss in body weight during nymphal molting period,percent,Trait: weight loss. Definition: Percentage loss in body weight during nymphal molting period. Unit: percent.,3,5
fecundity,mean lifetime offspring,offspring individual-1,Trait: fecundity. Definition: mean lifetime offspring. Unit: offspring individual-1.,4,68
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Trait: fecundity rate. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1.,4,68
fecundity,mean lifetime nymphs individual-1,nymphs individual-1,Trait: fecundity. Definition: mean lifetime nymphs individual-1. Unit: nymphs individual-1.,4,68
fecundity rate,mean eggs individual-1 day-1,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs individual-1 day-1. Unit: eggs individual-1 day-1.,4,68
fecundity rate,mean offspring per day,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per day. Unit: eggs individual-1 day-1.,4,68
fecundity,mean number of progeny in a reproductive period equal to development time,progeny indidividual-1,Trait: fecundity. Definition: mean number of progeny in a reproductive period equal to development time. Unit: progeny indidividual-1.,4,68
fecundity,mean lifetime eggs individual-1,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs individual-1. Unit: eggs individual-1.,4,68
fecundity,mean eggs produced per plant,eggs plant-1,Trait: fecundity. Definition: mean eggs produced per plant. Unit: eggs plant-1.,4,68
fecundity,mean number of eggs per cycle,eggs individual-1 cycle-1,Trait: fecundity. Definition: mean number of eggs per cycle. Unit: eggs individual-1 cycle-1.,4,68
fecundity,mean lifetime egg punctures,egg punctures individual-1,Trait: fecundity. Definition: mean lifetime egg punctures. Unit: egg punctures individual-1.,4,68
fecundity rate,mean eggs per unit time,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs per unit time. Unit: eggs individual-1 day-1.,4,68
fecundity rate,mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per unit time. Unit: offspring individual-1 day-1.,4,68
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Trait: reproductive capacity. Definition: mean lifetime nymphs (30 days). Unit: nymphs individual-1.,4,68
fecundity,mean lifetime eggs per 10 individuals,eggs 10 individuals-1,Trait: fecundity. Definition: mean lifetime eggs per 10 individuals. Unit: eggs 10 individuals-1.,4,68
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Trait: age specific fecundity. Definition: mean number of female offspring individual-1 at specific age. Unit: females individual-1.,4,68
fecundity,mean number of female offspring individual-1,females individual-1,Trait: fecundity. Definition: mean number of female offspring individual-1. Unit: females individual-1.,4,68
fecundity,mean lifetime eggs per individual (across all humdity levels),eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs per individual (across all humdity levels). Unit: eggs individual-1.,4,68
fecundity,mean lifetime eggs per individual,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs per individual. Unit: eggs individual-1.,4,68
fecundity rate,maximum progengy individual-1 day-1,progeny individual-1 day-1,Trait: fecundity rate. Definition: maximum progengy individual-1 day-1. Unit: progeny individual-1 day-1.,4,68
fecundity,mean number of eggs per cycle (1st),eggs individual-1 cycle-1,Trait: fecundity. Definition: mean number of eggs per cycle (1st). Unit: eggs individual-1 cycle-1.,4,68
fecundity rate,mean lifetime offspring,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean lifetime offspring. Unit: offspring individual-1 day-1.,4,68
fecundity,mean offspring per reproduction day,offspring individual-1 day-1,Trait: fecundity. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1.,4,68
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,Trait: fecundity. Definition: mean lifetime offspring as a function of size and adult and growth temperature. Unit: offspring individual-1.,4,68
