query_trait,ontology,term_id,term_label,term_definition
gonotrophic cycle 2,PATO,GO:0007113,endomitotic cell cycle,"Note that this term should not be confused with 'abortive mitotic cell cycle ; GO:0033277'. Although abortive mitosis is sometimes called endomitosis, GO:0033277 refers to a process in which a mitotic spindle forms and chromosome separation begins."
gonotrophic cycle 2,PATO,GO:0022402,cell cycle process,The cellular process that ensures successive accurate and complete genome replication and chromosome segregation.
growth rate,OBA,PATO:0001492,growth rate,NA
growth rate,OBA,OBA:0002215,growth rate trait,The rate of a growth.
growth rate,OBA,OBA:2045230,growth rate attribute,The growth rate of a growth.
growth rate,OBA,OBA:0002148,growth hormone secretion rate,The rate of a growth hormone secretion.
growth rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
growth rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
growth rate,PATO,PATO:0040045,population growth rate,The rate or speed of the change in in number of a population.
growth rate,PATO,PATO:0040046,single organismal growth rate,The rate or speed of the change in size of an individual entity.
growth rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
growth rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
hardening period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
hardening period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
hardening period,OBA,PR:000050150,period circadian protein homolog,Category=family.
hardening period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
hardening period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
hardening period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
hardening period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
hardening period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
hardening period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
hardening period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
hatch rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
hatch rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
hatch rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
hatch rate,OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
hatch rate,OBA,OBA:0003172,anagen rate,The rate of a anagen.
hatch rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
hatch rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
hatch rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
hatch rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
hatch rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
hatch ratio,OBA,OBA:2045389,leukocyte ratio,The ratio of a leukocyte.
hatch ratio,OBA,OBA:2045390,basophil ratio,The ratio of a basophil.
hatch ratio,OBA,OBA:2045391,eosinophil ratio,The ratio of a eosinophil.
hatch ratio,OBA,OBA:2045459,digit length ratio,A compound attribute that is the ratio of digit length to digit length.
hatch ratio,OBA,OBA:1000024,subcutaneous adipose tissue ratio,The ratio of a subcutaneous adipose tissue.
hatch ratio,PATO,PATO:0001470,ratio,A quality inhering in a bearer by virtue of the bearer's magnitude in proportion to the magnitude of another entity.
hatch ratio,PATO,PATO:0040042,decreased ratio,Example: decreased proportion of CD4 T cells relative to total T cells.
hatch ratio,PATO,PATO:0040043,increased ratio,Example: increased proportion of CD4 T cells relative to total T cells.
hatch ratio,PATO,PATO:0040071,nuclear/cytoplasmic ratio,A quality inhering in a cell by virtue of the ratio between the volume of its nucleus and the volume of its cytoplasm.
hatch ratio,PATO,PATO:0040072,high nuclear/cytoplasmic ratio,A high nuclear/cytolasmic ratio is 70% or higher.
hatch time,OBA,PATO:0000165,time,NA
hatch time,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.
hatch time,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.
hatch time,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.
hatch time,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.
hatch time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
hatch time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
hatch time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
hatch time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
hatch time,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition."
hatching period,OBA,OBA:0003853,blastocyst hatching amount,The amount of a blastocyst hatching.
hatching period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
hatching period,OBA,OBA:0003854,blastocyst hatching onset quality,The onset quality of a blastocyst hatching.
hatching period,OBA,GO:0035188,hatching,NA
hatching period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
hatching period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
hatching period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
hatching period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
hatching period,PATO,GO:0009792,embryo development ending in birth or egg hatching,"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."
hatching period,PATO,UBERON:0000092,post-embryonic stage,"Stage succeeding embryo, including mature structure."
hatching range,OBA,OBA:0003853,blastocyst hatching amount,The amount of a blastocyst hatching.
hatching range,OBA,OBA:0003854,blastocyst hatching onset quality,The onset quality of a blastocyst hatching.
hatching range,OBA,GO:0035188,hatching,NA
hatching range,OBA,GO:0001835,blastocyst hatching,"See also the Anatomical Dictionary for Mouse Development ontology terms 'TS4, zona pellucida ; EMAP:22' and 'TS5, embryo ; EMAP:23'."
hatching range,OBA,GO:0009792,embryo development ending in birth or egg hatching,NA
hatching range,PATO,GO:0009792,embryo development ending in birth or egg hatching,"The process whose specific outcome is the progression of an embryo over time, from zygote formation until the end of the embryonic life stage. The end of the embryonic life stage is organism-specific and may be somewhat arbitrary; for mammals it is usually considered to be birth, for insects the hatching of the first instar larva from the eggshell."
hatching range,PATO,UBERON:0000092,post-embryonic stage,"Stage succeeding embryo, including mature structure."
hatching range,PATO,PATO:0001524,intrasonic,A sound frequency in the range of 0-20 Hz.
hatching range,PATO,PATO:0001526,ultrasonic,A sound frequency in the range of 20 000 + Hz.
hatching range,PATO,PATO:0001292,full-spectrum EM radiation quality,An EM radiation quality that is independent of the EM wavelength range.
hatching rate,OBA,OBA:0003853,blastocyst hatching amount,The amount of a blastocyst hatching.
hatching rate,OBA,OBA:0003854,blastocyst hatching onset quality,The onset quality of a blastocyst hatching.
hatching rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
hatching rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
hatching rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
hatching rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
hatching rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
hatching rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
hatching rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
hatching rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
head capsule width,OBA,OBA:VT0000027,head width,The width of a head.
head capsule width,OBA,OBA:1000085,nucleus width,The width of a nucleus.
head capsule width,OBA,OBA:2040146,cell width,The width of a cell.
head capsule width,OBA,OBA:VT0000132,epiphysis width,The width of a epiphysis.
head capsule width,OBA,OBA:VT0003588,ureter width,The width of a ureter.
head capsule width,PATO,PATO:0000921,width,"Width often refers to the dimension that is greater than the extent in only one of the other two orthogonal dimensions, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion."
head capsule width,PATO,PATO:0000599,decreased width,A width which is relatively small.
head capsule width,PATO,PATO:0000600,increased width,A width which is relatively large.
head capsule width,PATO,PATO:0045061,normal width,A width which is relatively normal or average
head capsule width,PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased."
heat knockdown time,OBA,OBA:2040442,level of heat shock protein 105 kDa in blood serum,The amount of a heat shock protein 105 kDa when measured in blood serum.
heat knockdown time,OBA,OBA:2041950,level of heat shock protein beta-3 in blood serum,The amount of a heat shock protein beta-3 when measured in blood serum.
heat knockdown time,OBA,OBA:2041951,level of heat shock protein beta-6 in blood serum,The amount of a heat shock protein beta-6 when measured in blood serum.
heat knockdown time,OBA,OBA:2050696,level of heat shock factor 2-binding protein in blood,The amount of a heat shock factor 2-binding protein when measured in blood.
heat knockdown time,OBA,OBA:2051470,level of heat shock factor-binding protein 1 in blood,The amount of a heat shock factor-binding protein 1 when measured in blood.
heat knockdown time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
heat knockdown time,PATO,PATO:0001756,heat conductivity,A conductivity quality inhering in a bearer by virtue of the bearer's disposition to spontaneous transfer of thermal energy from a region of higher temperature to a region of lower temperature.
heat knockdown time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
heat knockdown time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
heat knockdown time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
hypostome length,OBA,OBA:0000102,microvillus length,The length of a microvillus.
hypostome length,OBA,OBA:0002056,face length,The length of a face.
hypostome length,OBA,OBA:0002069,chin length,The length of a chin.
hypostome length,OBA,OBA:0002102,neck length,The length of a neck.
hypostome length,OBA,OBA:0002110,eyelash length,The length of a eyelash.
hypostome length,PATO,PATO:0000122,length,"Length often refers to the longer or longest dimension of an object, however, this is not always true. See https://github.com/pato-ontology/pato/issues/337 for full discussion."
hypostome length,PATO,PATO:0000573,increased length,A length quality which is relatively large.
hypostome length,PATO,PATO:0000574,decreased length,A length quality which is relatively small.
hypostome length,PATO,PATO:0045054,normal length,A length quality which is relatively normal or average
hypostome length,PATO,PATO:0040030,decreased width and length,"A width and length quality which is relatively small, where both width and length are decreased."
incubation period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
incubation period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
incubation period,OBA,PR:000050150,period circadian protein homolog,Category=family.
incubation period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
incubation period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
incubation period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
incubation period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
incubation period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
incubation period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
incubation period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
interlarval period,OBA,OBA:VT0002292,gestation period duration,The duration of a female pregnancy.
interlarval period,OBA,OBA:2051617,level of period circadian protein homolog 3 in blood,The amount of a period circadian protein homolog 3 when measured in blood.
interlarval period,OBA,PR:000050150,period circadian protein homolog,Category=family.
interlarval period,OBA,PR:000012549,period circadian protein homolog 3,Category=gene.
interlarval period,OBA,PR:O70361,period circadian protein homolog 3 (mouse),Category=organism-gene.
interlarval period,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
interlarval period,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
interlarval period,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
interlarval period,PATO,PATO:0000695,synchronous,A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase.
interlarval period,PATO,PATO:0000688,asynchronous,A quality of a single process inhering in a bearer by virtue of the bearer's not occurring or existing at the same time or having the same period or phase.
juvenile life span,OBA,OBA:0003653,multicellular organism life span,The life span of a multicellular organism.
juvenile life span,OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
juvenile life span,OBA,PATO:0000050,life span,NA
juvenile life span,OBA,PATO:0001603,increased life span,NA
juvenile life span,OBA,PATO:0001604,decreased life span,NA
juvenile life span,PATO,PATO:0000050,life span,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.
juvenile life span,PATO,PATO:0001603,increased life span,A life span which is relatively high.
juvenile life span,PATO,PATO:0001604,decreased life span,A life span which is relatively low.
juvenile life span,PATO,PATO:0045026,normal life span,A life span which is relatively normal or average.
juvenile life span,PATO,PATO:0001190,juvenile,A maturity quality inhering in a bearer by virtue the bearer's being not fully grown or developed.
knockdown time,OBA,PATO:0000165,time,NA
knockdown time,OBA,OBA:2040171,sleep duration trait,The duration of a sleep.
knockdown time,OBA,OBA:2040011,trait in response to mycophenolic acid,A trait that affects the response to a stimulus with mycophenolic acid.
knockdown time,OBA,OBA:2045215,menstrual cycle attribute,The quality of a menstrual cycle.
knockdown time,OBA,OBA:2001010,age of onset of essential hypertension,The age at which essential hypertension manifestations first appear.
knockdown time,PATO,PATO:0000165,time,A quality in which events occur in sequence.
knockdown time,PATO,PATO:0000498,increased duration,A duration quality of a process which is relatively high.
knockdown time,PATO,PATO:0000499,decreased duration,A duration quality of a process which is relatively low.
knockdown time,PATO,PATO:0001309,duration,A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.
knockdown time,PATO,PATO:0001005,latency,"This class is a candidate for obsoletion. The definition is not clear, and the placement under ""delayed"" is not consistent with the definition."
larval hatch rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
larval hatch rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
larval hatch rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
larval hatch rate,OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
larval hatch rate,OBA,OBA:0003172,anagen rate,The rate of a anagen.
larval hatch rate,PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
larval hatch rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
larval hatch rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
larval hatch rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
larval hatch rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
life cycle,OBA,UBERON:0000104,life cycle,NA
life cycle,OBA,OBA:2020001,life cycle stage trait,The quality of a life cycle stage.
life cycle,OBA,OBA:2045261,quality of life cycle,The quality of a life cycle.
life cycle,OBA,UBERON:0000105,life cycle stage,NA
life cycle,OBA,OBA:0003653,multicellular organism life span,The life span of a multicellular organism.
life cycle,PATO,UBERON:0000104,life cycle,"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."
life cycle,PATO,UBERON:0000105,life cycle stage,A spatiotemporal region encompassing some part of the life cycle of an organism.
life cycle,PATO,PATO:0000050,life span,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.
life cycle,PATO,PATO:0001603,increased life span,A life span which is relatively high.
life cycle,PATO,PATO:0001604,decreased life span,A life span which is relatively low.
lifespan,OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
lifespan,OBA,GO:0008340,determination of adult lifespan,NA
lifespan,OBA,CHEBI:176497,geroprotector,"Any compound that supports healthy aging, slows the biological aging process, or extends lifespan."
lifespan,OBA,HP:0031467,Dysregulated negative emotional state,"Manifestations may be conveyed through self-report or observed through behavior, allowing applicability across the lifespan and in individuals with limited verbal communication. This term refers to an observed negative emotional state rather than enduring traits of personality or temperament."
lifespan,PATO,UBERON:0000104,life cycle,"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."
lipid content,OBA,HP:0009058,Increased muscle lipid content,Increased neutral lipid content may be observed on muscle biopsies specimen with the specific staining of Sudan black or oil red O techniques by optic microscopy.
lipid content,OBA,OBA:2045435,stomach content pH,The acidity of a stomach lumen.
lipid content,OBA,OBA:VT0010714,milk zinc content,The amount of a zinc atom when measured in milk.
lipid content,OBA,OBA:VT0001547,lipid amount,The amount of a lipid when measured in anatomical entity.
lipid content,OBA,OBA:2045301,erythrocyte hemoglobin content trait,The amount of a hemoglobin when measured in erythrocyte.
lipid content,PATO,PATO:0000025,composition,"For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood)."
lipid content,PATO,CHEBI:18059,lipid,"'Lipids' is a loosely defined term for substances of biological origin that are soluble in nonpolar solvents. They consist of saponifiable lipids, such as glycerides (fats and oils) and phospholipids, as well as nonsaponifiable lipids, principally steroids."
lipid content,PATO,GO:0006869,lipid transport,"The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
lipid content,PATO,GO:0010876,lipid localization,"Any process in which a lipid is transported to, or maintained in, a specific location."
lipid content,PATO,GO:0006629,lipid metabolic process,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
longevity,OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
longevity (alate),OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
longevity (apterous),OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
maximum fecundity,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
maximum fecundity,OBA,PATO:0000273,fecundity,NA
maximum fecundity,OBA,PATO:0001695,increased fecundity,NA
maximum fecundity,OBA,PATO:0001696,decreased fecundity,NA
maximum fecundity,OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
maximum fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
maximum fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
maximum fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
maximum fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
maximum fecundity,PATO,PATO:0000050,life span,A time quality inhering in a bearer by virtue of the bearer's expected maximum age.
mean fecundity,OBA,OBA:0003697,multicellular organism fecundity,The fecundity of a multicellular organism.
mean fecundity,OBA,PATO:0000273,fecundity,NA
mean fecundity,OBA,PATO:0001695,increased fecundity,NA
mean fecundity,OBA,PATO:0001696,decreased fecundity,NA
mean fecundity,OBA,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
mean fecundity,PATO,PATO:0000273,fecundity,A reproductive quality inhering in an organism or population by virtue of the bearer's potential reproductive capacity ad measured by the number of gametes.
mean fecundity,PATO,PATO:0001695,increased fecundity,A fecundity which is relatively high.
mean fecundity,PATO,PATO:0001696,decreased fecundity,A fecundity which is relatively low.
mean fecundity,PATO,PATO:0045017,normal fecundity,A fecundity which is relatively normal or average.
mean fecundity,PATO,PATO:0040060,absence of anatomical entity,"Absence of anatomical entity should only be used when all of the entity is absent. For example, absent teeth would mean all teeth are absent not some teeth are absent."
mean longevity,OBA,HP:0005537,Decreased mean platelet volume,"Mean platelet volume (MPV) is a measure of the average size of platelets, with a typical reference range of 7.5 to 11.5 femtoliters (fL)."
mean longevity,OBA,HP:0011877,Increased mean platelet volume,"Mean platelet volume (MPV) is a measure of the average size of platelets, with a typical reference range of 7.5 to 11.5 femtoliters (fL)."
mean longevity,OBA,OBA:VT0005372,life span determination trait,The process quality of a determination of adult lifespan.
mean longevity,OBA,OBA:0003277,platelet volume,The volume of a platelet.
mean longevity,OBA,OBA:0003460,erythrocyte volume,The volume of a erythrocyte.
mean longevity,PATO,PATO:0040060,absence of anatomical entity,"Absence of anatomical entity should only be used when all of the entity is absent. For example, absent teeth would mean all teeth are absent not some teeth are absent."
mean longevity,PATO,PATO:0103004,total amount,"A quantitative quality that represents the sum of all 'amount' qualities of the component parts that constitute a whole entity. The total amount quality inheres in the whole entity and reflects the aggregate measure across all its components, such that changes in the amount of individual components may not necessarily correspond to equivalent changes in the total amount of the whole.

Example of usage: ""blood total protein amount"" represents the sum of the amounts of all protein types in blood, while ""blood leptin amount"" represents only the amount of leptin proteins. An increase in blood leptin amount does not necessarily mean an increase in blood total protein amount, as other protein levels may decrease simultaneously."
mean longevity,PATO,PATO:0103001,total mass,"A quantitative quality that represents the sum of all 'mass' qualities of the component parts that constitute a whole entity. The total mass quality inheres in the whole entity and reflects the aggregate measure of mass across all its components, such that changes in the mass of individual components may not necessarily correspond to equivalent changes in the total mass of the whole.

Example of usage: ""total body mass"" represents the sum of the masses of all tissues and organs in the body, while ""liver mass"" represents only the mass of the liver. An increase in liver mass does not necessarily mean an increase in total body mass, as the mass of other organs or tissues may decrease simultaneously."
mean longevity,PATO,GO:0030323,respiratory tube development,"The process whose specific outcome is the progression of the respiratory tube over time, from its formation to the mature structure. The respiratory tube is assumed to mean any tube in the respiratory tract."
mean longevity,PATO,GO:0030133,transport vesicle,"Note that the term 'secretory vesicle' is sometimes used in this sense, but can also mean 'secretory granule ; GO:0030141'."
metabolic heat rate,OBA,OBA:0002575,galactose metabolic process rate,The rate of a galactose metabolic process.
metabolic heat rate,OBA,OBA:0003195,fructose metabolic process rate,The rate of a fructose metabolic process.
metabolic heat rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
metabolic heat rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
metabolic heat rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
metabolic heat rate,PATO,PATO:0001756,heat conductivity,A conductivity quality inhering in a bearer by virtue of the bearer's disposition to spontaneous transfer of thermal energy from a region of higher temperature to a region of lower temperature.
metabolic heat rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
metabolic heat rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
metabolic heat rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
metabolic heat rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
metabolic rate,OBA,OBA:0002575,galactose metabolic process rate,The rate of a galactose metabolic process.
metabolic rate,OBA,OBA:0003195,fructose metabolic process rate,The rate of a fructose metabolic process.
metabolic rate,OBA,OBA:0002011,micturition rate,The rate of a micturition.
metabolic rate,OBA,OBA:0002200,reflex rate,The rate of a reflex.
metabolic rate,OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
metabolic rate,PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
metabolic rate,PATO,PATO:0000911,decreased rate,A rate which is relatively low.
metabolic rate,PATO,PATO:0000912,increased rate,A rate which is relatively high.
metabolic rate,PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
metabolic rate,PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
metabolic rate (active),OBA,OBA:0002575,galactose metabolic process rate,The rate of a galactose metabolic process.
metabolic rate (active),OBA,OBA:0003195,fructose metabolic process rate,The rate of a fructose metabolic process.
metabolic rate (active),OBA,OBA:0002011,micturition rate,The rate of a micturition.
metabolic rate (active),OBA,OBA:0002200,reflex rate,The rate of a reflex.
metabolic rate (active),OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
metabolic rate (active),PATO,PATO:0002354,active,A quality of an physical object that is currently realizing one of its functions.
metabolic rate (active),PATO,PATO:0001707,behavioural active,A behavioral quality of a process inhering in a bearer by virtue of the bearer's exhibiting marked activity.
metabolic rate (active),PATO,PATO:0002356,constitutively active,A quality of a physical object that has been constantly realizing some of its functions.
metabolic rate (active),PATO,PATO:0002414,chronic-active,"A quality of duration having progressive course of indefinite duration with active, acute-like elements."
metabolic rate (active),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
metabolic rate (resting),OBA,OBA:0002575,galactose metabolic process rate,The rate of a galactose metabolic process.
metabolic rate (resting),OBA,OBA:0003195,fructose metabolic process rate,The rate of a fructose metabolic process.
metabolic rate (resting),OBA,OBA:0000134,resting membrane potential,NA
metabolic rate (resting),OBA,OBA:1000821,resting posture quality,The quality of a resting posture.
metabolic rate (resting),OBA,OBA:1001087,heart rate,The rate of a heart contraction.
metabolic rate (resting),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
metabolic rate (resting),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
metabolic rate (resting),PATO,PATO:0000912,increased rate,A rate which is relatively high.
metabolic rate (resting),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
metabolic rate (resting),PATO,PATO:0001574,flow rate,A physical quality inhering in a bearer by virtue of the bearer's motion characteristic.
metabolic rate (standard),OBA,OBA:0002575,galactose metabolic process rate,The rate of a galactose metabolic process.
metabolic rate (standard),OBA,OBA:0003195,fructose metabolic process rate,The rate of a fructose metabolic process.
metabolic rate (standard),OBA,OBA:0002011,micturition rate,The rate of a micturition.
metabolic rate (standard),OBA,OBA:0002200,reflex rate,The rate of a reflex.
metabolic rate (standard),OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
metabolic rate (standard),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
metabolic rate (standard),PATO,PATO:0070017,standard pyramidal morphology,A pyramidal family morphology that inheres in neurons which have a standard pyramidal shape with its apical dendrite aligned vertically.
metabolic rate (standard),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
metabolic rate (standard),PATO,PATO:0000912,increased rate,A rate which is relatively high.
metabolic rate (standard),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
molt success rate (larval),OBA,OBA:0002011,micturition rate,The rate of a micturition.
molt success rate (larval),OBA,OBA:0002200,reflex rate,The rate of a reflex.
molt success rate (larval),OBA,OBA:0002672,gluconeogenesis rate,The rate of a gluconeogenesis.
molt success rate (larval),OBA,OBA:0002850,spermatogenesis rate,The rate of a spermatogenesis.
molt success rate (larval),OBA,OBA:0003172,anagen rate,The rate of a anagen.
molt success rate (larval),PATO,PATO:0001185,larval,"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."
molt success rate (larval),PATO,PATO:0000161,rate,A quality of a single process inhering in a bearer by virtue of the bearer's occurrence per unit time.
molt success rate (larval),PATO,PATO:0000911,decreased rate,A rate which is relatively low.
molt success rate (larval),PATO,PATO:0000912,increased rate,A rate which is relatively high.
molt success rate (larval),PATO,PATO:0001492,growth rate,The rate or speed of the change in size of an individual entity or change in number of a population.
