Id,DatasetID,IndividualID,OriginalID,OriginalTraitName,OriginalTraitDef,StandardisedTraitName,StandardisedTraitDef,OriginalTraitValue,OriginalTraitUnit,OriginalErrorPos,OriginalErrorNeg,OriginalErrorUnit,StandardisedTraitValue,StandardisedTraitUnit,Replicates,Habitat,LabField,AmbientTemp,AmbientTempMethod,AmbientTempUnit,SecondStressor,SecondStressorDef,SecondStressorValue,SecondStressorUnit,TimeStart,TimeEnd,TotalObsTimeValue,TotalObsTimeUnit,TotalObsTimeNotes,Location,LocationType,LocationDate,LocationDatePrecision,CoordinateType,Latitude,Longitude,Interactor1,Interactor1Common,Interactor1Wholepart,Interactor1Number,Interactor1Kingdom,Interactor1Phylum,Interactor1Class,Interactor1Order,Interactor1Family,Interactor1Genus,Interactor1Species,Interactor1Stage,Interactor1Sex,Interactor1Temp,Interactor1TempUnit,Interactor1TempMethod,Interactor1GrowthTemp,Interactor1GrowthTempUnit,Interactor1GrowthDur,Interactor1GrowthdDurUnit,Interactor1GrowthType,Interactor1Acc,Interactor1AccTemp,Interactor1AccTime,Interactor1AccTimeUnit,Interactor1OrigTempNotes,Interactor1OrigTime,Interactor1OrigTimeUnit,Interactor1Size,Interactor1SizeUnit,Interactor1SizeType,Interactor1SizeSI,Interactor1SizeUnitSI,Interactor1DenValue,Interactor1DenUnit,Interactor2Common,Interactor2Kingdom,Interactor2Phylum,Interactor2Class,Interactor2Order,Interactor2Family,Interactor2Genus,Interactor2Species,Interactor2Stage,Interactor2Temp,Interactor2TempUnit,Interactor2GrowthTemp,Interactor2GrowthTempUnit,FigureTable,Citation,DOI,CuratedByCitation,CuratedByDOI,SubmittedBy,ContributorEmail,Notes,DefaultChartXaxis,DefaultChartCategory,EmbargoReleaseDate,cluster_id,version
81685,24,,LC1121,fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,,,25.3,nymphs unit time-1,0.99,0.99,se,,,,terrestrial,laboratory,,,,low-content DIMBOA,,,,,,,,,Lleida Spain,field,,0,decimal,41.62064,0.61993,Rhopalosiphum padi,Bird cherry-oat aphid,,148.0,Animalia,Arthropoda,Insecta,Homoptera,Aphididae,Rhopalosiphum,padi,adult,,18.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 3,Asin and Pons 2001. Effect of high temperature on the growth and reproduction of Corn Aphids (Homoptera: Aphididae) and implications for their population dynamics on the northeastern Iberian peninsula. Environ. Entomol. 30,10.1603/0046-225X-30.6.1127,,,Lauren Chapman,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2001,29,v1
81697,27,,LC113,mortality,percent not surviving life stage,zj,juvenile mortality rate,25.5,percent,3.82,3.82,se,,,,terrestrial,laboratory,,,,low-content DIMBOA,,,,,,,,,Lleida Spain,field,,0,decimal,41.62064,0.61993,Rhopalosiphum padi,Bird cherry-oat aphid,,80.0,Animalia,Arthropoda,Insecta,Homoptera,Aphididae,Rhopalosiphum,padi,juvenile,,18.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Asin and Pons 2001. Effect of high temperature on the growth and reproduction of Corn Aphids (Homoptera: Aphididae) and implications for their population dynamics on the northeastern Iberian peninsula. Environ. Entomol. 30,10.1603/0046-225X-30.6.1127,,,Lauren Chapman,phuxly@gmail.com,,Interactor1Temp,Location,01/01/2001,13,v1
81723,33,,LC1123,pre-oviposition period,mean duration from adult emergence to onset of reproduction,,,9.3,days,0.23,0.23,se,,,,terrestrial,laboratory,,,,low-content DIMBOA,,,,,,,,,Lleida Spain,field,,0,decimal,41.62064,0.61993,Rhopalosiphum padi,Bird cherry-oat aphid,,71.0,Animalia,Arthropoda,Insecta,Homoptera,Aphididae,Rhopalosiphum,padi,adult,,18.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 2,Asin and Pons 2001. Effect of high temperature on the growth and reproduction of Corn Aphids (Homoptera: Aphididae) and implications for their population dynamics on the northeastern Iberian peninsula. Environ. Entomol. 30,10.1603/0046-225X-30.6.1127,,,Lauren Chapman,phuxly@gmail.com,,Interactor1Temp,Location,01/01/2001,26,v1
81747,39,,LC1125,fecundity,mean lifetime nymphs individual-1  ,bmax,fecundity rate,39.5,nymphs individual-1,2.06,2.06,se,,,,terrestrial,laboratory,,,,low-content DIMBOA,,,,,,,,,Lleida Spain,field,,0,decimal,41.62064,0.61993,Rhopalosiphum padi,Bird cherry-oat aphid,,148.0,Animalia,Arthropoda,Insecta,Homoptera,Aphididae,Rhopalosiphum,padi,adult,,18.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 3,Asin and Pons 2001. Effect of high temperature on the growth and reproduction of Corn Aphids (Homoptera: Aphididae) and implications for their population dynamics on the northeastern Iberian peninsula. Environ. Entomol. 30,10.1603/0046-225X-30.6.1127,,,Lauren Chapman,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2001,28,v1
81848,50,,PHX261,fecundity rate,mean eggs individual-1 day-1,,,3.0,eggs individual-1 day-1,51.7,51.7,coefficient of variance,,,,terrestrial,laboratory,,,,,,,,,,,,,Dryden New York,,06/01/1974,3,decimal,42.489167,-76.359722,Sepedon fuscipennis,Marsh fly,,17.0,Animalia,Arthropoda,Insecta,Diptera,Sciomyzidae,Sepedon,fuscipennis,adult,female,15.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 1,Barnes 1976. Effect of temperature on development survival oviposition and diapause in laboratory populations of Sepedon fuscipennis (Diptera: Sciomyzidae). Environ. Entomol. 5: 1089-1098,10.1093/ee/5.6.1089,,,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/1976,29,v1
82043,64,,PHX3615,fecundity rate,mean offspring per day,,,5.4,eggs individual-1 day-1,1.3,1.3,sd,,,,terrestrial,laboratory,,,,,,,,,,,,,Brazzaville Congo,field,,0,decimal,-1.44,15.556,Tetranychus evansi,Red tomato spider mite,,30.0,Animalia,Arthropoda,Insecta,Acari,Tetranychidae,Tetranychus,evansi,adult,female,21.0,Celsius,,28.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 2,Bonato 1999. The effect of temperature on life history parameters of Tetranychus evansi (Acari: Tetranychidae). Exp. Appl. Acarol. 23:1,10.1023/A:1006144610009,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/1999,29,v1
82087,70,,PHX601,blood feeding frequency,mean lifetime blood meals individual-1,,,1.66,blood meals,0.81,0.81,sd,,,,terrestrial,laboratory,,,,,,,,,,,,,Registro Brazil,field,03/01/1999,4,decimal,24.4875,-47.843611,Aedes albopictus,Tiger mosquito,,6.0,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,albopictus,adult,female,15.0,Celsius,,25.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 2,Calado and Navarro-Silva. 2002. Influencia da temperatura sobre a longevidade fecundidade eatividade hematofagica de Aedes (Stegomyia) albopictus Skuse 1894 (Diptera: Culicidae) sob condicoes de laboratorio. Revista Brasileira de Entomologia 46: 93-98.,10.1590/S0085-56262002000100011,"Da Re, D., Andreo, V., San Miguel, T.V. et al. AedesTraits: A global dataset of temperature–dependent trait responses in Aedes mosquitoes. Sci Data 12, 2033 (2025).",10.1038/s41597-025-06461-z,Paul Huxley,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2002,-1,v1
82202,80,,PHX62,body size,mean wet mass,,,0.5,mg,,,,,,,terrestrial,laboratory,,,,CO2 concentration,,450.0,ppm,,,,,,Langfang Cit,field,,0,decimal,39.5383,116.6835,Rhopalosiphum maidis,Corn leaf aphid,,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Rhopalosiphum,maidis,adult,,23.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 3,Chen et al. 2019. Reduction of plant suitability for Corn Leaf aphid (Hemiptera: Aphididae) under elevated carbon dioxide condition. Environ. Entomol. 48:4,10.1093/ee/nvz045,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,mean fresh body weight of 7 day-old adults exposed to ambient CO2,SecondStressorValue,LocationText,01/01/2019,18,v1
82204,81,,PHX621,development time,mean duration period from aphid birth to its first reproduction,,,7.0,days,,,,,,,terrestrial,laboratory,,,,CO2 concentration,,450.0,ppm,,,,,,Langfang Cit,field,,0,decimal,39.5383,116.6835,Rhopalosiphum maidis,Corn leaf aphid,,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Rhopalosiphum,maidis,juvenile,,23.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 3,Chen et al. 2019. Reduction of plant suitability for Corn Leaf aphid (Hemiptera: Aphididae) under elevated carbon dioxide condition. Environ. Entomol. 48:4,10.1093/ee/nvz045,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,exposed to ambient CO2,SecondStressorValue,Location,01/01/2019,6,v1
82206,82,,PHX622,fecundity,mean number of progeny in a reproductive period equal to development time,,,4.7,progeny indidividual-1,,,,,,,terrestrial,laboratory,,,,CO2 concentration,,450.0,ppm,,,,,,Langfang Cit,field,,0,decimal,39.5383,116.6835,Rhopalosiphum maidis,Corn leaf aphid,,,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Rhopalosiphum,maidis,adult,,23.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,table 3,Chen et al. 2019. Reduction of plant suitability for Corn Leaf aphid (Hemiptera: Aphididae) under elevated carbon dioxide condition. Environ. Entomol. 48:4,10.1093/ee/nvz045,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,exposed to ambient CO2,SecondStressorValue,Location,01/01/2019,28,v1
82208,83,,CLIV1115,body size,mean wing length (mm),,,3.41,mm,0.23,0.23,se,,,,terrestrial,laboratory,,,,,,,,,,,,,Pennsylvania,colony,01/01/2004,2,decimal,40.8781,-77.7996,Culex pipiens,House mosquito,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,pipiens,adult,,16.0,Celsius,,27.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3B,Ciota et al 2014. The effect of temperature on life history traits of Culex mosquitoes. J Med Entomol 51,10.1603/ME13003,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Connor Lachance,phuxly@gmail.com,error bounds were clustered so accuracy may vary,Interactor1Temp,LocationText,01/01/2015,18,v1
82228,85,,CLIV1114,longevity,median adult lifespan,,,72.81,days,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,Pennsylvania,colony,01/01/2004,2,decimal,40.8781,-77.7996,Culex pipiens,House mosquito,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,pipiens,adult,,16.0,Celsius,,27.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 4,Ciota et al 2014. The effect of temperature on life history traits of Culex mosquitoes. J Med Entomol 51,10.1603/ME13003,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Connor Lachance,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015,8,v1
82268,90,,CLIV1116,ovipositioning,proportion of blood fed mosquitoes laying egg rafts,,,0.28,proportion,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,Pennsylvania,colony,01/01/2004,2,decimal,40.8781,-77.7996,Culex pipiens,House mosquito,,,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,pipiens,adult,,16.0,Celsius,,27.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 5b,Ciota et al 2014. The effect of temperature on life history traits of Culex mosquitoes. J Med Entomol 51,10.1603/ME13003,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Connor Lachance,phuxly@gmail.com,,Interactor1Temp,LocationText,01/01/2015,-1,v1
82337,99,,ZG2,development rate,mean rate of life stage completion,,,0.015,days-1,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,various,,,0,,,,Tecia solanivora,Potato tuber moth,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Tesia,solanivora,larval,,9.88,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure S3,Crespo-Perez et al. 2011. Modeling invasive species spread in complex landscapes: the case of potato moth in Ecuador. Landsc. Ecol. 26,10.1007/s10980-011-9649-4,,,Zach Gajewski,phuxly@gmail.com,data comes from various papers but was extracted and all in this one paper. moths from various location in Northern Andes. error bounds not provided,Interactor1Temp,LocationText,01/01/2011,7,v1
82410,101,,ZG2151,fecundity,mean lifetime eggs individual-1  ,,,0.0,eggs individual-1,,,,,,,terrestrial,laboratory,,,,,,,,,,,,,various,,,0,,,,Tecia solanivora,Potato tuber moth,,,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Tesia,solanivora,adult,,7.95,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure S6,Crespo-Perez et al. 2011. Modeling invasive species spread in complex landscapes: the case of potato moth in Ecuador. Landsc. Ecol. 26,10.1007/s10980-011-9649-4,,,Paul Huxley,phuxly@gmail.com,data comes from various papers but was extracted and all in this one paper. moths from various location in Northern Andes. error bounds not provided,Interactor1Temp,LocationText,01/01/2011,28,v1
82426,103,,PHX721,egg viability,mean percentage of viable eggs produced per female,,,82.69,eggs individual-1,6.41,6.41,se,,,,terrestrial,laboratory,,,,lufenuron,ingestion of lufenuron,0.0,ml,,,,,,UFRPE Recife Brazil,colony ,,0,decimal,-8.01,-34.95,Anthonomus grandis,Boll weevil,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,grandis,adult,female,25.0,Celsius,,25.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3b,Cruz et al. 2021. Lufenuron indirectly downregulates Vitellogenin in the boll weevil females reducing egg viability. Physiological Entomology 46:1,10.1111/phen.12337,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,SecondStressorValue,LocationText,01/01/2021,20,v1
82428,104,,PHX7211,fecundity,mean eggs produced per plant,,,1.19,eggs plant-1,0.2,0.2,se,,,,terrestrial,laboratory,,,,lufenuron,ingestion of lufenuron,0.0,ml,,,,,,UFRPE Recife Brazil,colony ,,0,decimal,-8.01,-34.95,Anthonomus grandis,Boll weevil,,,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,grandis,adult,female,25.0,Celsius,,25.0,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,figure 3a,Cruz et al. 2021. Lufenuron indirectly downregulates Vitellogenin in the boll weevil females reducing egg viability. Physiological Entomology 46:1,10.1111/phen.12337,"Pawar, S., Huxley, P.J., Smallwood, T.R.C. et al. Variation in temperature of peak trait performance constrains adaptation of arthropod populations to climatic warming. Nat Ecol Evol 8, 500–510 (2024).",10.1038/s41559-023-02301-8,Paul Huxley,phuxly@gmail.com,,SecondStressorValue,LocationText,01/01/2021,28,v1
