OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,version,cluster_id
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Trait: egg viability. Definition: mean percentage of viable eggs produced per female.,v2,-1
fecundity,mean eggs produced per plant,eggs plant-1,Trait: fecundity. Definition: mean eggs produced per plant.,v2,11
fat content,mean lipid content per individual,ug mg-1 individual-1,Trait: fat content. Definition: mean lipid content per individual.,v2,1
development rate,rate of life stage completion,days-1,Trait: development rate. Definition: rate of life stage completion.,v2,16
pre-blood meal period,average duration from emergence to first blood meal,days,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal.,v2,-1
fecundity,mean number of eggs per cycle,eggs individual-1 cycle-1,Trait: fecundity. Definition: mean number of eggs per cycle.,v2,11
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Trait: gonotrophic cycle. Definition: mean number of gonotrophic cycles completed in individuals lifetime.,v2,2
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Trait: resource consumption rate. Definition: mean daily resource consumption rate.,v2,-1
blood feeding,percent taking one bloodmeal,percent,Trait: blood feeding. Definition: percent taking one bloodmeal.,v2,-1
transmission potential,percent of individuals with transmission potential,percent,Trait: transmission potential. Definition: percent of individuals with transmission potential.,v2,-1
post-oviposition period,mean duration of life stage,days,Trait: post-oviposition period. Definition: mean duration of life stage.,v2,18
fecundity,mean lifetime egg punctures,egg punctures individual-1,Trait: fecundity. Definition: mean lifetime egg punctures.,v2,11
lipid content,mean lipid content per individual,ug,Trait: lipid content. Definition: mean lipid content per individual.,v2,1
protein content,mean protein content per individual,ug,Trait: protein content. Definition: mean protein content per individual.,v2,1
glycogen content,mean glycogen content per individual,ug,Trait: glycogen content. Definition: mean glycogen content per individual.,v2,1
body size,mean wet mass (waxless and gravid),mg,Trait: body size. Definition: mean wet mass (waxless and gravid).,v2,5
fecundity rate,mean eggs per unit time,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs per unit time.,v2,11
fecundity rate,mean offspring per unit time,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean offspring per unit time.,v2,11
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Trait: ovariole number. Definition: mean number of ovarioles per individual.,v2,-1
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Trait: reproductive capacity. Definition: mean lifetime nymphs (30 days).,v2,-1
mortality rate,mean per capita rate of mortality during life stage,individual-1 day-1,Trait: mortality rate. Definition: mean per capita rate of mortality during life stage.,v2,12
pre-reproductive period,mean duration of life stage,days,Trait: pre-reproductive period. Definition: mean duration of life stage.,v2,18
fecundity,mean lifetime eggs per 10 individuals,eggs 10 individuals-1,Trait: fecundity. Definition: mean lifetime eggs per 10 individuals.,v2,11
hatching rate,percent surviving life stage,percent,Trait: hatching rate. Definition: percent surviving life stage.,v2,13
hatching rate,mean duration of life stage,percent,Trait: hatching rate. Definition: mean duration of life stage.,v2,13
mortality,mean duration of life stage,days,Trait: mortality. Definition: mean duration of life stage.,v2,12
body size,mean length,mm,Trait: body size. Definition: mean length.,v2,5
body size,mean width,mm,Trait: body size. Definition: mean width.,v2,5
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Trait: resource consumption rate. Definition: mean lifetime prey consumed.,v2,-1
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Trait: age specific fecundity. Definition: mean number of female offspring individual-1 at specific age.,v2,-1
fecundity,mean number of female offspring individual-1,females individual-1,Trait: fecundity. Definition: mean number of female offspring individual-1.,v2,11
development time,mean duration of life cycle (egg-to-egg),days,Trait: development time. Definition: mean duration of life cycle (egg-to-egg).,v2,16
fecundity,mean lifetime eggs per individual (across all humdity levels),eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs per individual (across all humdity levels).,v2,11
fecundity,mean lifetime eggs per individual,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs per individual.,v2,11
survival,percent surviving life stage (across all humidity levels),percent,Trait: survival. Definition: percent surviving life stage (across all humidity levels).,v2,-1
development time,mean duration of life stage (across all humidity levels),days,Trait: development time. Definition: mean duration of life stage (across all humidity levels).,v2,16
mortality,cummulative mortality percentage across immature stages,percent,Trait: mortality. Definition: cummulative mortality percentage across immature stages.,v2,12
hatch time,mean duration of life stage,hours,Trait: hatch time. Definition: mean duration of life stage.,v2,-1
development time,mean duration for 50 percent of eggs to hatch,days,Trait: development time. Definition: mean duration for 50 percent of eggs to hatch.,v2,16
fecundity rate,maximum progengy individual-1 day-1,progeny individual-1 day-1,Trait: fecundity rate. Definition: maximum progengy individual-1 day-1.,v2,11
gonotrophic cycle,mean duration of gonotrophic cycle (7th),days,Trait: gonotrophic cycle. Definition: mean duration of gonotrophic cycle (7th).,v2,2
fecundity,mean number of eggs per cycle (1st),eggs individual-1 cycle-1,Trait: fecundity. Definition: mean number of eggs per cycle (1st).,v2,11
mortality,proportion not surviving life stage,proportion,Trait: mortality. Definition: proportion not surviving life stage.,v2,12
development time,median duration for egg development,days,Trait: development time. Definition: median duration for egg development.,v2,16
development time,mean duration for egg development,days,Trait: development time. Definition: mean duration for egg development.,v2,16
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started.,v2,-1
fecundity rate,mean lifetime offspring,offspring individual-1 day-1,Trait: fecundity rate. Definition: mean lifetime offspring.,v2,11
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-reproductive period. Definition: mean duration from adult emergence to onset of reproduction.,v2,18
age at first reproduction,mean age at first reproduction,days,Trait: age at first reproduction. Definition: mean age at first reproduction.,v2,18
body size,mean dry mass,mg,Trait: body size. Definition: mean dry mass.,v2,5
body size,mean head width,mm,Trait: body size. Definition: mean head width.,v2,-1
fecundity,mean offspring per reproduction day,offspring individual-1 day-1,Trait: fecundity. Definition: mean offspring per reproduction day.,v2,11
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature.,v2,-1
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature.,v2,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature.,v2,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature.,v2,-1
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,Trait: fecundity. Definition: mean lifetime offspring as a function of size and adult and growth temperature.,v2,11
body size,mean thorax length,mm,Trait: body size. Definition: mean thorax length.,v2,5
development time,duration of life stage,days,Trait: development time. Definition: duration of life stage.,v2,16
development rate,mean duration of life stage,days,Trait: development rate. Definition: mean duration of life stage.,v2,16
consumption rate,mean relative consumption rate,mg of aphids,Trait: consumption rate. Definition: mean relative consumption rate.,v2,-1
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time).,v2,-1
body size,mean body weight,mg,Trait: body size. Definition: mean body weight.,v2,5
weight loss,proportionate weight loss in relation to temperature and population,proportion,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population.,v2,-1
mortality,time to 50% mortality,days,Trait: mortality. Definition: time to 50% mortality.,v2,-1
development time,mean duration of life cycle,days,Trait: development time. Definition: mean duration of life cycle.,v2,16
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Trait: feeding rate. Definition: mean lifetime feeding punctures.,v2,-1
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands.,v2,-1
oocyst prevalence,not stated,percent,Trait: oocyst prevalence. Definition: not stated.,v2,-1
oocyst intensity,not stated,not stated,Trait: oocyst intensity. Definition: not stated.,v2,-1
sporozoite prevalence,not stated,percent,Trait: sporozoite prevalence. Definition: not stated.,v2,-1
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Trait: copulation duration. Definition: mean copulation duration.,v2,-1
hatchability,mean percentage of eggs hatching,percent,Trait: hatchability. Definition: mean percentage of eggs hatching.,v2,13
prey consumption,mean number of prey consumed,number of individual prey individual-1,Trait: prey consumption. Definition: mean number of prey consumed.,v2,-1
fecundity rate,mean number of eggs individual-1 day-1,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean number of eggs individual-1 day-1.,v2,11
mortality rate,mean death rate during life stage,individual-1 day-1,Trait: mortality rate. Definition: mean death rate during life stage.,v2,12
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Trait: metabolic rate. Definition: mean CO2 production (VCO2) (RMR: resting metabolic rate).,v2,0
parasite maturation time,mean duration time from infective feed to mature infection,days,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection.,v2,-1
interlarval period,mean frequency of larval production,days,Trait: interlarval period. Definition: mean frequency of larval production.,v2,-1
fecundity rate,mean number of offspring per reproductive cycle,offspring individual-1 cycle-1,Trait: fecundity rate. Definition: mean number of offspring per reproductive cycle.,v2,11
survival,probability of survival after exposure to extreme temperatures,probability,Trait: survival. Definition: probability of survival after exposure to extreme temperatures.,v2,-1
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),ml CO2 h-1,Trait: metabolic rate. Definition: mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor).,v2,0
metabolic rate,mean CO2 production rate,ul CO2 h-1,Trait: metabolic rate. Definition: mean CO2 production rate.,v2,0
fat consumption rate,mean daily rate of fat consumption,mg day-1,Trait: fat consumption rate. Definition: mean daily rate of fat consumption.,v2,1
pre-reproductive period,mean duration to production of first larva,days,Trait: pre-reproductive period. Definition: mean duration to production of first larva.,v2,-1
fecundity,mean lifetime eggs,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs.,v2,11
blood feeding,mean lifetime blood feeds,blood meals individual-1,Trait: blood feeding. Definition: mean lifetime blood feeds.,v2,-1
metabolic rate (active),mean active metabolic rate (AMR),ml CO2 h-1,Trait: metabolic rate (active). Definition: mean active metabolic rate (AMR).,v2,0
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity.,v2,-1
metabolic rate,mean respiratory CO2 rate (RCO2),pmol mg-1 s-1,Trait: metabolic rate. Definition: mean respiratory CO2 rate (RCO2).,v2,0
metabolic heat rate,mean metabolic heat rate (or 455RCO2),uW mg-1,Trait: metabolic heat rate. Definition: mean metabolic heat rate (or 455RCO2).,v2,0
anabolic rate,mean anabolic rate,uW mg-1,Trait: anabolic rate. Definition: mean anabolic rate.,v2,0
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,Ml O2 g thorax-1 h-1,Trait: metabolic rate (resting). Definition: mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation.,v2,0
metabolic rate,mean oxygen uptake rate,ml O2 g-1 h-1,Trait: metabolic rate. Definition: mean oxygen uptake rate.,v2,0
metabolic rate (standard),mean CO2 production rate (VCO2),ml CO2 g-1 h-1,Trait: metabolic rate (standard). Definition: mean CO2 production rate (VCO2).,v2,0
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,days,Trait: gonotrophic cycle 1. Definition: individual-level duration of first gonotrophic cycle.,v2,2
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,days,Trait: gonotrophic cycle 2. Definition: individual-level duration of second gonotrophic cycle.,v2,2
fecundity,individual-level mean eggs per gonotrophic cycle,eggs cycle-1,Trait: fecundity. Definition: individual-level mean eggs per gonotrophic cycle.,v2,11
gonotrophic cycle,individual-level lifetime number of cycles completed,lifetime cycles,Trait: gonotrophic cycle. Definition: individual-level lifetime number of cycles completed.,v2,2
development time,individual-level duration of life stage,days,Trait: development time. Definition: individual-level duration of life stage.,v2,16
longevity,individual-level duration of life stage,days,Trait: longevity. Definition: individual-level duration of life stage.,v2,17
development rate,individual-level rate of life stage completion,days-1,Trait: development rate. Definition: individual-level rate of life stage completion.,v2,16
body size,individual-level mass,mg,Trait: body size. Definition: individual-level mass.,v2,5
body size,individual-level wet mass,mg,Trait: body size. Definition: individual-level wet mass.,v2,5
viral load,individual-level viral load,PFU (plaque-forming units),Trait: viral load. Definition: individual-level viral load.,v2,-1
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size).,v2,-1
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature.,v2,-1
mortality rate,individual-level per capita daily rate of mortality,indivdual-1 day-1,Trait: mortality rate. Definition: individual-level per capita daily rate of mortality.,v2,-1
survival,individual-level binomial survival,1 = survived life stage,Trait: survival. Definition: individual-level binomial survival.,v2,-1
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion.,v2,-1
fecundity,individual-level lifetime eggs,eggs individual-1,Trait: fecundity. Definition: individual-level lifetime eggs.,v2,11
bloodmeal weight,individual-level weight of bloodmeal,mg,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal.,v2,-1
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes).,v2,-1
incubation period,mean duration of egg incubation period (lay to hatching),days,Trait: incubation period. Definition: mean duration of egg incubation period (lay to hatching).,v2,10
development time,mean duration of larval attachment developmental phase,days,Trait: development time. Definition: mean duration of larval attachment developmental phase.,v2,16
premolt period (nymphal),mean duration of nymphal premolting phase,days,Trait: premolt period (nymphal). Definition: mean duration of nymphal premolting phase.,v2,19
feeding time,mean duration of adult female feeding developmental phase,days,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase.,v2,19
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,Trait: preoviposition period. Definition: mean duration of prereproductive period (end of feeding until oviposition).,v2,18
ovipositional period,mean duration of reproductive period,days,Trait: ovipositional period. Definition: mean duration of reproductive period.,v2,18
body size,mean wet mass on the day feeding was completed,mg,Trait: body size. Definition: mean wet mass on the day feeding was completed.,v2,5
weight loss,nymphal weight loss during molting stage,percent,Trait: weight loss. Definition: nymphal weight loss during molting stage.,v2,4
egg size,mean weight of egg mass produced by adult female ticks,mg,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks.,v2,-1
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,percent,Trait: conversion efficiency index. Definition: percentage of adult female weight post feeding that was converted into egg mass.,v2,3
premolt period (larval),mean duration of larval premolting phase,days,Trait: premolt period (larval). Definition: mean duration of larval premolting phase.,v2,19
molting time,mean duration of nymphal molting phase,days,Trait: molting time. Definition: mean duration of nymphal molting phase.,v2,19
survival rate,percentage of ticks that survived the larval stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the larval stage.,v2,15
survival rate,percentage of ticks that survived the larval moult,percent,Trait: survival rate. Definition: percentage of ticks that survived the larval moult.,v2,15
survival time,mean survival time of fasting larvae,days,Trait: survival time. Definition: mean survival time of fasting larvae.,v2,7
body size,mean weight of nymphs post-feeding,mg,Trait: body size. Definition: mean weight of nymphs post-feeding.,v2,5
premolt period (nymphal),mean time to complete nymphal moulting,days,Trait: premolt period (nymphal). Definition: mean time to complete nymphal moulting.,v2,19
survival rate,percentage of ticks that survived the nymphal moult,percent,Trait: survival rate. Definition: percentage of ticks that survived the nymphal moult.,v2,15
sex ratio,ratio of male ticks to female ticks,ratio,Trait: sex ratio. Definition: ratio of male ticks to female ticks.,v2,-1
feeding time,mean duration of feeding developmental phase,days,Trait: feeding time. Definition: mean duration of feeding developmental phase.,v2,-1
body size,mean body weight of engorged adult females,mg,Trait: body size. Definition: mean body weight of engorged adult females.,v2,5
fecundity,mean lifetime eggs laid per female,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs laid per female.,v2,11
body size,mean wet mass on the day feeding was completed (engorged),mg,Trait: body size. Definition: mean wet mass on the day feeding was completed (engorged).,v2,5
survival rate,percentage of ticks that survived adult engorgement,percent,Trait: survival rate. Definition: percentage of ticks that survived adult engorgement.,v2,15
fecundity,mean lifetime eggs produced by an individual female,eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs produced by an individual female.,v2,11
survival rate,percentage of ticks that survived the nymphal stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the nymphal stage.,v2,15
premolt period (larval),mean time to complete larval moulting,days,Trait: premolt period (larval). Definition: mean time to complete larval moulting.,v2,19
fertility,percentage of females that laid fertile eggs,percent,Trait: fertility. Definition: percentage of females that laid fertile eggs.,v2,-1
oviposition failure,mean probability of failure to oviposit,probability,Trait: oviposition failure. Definition: mean probability of failure to oviposit.,v2,-1
preoviposition period,mean duration of period before oviposition,days,Trait: preoviposition period. Definition: mean duration of period before oviposition.,v2,18
ovipositional period,mean duration of ovipositional period,days,Trait: ovipositional period. Definition: mean duration of ovipositional period.,v2,18
conversion efficiency index,total mg eggs produced divided by mg engorged weight,proportion,Trait: conversion efficiency index. Definition: total mg eggs produced divided by mg engorged weight.,v2,3
fecundity rate,mean weight of egg mass per day,mg eggs day-1,Trait: fecundity rate. Definition: mean weight of egg mass per day.,v2,11
fecundity,individual-level weight of lifetime eggs per individual,mg eggs individual-1,Trait: fecundity. Definition: individual-level weight of lifetime eggs per individual.,v2,11
hatch rate,mean hatching rate of egg batches,percent,Trait: hatch rate. Definition: mean hatching rate of egg batches.,v2,13
incubation period,median time from oviposition to hatching,days,Trait: incubation period. Definition: median time from oviposition to hatching.,v2,10
weight loss,cumulative weight loss across time (see notes for time intervals),percent,Trait: weight loss. Definition: cumulative weight loss across time (see notes for time intervals).,v2,-1
development rate,mean development rate per day,percent day-1,Trait: development rate. Definition: mean development rate per day.,v2,-1
egg mass,mean egg mass weight,mg,Trait: egg mass. Definition: mean egg mass weight.,v2,5
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,Trait: feed conversion rate. Definition: ability to produce eggs relative to the weight at detachment of each engorged female.,v2,3
incubation period,time from start of oviposition until first eggs hatched,days,Trait: incubation period. Definition: time from start of oviposition until first eggs hatched.,v2,10
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Trait: larval hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized.,v2,-1
mortality,number of dead individuals per group,individuals,Trait: mortality. Definition: number of dead individuals per group.,v2,-1
weight loss,mean weight loss,mg,Trait: weight loss. Definition: mean weight loss.,v2,-1
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Trait: hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized.,v2,13
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,Trait: feeding preference. Definition: mean number of individual ticks selecting to feed on human (see notes for %).,v2,-1
survival rate,percent surviving to oviposition,percent,Trait: survival rate. Definition: percent surviving to oviposition.,v2,-1
preoviposition period,mean duration of life stage,days,Trait: preoviposition period. Definition: mean duration of life stage.,v2,18
hatch rate,percentage of egg masses producing larvae,percent,Trait: hatch rate. Definition: percentage of egg masses producing larvae.,v2,13
development time,mean duration from when eggs were deposited to hatch,days,Trait: development time. Definition: mean duration from when eggs were deposited to hatch.,v2,16
molt success rate (larval),percentage that molted,percent,Trait: molt success rate (larval). Definition: percentage that molted.,v2,8
premolt period (larval),mean duration of life stage,days,Trait: premolt period (larval). Definition: mean duration of life stage.,v2,19
molt success rate (nymphal),percentage that molted,percent,Trait: molt success rate (nymphal). Definition: percentage that molted.,v2,8
premolt period,mean duration of life stage,days,Trait: premolt period. Definition: mean duration of life stage.,v2,19
premolt period (nymphal),mean duration of life stage,days,Trait: premolt period (nymphal). Definition: mean duration of life stage.,v2,19
survival rate,percent surviving life stage,percent,Trait: survival rate. Definition: percent surviving life stage.,v2,14
fecundity,total number of eggs produced,eggs individual-1,Trait: fecundity. Definition: total number of eggs produced.,v2,11
body mass,mean weight of female,mg,Trait: body mass. Definition: mean weight of female.,v2,-1
longevity,duration for 50% mortality,days,Trait: longevity. Definition: duration for 50% mortality.,v2,17
conversion efficiency,total number of eggs produced divided by engorged weight,eggs individual-1 mg-1,Trait: conversion efficiency. Definition: total number of eggs produced divided by engorged weight.,v2,3
incubation period,mean duration from oviposition to hatching,days,Trait: incubation period. Definition: mean duration from oviposition to hatching.,v2,10
hatch ratio,hatching ratio of eggs,percent,Trait: hatch ratio. Definition: hatching ratio of eggs.,v2,-1
molting period (larval),mean duration of life stage,days,Trait: molting period (larval). Definition: mean duration of life stage.,v2,19
molting ratio (larval),percentage that molted during life stage,percent,Trait: molting ratio (larval). Definition: percentage that molted during life stage.,v2,8
molting period (nymphal),mean duration of life stage,days,Trait: molting period (nymphal). Definition: mean duration of life stage.,v2,19
molting ratio (nymphal),percentage that molted during life stage,percent,Trait: molting ratio (nymphal). Definition: percentage that molted during life stage.,v2,8
prefeeding period (larval),mean duration of life stage,days,Trait: prefeeding period (larval). Definition: mean duration of life stage.,v2,19
feeding period (larval),mean duration of life stage,days,Trait: feeding period (larval). Definition: mean duration of life stage.,v2,19
prefeeding period (nymphal),mean duration of life stage,days,Trait: prefeeding period (nymphal). Definition: mean duration of life stage.,v2,19
feeding period (nymphal),mean duration of life stage,days,Trait: feeding period (nymphal). Definition: mean duration of life stage.,v2,19
prefeeding period (adult),mean duration of life stage,days,Trait: prefeeding period (adult). Definition: mean duration of life stage.,v2,19
feeding period (adult),mean duration of life stage,days,Trait: feeding period (adult). Definition: mean duration of life stage.,v2,19
lifespan,mean duration of entire life,days,Trait: lifespan. Definition: mean duration of entire life.,v2,17
fecundity,mean number of lifetime eggs by a tick,eggs individual-1,Trait: fecundity. Definition: mean number of lifetime eggs by a tick.,v2,11
molt success rate (larval),percentage that molted during life stage,percent,Trait: molt success rate (larval). Definition: percentage that molted during life stage.,v2,8
molt success rate (nymphal),percentage that molted during life stage,percent,Trait: molt success rate (nymphal). Definition: percentage that molted during life stage.,v2,8
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,Trait: reproductive efficiency index. Definition: mean number of eggs per mg weight of engorged female.,v2,-1
pre-hatch period,number of days until hatching,days,Trait: pre-hatch period. Definition: number of days until hatching.,v2,-1
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Trait: mortality (larval). Definition: duration for 100% mortality (unfed larvae).,v2,-1
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Trait: mortality (nymphal). Definition: duration for 50% mortality (unfed nymphs).,v2,-1
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,Trait: mortality (adult). Definition: mean duration for 100% mortality (unfed adults).,v2,-1
fecundity rate,mean eggs produced by an individual female per day,eggs individual-1 day-1,Trait: fecundity rate. Definition: mean eggs produced by an individual female per day.,v2,11
development time,mean time to complete nymphal devlopment,days,Trait: development time. Definition: mean time to complete nymphal devlopment.,v2,16
fecundity rate,peak number of eggs per day per individual,eggs individual-1 day-1,Trait: fecundity rate. Definition: peak number of eggs per day per individual.,v2,11
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,Trait: reproductive efficiency index. Definition: ratio of lifetime eggs to engorged female weight.,v2,3
survival rate,percentage of ticks that survived the adult stage,percent,Trait: survival rate. Definition: percentage of ticks that survived the adult stage.,v2,15
survival time,mean survival time of larvae post hatch,days,Trait: survival time. Definition: mean survival time of larvae post hatch.,v2,7
longevity,mean duration of life stage as a function of body size,days,Trait: longevity. Definition: mean duration of life stage as a function of body size.,v2,17
body size,mean dry mass. relationship between dry mass and wing length,mg,Trait: body size. Definition: mean dry mass. relationship between dry mass and wing length.,v2,5
mortality,time taken for 50% of adults to die,days,Trait: mortality. Definition: time taken for 50% of adults to die.,v2,-1
survival,proportion of individuals surviving life stage (emergence rate),proportion,Trait: survival. Definition: proportion of individuals surviving life stage (emergence rate).,v2,14
body size,dry mass,mg,Trait: body size. Definition: dry mass.,v2,5
body size,mean wing length,mm,Trait: body size. Definition: mean wing length.,v2,5
mortality,percentage not surviving life stage,percent,Trait: mortality. Definition: percentage not surviving life stage.,v2,12
survival,percentage of individuals surviving life stage (emergence rate),individuals,Trait: survival. Definition: percentage of individuals surviving life stage (emergence rate).,v2,14
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Trait: reproductive capacity. Definition: proportion of individuals that laid eggs after first blood meal.,v2,-1
