OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,text,cluster_id,uncertainty
fecundity,mean number of female offspring individual-1,females individual-1,Trait: fecundity. Definition: mean number of female offspring individual-1. Unit: females individual-1.,2,2.220446049250313e-16
fecundity,mean lifetime eggs per individual (across all humdity levels),eggs individual-1,Trait: fecundity. Definition: mean lifetime eggs per individual (across all humdity levels). Unit: eggs individual-1.,2,0
survival,percent surviving life stage (across all humidity levels),percent,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent.,2,0
mortality,cummulative mortality percentage across immature stages,percent,Trait: mortality. Definition: cummulative mortality percentage across immature stages. Unit: percent.,2,0
hatch time,mean duration of life stage,hours,Trait: hatch time. Definition: mean duration of life stage. Unit: hours.,2,2.4424906541753444e-15
gonotrophic cycle,mean duration of gonotrophic cycle (7th),days,Trait: gonotrophic cycle. Definition: mean duration of gonotrophic cycle (7th). Unit: days.,2,0
mortality,proportion not surviving life stage,proportion,Trait: mortality. Definition: proportion not surviving life stage. Unit: proportion.,2,0
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days.,2,0
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,Trait: pre-reproductive period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days.,2,3.8191672047105385e-14
body size,mean dry mass,mg,Trait: body size. Definition: mean dry mass. Unit: mg.,2,0
body size,mean head width,mm,Trait: body size. Definition: mean head width. Unit: mm.,2,0
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,Trait: fecundity. Definition: mean lifetime offspring as a function of size and adult and growth temperature. Unit: offspring individual-1.,2,0
body size,mean thorax length,mm,Trait: body size. Definition: mean thorax length. Unit: mm.,2,0
consumption rate,mean relative consumption rate,mg of aphids,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids.,2,0
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1).,2,0
body size,mean body weight,mg,Trait: body size. Definition: mean body weight. Unit: mg.,2,0
weight loss,proportionate weight loss in relation to temperature and population,proportion,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion.,2,0
mortality,time to 50% mortality,days,Trait: mortality. Definition: time to 50% mortality. Unit: days.,2,0
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1.,2,0
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days.,2,0
oocyst prevalence,not stated,percent,Trait: oocyst prevalence. Definition: not stated. Unit: percent.,2,0
oocyst intensity,not stated,not stated,Trait: oocyst intensity. Definition: not stated. Unit: not stated.,2,0
sporozoite prevalence,not stated,percent,Trait: sporozoite prevalence. Definition: not stated. Unit: percent.,2,0
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1.,2,0
prey consumption,mean number of prey consumed,number of individual prey individual-1,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1.,2,0
mortality rate,mean death rate during life stage,individual-1 day-1,Trait: mortality rate. Definition: mean death rate during life stage. Unit: individual-1 day-1.,2,0
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Trait: metabolic rate. Definition: mean CO2 production (VCO2) (RMR: resting metabolic rate). Unit: uL h-1.,2,0
parasite maturation time,mean duration time from infective feed to mature infection,days,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days.,2,0
interlarval period,mean frequency of larval production,days,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days.,2,0
survival,probability of survival after exposure to extreme temperatures,probability,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability.,2,0
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),ml CO2 h-1,Trait: metabolic rate. Definition: mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor). Unit: ml CO2 h-1.,2,0
metabolic rate,mean CO2 production rate,ul CO2 h-1,Trait: metabolic rate. Definition: mean CO2 production rate. Unit: ul CO2 h-1.,2,0
fat consumption rate,mean daily rate of fat consumption,mg day-1,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1.,2,0
pre-reproductive period,mean duration to production of first larva,days,Trait: pre-reproductive period. Definition: mean duration to production of first larva. Unit: days.,2,0
blood feeding,mean lifetime blood feeds,blood meals individual-1,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1.,2,0
metabolic rate (active),mean active metabolic rate (AMR),ml CO2 h-1,Trait: metabolic rate (active). Definition: mean active metabolic rate (AMR). Unit: ml CO2 h-1.,2,0
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent.,2,0
metabolic rate,mean respiratory CO2 rate (RCO2),pmol mg-1 s-1,Trait: metabolic rate. Definition: mean respiratory CO2 rate (RCO2). Unit: pmol mg-1 s-1.,2,0
metabolic heat rate,mean metabolic heat rate (or 455RCO2),uW mg-1,Trait: metabolic heat rate. Definition: mean metabolic heat rate (or 455RCO2). Unit: uW mg-1.,2,0
anabolic rate,mean anabolic rate,uW mg-1,Trait: anabolic rate. Definition: mean anabolic rate. Unit: uW mg-1.,2,0
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,Ml O2 g thorax-1 h-1,Trait: metabolic rate (resting). Definition: mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation. Unit: Ml O2 g thorax-1 h-1.,2,0
metabolic rate,mean oxygen uptake rate,ml O2 g-1 h-1,Trait: metabolic rate. Definition: mean oxygen uptake rate. Unit: ml O2 g-1 h-1.,2,0
metabolic rate (standard),mean CO2 production rate (VCO2),ml CO2 g-1 h-1,Trait: metabolic rate (standard). Definition: mean CO2 production rate (VCO2). Unit: ml CO2 g-1 h-1.,2,0
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,days,Trait: gonotrophic cycle 1. Definition: individual-level duration of first gonotrophic cycle. Unit: days.,2,0
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,days,Trait: gonotrophic cycle 2. Definition: individual-level duration of second gonotrophic cycle. Unit: days.,2,0
fecundity,individual-level mean eggs per gonotrophic cycle,eggs cycle-1,Trait: fecundity. Definition: individual-level mean eggs per gonotrophic cycle. Unit: eggs cycle-1.,2,4.440892098500626e-14
gonotrophic cycle,individual-level lifetime number of cycles completed,lifetime cycles,Trait: gonotrophic cycle. Definition: individual-level lifetime number of cycles completed. Unit: lifetime cycles.,2,0
body size,individual-level mass,mg,Trait: body size. Definition: individual-level mass. Unit: mg.,2,0
body size,individual-level wet mass,mg,Trait: body size. Definition: individual-level wet mass. Unit: mg.,2,0
viral load,individual-level viral load,PFU (plaque-forming units),Trait: viral load. Definition: individual-level viral load. Unit: PFU (plaque-forming units).,2,0
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days.,2,0
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds.,2,0
mortality rate,individual-level per capita daily rate of mortality,indivdual-1 day-1,Trait: mortality rate. Definition: individual-level per capita daily rate of mortality. Unit: indivdual-1 day-1.,2,0
survival,individual-level binomial survival,1 = survived life stage,Trait: survival. Definition: individual-level binomial survival. Unit: 1 = survived life stage.,2,0
juvenile life span,individual-level duration from hatching to death or adult eclosion,days,Trait: juvenile life span. Definition: individual-level duration from hatching to death or adult eclosion. Unit: days.,2,0
fecundity,individual-level lifetime eggs,eggs individual-1,Trait: fecundity. Definition: individual-level lifetime eggs. Unit: eggs individual-1.,2,1.4055423491754482e-13
bloodmeal weight,individual-level weight of bloodmeal,mg,Trait: bloodmeal weight. Definition: individual-level weight of bloodmeal. Unit: mg.,2,0
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),minutes,Trait: knockdown time. Definition: mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes). Unit: minutes.,2,0
development time,mean duration of larval attachment developmental phase,days,Trait: development time. Definition: mean duration of larval attachment developmental phase. Unit: days.,2,0.0054603675672088015
feeding time,mean duration of adult female feeding developmental phase,days,Trait: feeding time. Definition: mean duration of adult female feeding developmental phase. Unit: days.,2,7.65831842386433e-13
body size,mean wet mass on the day feeding was completed,mg,Trait: body size. Definition: mean wet mass on the day feeding was completed. Unit: mg.,2,0
egg size,mean weight of egg mass produced by adult female ticks,mg,Trait: egg size. Definition: mean weight of egg mass produced by adult female ticks. Unit: mg.,2,0
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,percent,Trait: conversion efficiency index. Definition: percentage of adult female weight post feeding that was converted into egg mass. Unit: percent.,2,0
molting time,mean duration of nymphal molting phase,days,Trait: molting time. Definition: mean duration of nymphal molting phase. Unit: days.,2,5.979217121421243e-12
body size,mean weight of nymphs post-feeding,mg,Trait: body size. Definition: mean weight of nymphs post-feeding. Unit: mg.,2,0
sex ratio,ratio of male ticks to female ticks,ratio,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio.,2,0
feeding time,mean duration of feeding developmental phase,days,Trait: feeding time. Definition: mean duration of feeding developmental phase. Unit: days.,2,2.220446049250313e-16
body size,mean body weight of engorged adult females,mg,Trait: body size. Definition: mean body weight of engorged adult females. Unit: mg.,2,0
body size,mean wet mass on the day feeding was completed (engorged),mg,Trait: body size. Definition: mean wet mass on the day feeding was completed (engorged). Unit: mg.,2,0
fertility,percentage of females that laid fertile eggs,percent,Trait: fertility. Definition: percentage of females that laid fertile eggs. Unit: percent.,2,0
oviposition failure,mean probability of failure to oviposit,probability,Trait: oviposition failure. Definition: mean probability of failure to oviposit. Unit: probability.,2,0
conversion efficiency index,total mg eggs produced divided by mg engorged weight,proportion,Trait: conversion efficiency index. Definition: total mg eggs produced divided by mg engorged weight. Unit: proportion.,2,0
fecundity rate,mean weight of egg mass per day,mg eggs day-1,Trait: fecundity rate. Definition: mean weight of egg mass per day. Unit: mg eggs day-1.,2,7.196465645620265e-13
fecundity,individual-level weight of lifetime eggs per individual,mg eggs individual-1,Trait: fecundity. Definition: individual-level weight of lifetime eggs per individual. Unit: mg eggs individual-1.,2,3.175237850427948e-14
hatch rate,mean hatching rate of egg batches,percent,Trait: hatch rate. Definition: mean hatching rate of egg batches. Unit: percent.,2,0
weight loss,cumulative weight loss across time (see notes for time intervals),percent,Trait: weight loss. Definition: cumulative weight loss across time (see notes for time intervals). Unit: percent.,2,0
development rate,mean development rate per day,percent day-1,Trait: development rate. Definition: mean development rate per day. Unit: percent day-1.,2,3.970023243482501e-8
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,Trait: feed conversion rate. Definition: ability to produce eggs relative to the weight at detachment of each engorged female. Unit: percent.,2,0
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Trait: larval hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent.,2,0
mortality,number of dead individuals per group,individuals,Trait: mortality. Definition: number of dead individuals per group. Unit: individuals.,2,0
weight loss,mean weight loss,mg,Trait: weight loss. Definition: mean weight loss. Unit: mg.,2,0
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,Trait: hatch rate. Definition: percentage of unfertilized eggs that were subsequently fertilized. Unit: percent.,2,0
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),individuals,Trait: feeding preference. Definition: mean number of individual ticks selecting to feed on human (see notes for %). Unit: individuals.,2,0
survival rate,percent surviving to oviposition,percent,Trait: survival rate. Definition: percent surviving to oviposition. Unit: percent.,2,0
hatch rate,percentage of egg masses producing larvae,percent,Trait: hatch rate. Definition: percentage of egg masses producing larvae. Unit: percent.,2,0
survival rate,percent surviving life stage,percent,Trait: survival rate. Definition: percent surviving life stage. Unit: percent.,2,2.220446049250313e-16
fecundity,total number of eggs produced,eggs individual-1,Trait: fecundity. Definition: total number of eggs produced. Unit: eggs individual-1.,2,2.5712765250318625e-13
body mass,mean weight of female,mg,Trait: body mass. Definition: mean weight of female. Unit: mg.,2,0
conversion efficiency,total number of eggs produced divided by engorged weight,eggs individual-1 mg-1,Trait: conversion efficiency. Definition: total number of eggs produced divided by engorged weight. Unit: eggs individual-1 mg-1.,2,0
hatch ratio,hatching ratio of eggs,percent,Trait: hatch ratio. Definition: hatching ratio of eggs. Unit: percent.,2,0
molting period (larval),mean duration of life stage,days,Trait: molting period (larval). Definition: mean duration of life stage. Unit: days.,2,3.3306690738754696e-15
molting ratio (larval),percentage that molted during life stage,percent,Trait: molting ratio (larval). Definition: percentage that molted during life stage. Unit: percent.,2,0
molting period (nymphal),mean duration of life stage,days,Trait: molting period (nymphal). Definition: mean duration of life stage. Unit: days.,2,1.2552847650226795e-11
molting ratio (nymphal),percentage that molted during life stage,percent,Trait: molting ratio (nymphal). Definition: percentage that molted during life stage. Unit: percent.,2,0
prefeeding period (larval),mean duration of life stage,days,Trait: prefeeding period (larval). Definition: mean duration of life stage. Unit: days.,2,0
feeding period (larval),mean duration of life stage,days,Trait: feeding period (larval). Definition: mean duration of life stage. Unit: days.,2,2.4424906541753444e-15
prefeeding period (nymphal),mean duration of life stage,days,Trait: prefeeding period (nymphal). Definition: mean duration of life stage. Unit: days.,2,5.10702591327572e-15
feeding period (nymphal),mean duration of life stage,days,Trait: feeding period (nymphal). Definition: mean duration of life stage. Unit: days.,2,5.514610990076108e-10
prefeeding period (adult),mean duration of life stage,days,Trait: prefeeding period (adult). Definition: mean duration of life stage. Unit: days.,2,0
feeding period (adult),mean duration of life stage,days,Trait: feeding period (adult). Definition: mean duration of life stage. Unit: days.,2,0
lifespan,mean duration of entire life,days,Trait: lifespan. Definition: mean duration of entire life. Unit: days.,2,0
fecundity,mean number of lifetime eggs by a tick,eggs individual-1,Trait: fecundity. Definition: mean number of lifetime eggs by a tick. Unit: eggs individual-1.,2,1.396660564978447e-13
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,Trait: reproductive efficiency index. Definition: mean number of eggs per mg weight of engorged female. Unit: eggs individual-1 mg-1.,2,0
pre-hatch period,number of days until hatching,days,Trait: pre-hatch period. Definition: number of days until hatching. Unit: days.,2,0
mortality (larval),duration for 100% mortality (unfed larvae),weeks,Trait: mortality (larval). Definition: duration for 100% mortality (unfed larvae). Unit: weeks.,2,0
mortality (nymphal),duration for 50% mortality (unfed nymphs),weeks,Trait: mortality (nymphal). Definition: duration for 50% mortality (unfed nymphs). Unit: weeks.,2,0
mortality (adult),mean duration for 100% mortality (unfed adults),weeks,Trait: mortality (adult). Definition: mean duration for 100% mortality (unfed adults). Unit: weeks.,2,0
fecundity rate,peak number of eggs per day per individual,eggs individual-1 day-1,Trait: fecundity rate. Definition: peak number of eggs per day per individual. Unit: eggs individual-1 day-1.,2,0
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,Trait: reproductive efficiency index. Definition: ratio of lifetime eggs to engorged female weight. Unit: eggs individual-1 day-1.,2,0
body size,mean dry mass. relationship between dry mass and wing length,mg,Trait: body size. Definition: mean dry mass. relationship between dry mass and wing length. Unit: mg.,2,0
mortality,time taken for 50% of adults to die,days,Trait: mortality. Definition: time taken for 50% of adults to die. Unit: days.,2,0
survival,proportion of individuals surviving life stage (emergence rate),proportion,Trait: survival. Definition: proportion of individuals surviving life stage (emergence rate). Unit: proportion.,2,0
body size,dry mass,mg,Trait: body size. Definition: dry mass. Unit: mg.,2,0
survival,percentage of individuals surviving life stage (emergence rate),individuals,Trait: survival. Definition: percentage of individuals surviving life stage (emergence rate). Unit: individuals.,2,0
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Trait: reproductive capacity. Definition: proportion of individuals that laid eggs after first blood meal. Unit: proportion.,2,0
fertility,mean number of hatched eggs in an individuals lifetime,eggs individual-1,Trait: fertility. Definition: mean number of hatched eggs in an individuals lifetime. Unit: eggs individual-1.,2,0
survival rate,mean percentage surviving life stage,percent,Trait: survival rate. Definition: mean percentage surviving life stage. Unit: percent.,2,6.439293542825908e-15
lifespan,mean duration of entrie lifespan (from egg to adult death),days,Trait: lifespan. Definition: mean duration of entrie lifespan (from egg to adult death). Unit: days.,2,0
fecundity,mean eggs individual-1,eggs,Trait: fecundity. Definition: mean eggs individual-1. Unit: eggs.,2,4.50373072169441e-12
sex ratio,mean proportion of female adults cohort-1,ratio,Trait: sex ratio. Definition: mean proportion of female adults cohort-1. Unit: ratio.,2,0
fecundity,mean lifetime total number of nymphs,progeny individual-1,Trait: fecundity. Definition: mean lifetime total number of nymphs. Unit: progeny individual-1.,2,5.10702591327572e-15
sex ratio,ratio of male psyllids to female psyllids,ratio,Trait: sex ratio. Definition: ratio of male psyllids to female psyllids. Unit: ratio.,2,0
head capsule width,mean width of head capsule,mm,Trait: head capsule width. Definition: mean width of head capsule. Unit: mm.,2,0
cold hardiness,percent of eggs hatched after being exposed to freezing temperatures for a given duration of time,percent,Trait: cold hardiness. Definition: percent of eggs hatched after being exposed to freezing temperatures for a given duration of time. Unit: percent.,2,0
temperature thresholds for oviposition,number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held,number of eggs,Trait: temperature thresholds for oviposition. Definition: number of psyllid eggs laid over a 48 hour period at temperatures at which female psyllids were held. Unit: number of eggs.,2,0
mortality rate,inverse of mean longevity,days-1,Trait: mortality rate. Definition: inverse of mean longevity. Unit: days-1.,2,0
fecundity,mean lifetime progeny,progeny individual-1,Trait: fecundity. Definition: mean lifetime progeny. Unit: progeny individual-1.,2,0
reproductive and post-reproductive periods,mean duration of life stage,days,Trait: reproductive and post-reproductive periods. Definition: mean duration of life stage. Unit: days.,2,8.881784197001252e-16
life cycle,mean duration of entire life cycle,days,Trait: life cycle. Definition: mean duration of entire life cycle. Unit: days.,2,0
development rate,replicate-level mean rate of life stage completion,days-1,Trait: development rate. Definition: replicate-level mean rate of life stage completion. Unit: days-1.,2,2.6645352591003757e-15
fecundity rate,maximum number of offspring per female per day,nymphs individual-1 day-1,Trait: fecundity rate. Definition: maximum number of offspring per female per day. Unit: nymphs individual-1 day-1.,2,0
fecundity rate,mean number of nymphs per day per female,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean number of nymphs per day per female. Unit: progeny individual-1 day-1.,2,2.220446049250313e-16
development rate,inverse of the mean duration of life stage,days-1,Trait: development rate. Definition: inverse of the mean duration of life stage. Unit: days-1.,2,1.3746546123627468e-9
fecundity,mean duration of life stage,progeny individual-1,Trait: fecundity. Definition: mean duration of life stage. Unit: progeny individual-1.,2,4.3209880118411093e-13
post-reproductive period,mean duration of life stage,days,Trait: post-reproductive period. Definition: mean duration of life stage. Unit: days.,2,0
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,Trait: growth rate. Definition: mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time). Unit: ug ug-1 day-1.,2,0
body length,replicate-level mean body length,mm,Trait: body length. Definition: replicate-level mean body length. Unit: mm.,2,0
effective fecundity,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Trait: effective fecundity. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1.,2,0
body size (alate),mean wet mass,mg,Trait: body size (alate). Definition: mean wet mass. Unit: mg.,2,0
body size (apterous),mean wet mass,mg,Trait: body size (apterous). Definition: mean wet mass. Unit: mg.,2,0
maximum fecundity,mean duration from onset of reproduction to maximum reproductive output,days,Trait: maximum fecundity. Definition: mean duration from onset of reproduction to maximum reproductive output. Unit: days.,2,0
fecundity rate,mean duration of life stage,progeny individual-1 day-1,Trait: fecundity rate. Definition: mean duration of life stage. Unit: progeny individual-1 day-1.,2,4.440892098500626e-16
pre-reproductive period,mean rate of life stage completion,days,Trait: pre-reproductive period. Definition: mean rate of life stage completion. Unit: days.,2,0
