OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Predation Mortality Rate,Mortality rate of resource population to consumers normalised by resource and consumer population densities per time,event / (1 individual * 1 individual * 24 hour),Decapoda,Crangonidae,adult,Trait: Predation Mortality Rate. Definition: Mortality rate of resource population to consumers normalised by resource and consumer population densities per time. Unit: event / (1 individual * 1 individual * 24 hour). Organism order: Decapoda. Organism family: Crangonidae.,v5,-1
Consumer Search Rate,The area an individual consumer searches when foraging per time (calculated as the number of attacks standardized by resource density and the size of the arena),square meter / (1 individual * 1 hour),Decapoda,Crangonidae,adult,Trait: Consumer Search Rate. Definition: The area an individual consumer searches when foraging per time (calculated as the number of attacks standardized by resource density and the size of the arena). Unit: square meter / (1 individual * 1 hour). Organism order: Decapoda. Organism family: Crangonidae.,v5,-1
Successful Attack Probability,The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted,proportion / 1 individual,Perciformes,Percidae,juvenile,Trait: Successful Attack Probability. Definition: The number of attacks that resulted in consumption of resource in proportion to the total number of attacks attempted. Unit: proportion / 1 individual. Organism order: Perciformes. Organism family: Percidae.,v5,12
Faecal Excretion Rate,Mass of faeces excreted by a consumer individual per time,milligram (body mass - dry) / (1 individual * 24 hour),Ephemeroptera,Ephemeridae,nymph,Trait: Faecal Excretion Rate. Definition: Mass of faeces excreted by a consumer individual per time. Unit: milligram (body mass - dry) / (1 individual * 24 hour). Organism order: Ephemeroptera. Organism family: Ephemeridae.,v5,-1
Voluntary Tail Beat Rate,Rate of tail-beat cycles of an organism during voluntary locomotion,event / (1 individual * 1 second),Diptera,Ceratopogonidae,instar 4,Trait: Voluntary Tail Beat Rate. Definition: Rate of tail-beat cycles of an organism during voluntary locomotion. Unit: event / (1 individual * 1 second). Organism order: Diptera. Organism family: Ceratopogonidae.,v5,10
'Submerged' Attack Probability,Proportion of times a consumer attacked resource when the consumer was submerged to the total number of attacks (consumer also attacked from the water surface),percent / 1 individual,Hemiptera,Notonectidae,adult,Trait: 'Submerged' Attack Probability. Definition: Proportion of times a consumer attacked resource when the consumer was submerged to the total number of attacks (consumer also attacked from the water surface). Unit: percent / 1 individual. Organism order: Hemiptera. Organism family: Notonectidae.,v5,-1
Resource Habitat Encounter Rate,Total number of times a consumer encounters its resource habitat within the larger landscape per consumer per time,event / (1 individual * 66 minute),Coleoptera,Carabidae,adult,Trait: Resource Habitat Encounter Rate. Definition: Total number of times a consumer encounters its resource habitat within the larger landscape per consumer per time. Unit: event / (1 individual * 66 minute). Organism order: Coleoptera. Organism family: Carabidae.,v5,11
Unsuccessful Attack Rate,Rate of attacks that did not result in consumption of the resource per consumer (or group of consumers) when foraging,event / (1 individual * 5 minute),Squamata,Lacertidae,adult,Trait: Unsuccessful Attack Rate. Definition: Rate of attacks that did not result in consumption of the resource per consumer (or group of consumers) when foraging. Unit: event / (1 individual * 5 minute). Organism order: Squamata. Organism family: Lacertidae.,v5,12
Foraging Probability,Proportion of time an animal spends foraging,proportion,Coleoptera,Carabidae,adult,Trait: Foraging Probability. Definition: Proportion of time an animal spends foraging. Unit: proportion. Organism order: Coleoptera. Organism family: Carabidae.,v5,6
Resource Consumption Probability,Amount of resource eaten by a consumer as a proportion to the total amount available,proportion,Decapoda,Portunidae,adult,Trait: Resource Consumption Probability. Definition: Amount of resource eaten by a consumer as a proportion to the total amount available. Unit: proportion. Organism order: Decapoda. Organism family: Portunidae.,v5,12
Escape Apparent Visual Looming Threshold,Threshold at which the rate of change of the visual angle subtended by an attacking consumers frontal profile onto the resource's eye triggers an escape response by the resource,radian / (1 individual * 1 second),Clupeiformes,Clupeidae,juvenile,Trait: Escape Apparent Visual Looming Threshold. Definition: Threshold at which the rate of change of the visual angle subtended by an attacking consumers frontal profile onto the resource's eye triggers an escape response by the resource. Unit: radian / (1 individual * 1 second). Organism order: Clupeiformes. Organism family: Clupeidae.,v5,-1
Mass-Specific Ammonia Excretion Rate,Rate of ammonia (NH3) mass excretion per consumer mass per time,milligram (body mass - dry) / (1 gram (body mass - wet) * 1 day),Cladocera,Daphniidae,adult,Trait: Mass-Specific Ammonia Excretion Rate. Definition: Rate of ammonia (NH3) mass excretion per consumer mass per time. Unit: milligram (body mass - dry) / (1 gram (body mass - wet) * 1 day). Organism order: Cladocera. Organism family: Daphniidae.,v5,-1
Flee Distance,"Distance moved by a resource when fleeing a predator before stopping (includes escape burst component and other slower movement, if present)",centimeter / 1 individual,Primates,Hominidae,adult,"Trait: Flee Distance. Definition: Distance moved by a resource when fleeing a predator before stopping (includes escape burst component and other slower movement, if present). Unit: centimeter / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,12
Escape Tail Beat Rate,Rate of tail beats of a resource individual during locomotion for escape,event / (1 individual * 1 second),NA,NA,NA,Trait: Escape Tail Beat Rate. Definition: Rate of tail beats of a resource individual during locomotion for escape. Unit: event / (1 individual * 1 second).,v5,10
Escape Stroke Length,Distance covered by a resource in a single locomotory stroke during escape,millimeter / 1 individual,NA,NA,NA,Trait: Escape Stroke Length. Definition: Distance covered by a resource in a single locomotory stroke during escape. Unit: millimeter / 1 individual.,v5,10
Voluntary Stroke Length,Distance covered by an organism in a single locomotory stroke during voluntary locomotion,centimeter / 1 individual,Pleurogona,Styelidae,larvae,Trait: Voluntary Stroke Length. Definition: Distance covered by an organism in a single locomotory stroke during voluntary locomotion. Unit: centimeter / 1 individual. Organism order: Pleurogona. Organism family: Styelidae.,v5,10
Filtration Metabolic Efficiency Volume,Mass-specific metabolic efficiency of the filtration process expressed as water volume per oxygen volume per consumer individual,milliliter / (1 microliter * 1 individual),Veneroida,Cardiidae,adult,Trait: Filtration Metabolic Efficiency Volume. Definition: Mass-specific metabolic efficiency of the filtration process expressed as water volume per oxygen volume per consumer individual. Unit: milliliter / (1 microliter * 1 individual). Organism order: Veneroida. Organism family: Cardiidae.,v5,-1
Refuge Distance,"Distance to refuge for a resource when initially spotted by a consumer (e.g., bush, rock, clump of grass)",meter / 1 individual,Primates,Hominidae,adult,"Trait: Refuge Distance. Definition: Distance to refuge for a resource when initially spotted by a consumer (e.g., bush, rock, clump of grass). Unit: meter / 1 individual. Organism order: Primates. Organism family: Hominidae.",v5,-1
Resource Mobility Selection,Proportion of replicate consumer-resource trials in which the first resource consumed by the consumer was winged (initially an equal number of winged and wingless resources were in the arena available for consumption),percent / 1 individual,Squamata,Lacertidae,adult,Trait: Resource Mobility Selection. Definition: Proportion of replicate consumer-resource trials in which the first resource consumed by the consumer was winged (initially an equal number of winged and wingless resources were in the arena available for consumption). Unit: percent / 1 individual. Organism order: Squamata. Organism family: Lacertidae.,v5,-1
Grid-Point Encounter Rate,Encounter rate of individuals in a population with a 1cm square box marked on the substrate over a given time period,event / 5 minute,Mesostigmata,Phytoseiidae,adult,Trait: Grid-Point Encounter Rate. Definition: Encounter rate of individuals in a population with a 1cm square box marked on the substrate over a given time period. Unit: event / 5 minute. Organism order: Mesostigmata. Organism family: Phytoseiidae.,v5,11
Attack Body Velocity,Body velocity of an individual consumer during an attack,millimeter / (1 individual * 1 second),Clupeiformes,Clupeidae,juvenile,Trait: Attack Body Velocity. Definition: Body velocity of an individual consumer during an attack. Unit: millimeter / (1 individual * 1 second). Organism order: Clupeiformes. Organism family: Clupeidae.,v5,7
Gut Passage Time,Time for food to move through an animal from ingestion to initial evacuation in faeces,minute / 1 individual,Cheilostomata,Membraniporidae,adult,Trait: Gut Passage Time. Definition: Time for food to move through an animal from ingestion to initial evacuation in faeces. Unit: minute / 1 individual. Organism order: Cheilostomata. Organism family: Membraniporidae.,v5,-1
Unsuccessful Attack Probability,The number of attacks that did not result in consumption of resource in proportion to the total number of attacks attempted,percent / 1 individual,Cypriniformes,Cyprinidae,adult,Trait: Unsuccessful Attack Probability. Definition: The number of attacks that did not result in consumption of resource in proportion to the total number of attacks attempted. Unit: percent / 1 individual. Organism order: Cypriniformes. Organism family: Cyprinidae.,v5,12
Resource Size Selection,Choice of body length of consumed resource by consumers,centimeter / 1 individual,Decapoda,Portunidae,adult,Trait: Resource Size Selection. Definition: Choice of body length of consumed resource by consumers. Unit: centimeter / 1 individual. Organism order: Decapoda. Organism family: Portunidae.,v5,-1
Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),proportion / 1 individual,Forcipulatida,Asteriidae,adult,Trait: Food Mass Conversion Efficiency. Definition: Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed). Unit: proportion / 1 individual. Organism order: Forcipulatida. Organism family: Asteriidae.,v5,-1
Fixed-point Activity Rate,Encounter rate of individuals in a population moving past a fixed point,event / 5 minute,Cladocera,Daphniidae,adult,Trait: Fixed-point Activity Rate. Definition: Encounter rate of individuals in a population moving past a fixed point. Unit: event / 5 minute. Organism order: Cladocera. Organism family: Daphniidae.,v5,-1
Population Voluntary Exposure Probability,"Proportion of individuals in a population that are exposed (i.e., above substrate surface and active) at time of observation",proportion,Amphipoda,Crangonyctidae,adult,"Trait: Population Voluntary Exposure Probability. Definition: Proportion of individuals in a population that are exposed (i.e., above substrate surface and active) at time of observation. Unit: proportion. Organism order: Amphipoda. Organism family: Crangonyctidae.",v5,4
Population Voluntary Movement Probability of Exposed Individuals,Proportion of exposed individuals in a population that are physically moving through space at time of observation,proportion,Amphipoda,Crangonyctidae,adult,Trait: Population Voluntary Movement Probability of Exposed Individuals. Definition: Proportion of exposed individuals in a population that are physically moving through space at time of observation. Unit: proportion. Organism order: Amphipoda. Organism family: Crangonyctidae.,v5,4
Gut Loading Time,Time taken to physically fill the gut of an individual consumer with food,hour / 1 individual,Ephemeroptera,Ephemeridae,nymph,Trait: Gut Loading Time. Definition: Time taken to physically fill the gut of an individual consumer with food. Unit: hour / 1 individual. Organism order: Ephemeroptera. Organism family: Ephemeridae.,v5,2
Mass-Specific Mass Clearance Rate,Mass-specific rate of removal of suspended particles from the environment per mass of filter feeder per time,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),Veneroida,Dreissenidae,adult,Trait: Mass-Specific Mass Clearance Rate. Definition: Mass-specific rate of removal of suspended particles from the environment per mass of filter feeder per time. Unit: milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour). Organism order: Veneroida. Organism family: Dreissenidae.,v5,-1
Endurance Time,Time maintained on a single-speed treadmill or flow chamber until exhaustion when escaping a consumer (or other non-biotic negative stimulus),minute / 1 individual,Primates,Hominidae,adult,Trait: Endurance Time. Definition: Time maintained on a single-speed treadmill or flow chamber until exhaustion when escaping a consumer (or other non-biotic negative stimulus). Unit: minute / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,-1
Critical Travel Velocity,Velocity at which an individual fails to maintain itself within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill),centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Critical Travel Velocity. Definition: Velocity at which an individual fails to maintain itself within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill). Unit: centimeter / (1 individual * 1 second).,v5,-1
Escape Body Response Time,Time interval between the first physical displacement of the body of the resource by a stimulus and the first body movement in response,millisecond / 1 individual,NA,NA,NA,Trait: Escape Body Response Time. Definition: Time interval between the first physical displacement of the body of the resource by a stimulus and the first body movement in response. Unit: millisecond / 1 individual.,v5,-1
Escape Body Contraction Time,Time for animal to contract its body during escape movement,millisecond / 1 individual,NA,NA,NA,Trait: Escape Body Contraction Time. Definition: Time for animal to contract its body during escape movement. Unit: millisecond / 1 individual.,v5,5
Escape Tail Beat Amplitude,Amplitude of the tail of a resource during escape locomotion,millimeter / 1 individual,NA,NA,NA,Trait: Escape Tail Beat Amplitude. Definition: Amplitude of the tail of a resource during escape locomotion. Unit: millimeter / 1 individual.,v5,10
Escape Stroke Duration,Duration of a single stroke (or stride or kick) of a resource during escape burst movement,second / 1 individual,Primates,Hominidae,adult,Trait: Escape Stroke Duration. Definition: Duration of a single stroke (or stride or kick) of a resource during escape burst movement. Unit: second / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,-1
Mass-Specific Escape Body Power Production,Mass-specific power production during burst movements by a resource during escape,watt / 1 kilogram (body mass - wet),Primates,Hominidae,adult,Trait: Mass-Specific Escape Body Power Production. Definition: Mass-specific power production during burst movements by a resource during escape. Unit: watt / 1 kilogram (body mass - wet). Organism order: Primates. Organism family: Hominidae.,v5,10
Radular Scrape Rate,"The number of radular scrapes per consumer number per time (a radular is used by many molluscs to graze and scrape diatoms and other microscopic algae off benthic surfaces, and is analogous to bites in other animals)",event / (1 individual * 1 minute),Patellogastropoda,Nacellidae,adult,"Trait: Radular Scrape Rate. Definition: The number of radular scrapes per consumer number per time (a radular is used by many molluscs to graze and scrape diatoms and other microscopic algae off benthic surfaces, and is analogous to bites in other animals). Unit: event / (1 individual * 1 minute). Organism order: Patellogastropoda. Organism family: Nacellidae.",v5,-1
Digestion Time 50%,Time taken for 50 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 50%. Definition: Time taken for 50 percent of the mass of a meal to be digested by a consumer. Unit: hour / 1 individual. Organism order: Salmoniformes. Organism family: Salmonidae.,v5,9
Population Foraging Probability,Proportion of a consumer population that are foraging at time of observation,percent,Lepidoptera,Sphingidae,instar 4-5,Trait: Population Foraging Probability. Definition: Proportion of a consumer population that are foraging at time of observation. Unit: percent. Organism order: Lepidoptera. Organism family: Sphingidae.,v5,6
Bite Rate,The number of bites per consumer number per time,event / (1 individual * 1 second),Lepidoptera,Sphingidae,instar 4-5,Trait: Bite Rate. Definition: The number of bites per consumer number per time. Unit: event / (1 individual * 1 second). Organism order: Lepidoptera. Organism family: Sphingidae.,v5,-1
Rattle Rate,Rate of a rattle snake's rattle,event / (1 individual * 1 minute),Primates,Hominidae,adult,Trait: Rattle Rate. Definition: Rate of a rattle snake's rattle. Unit: event / (1 individual * 1 minute). Organism order: Primates. Organism family: Hominidae.,v5,-1
Critical Travel Velocity 50%,Velocity at which half the individuals fail to maintain themselves within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill),centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Critical Travel Velocity 50%. Definition: Velocity at which half the individuals fail to maintain themselves within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill). Unit: centimeter / (1 individual * 1 second).,v5,-1
Voluntary Body Contraction Rate,Rate of body contractions for locomotion in an organism with no apparent stimulus,event / (1 individual * 1 minute),Semaeostomeae,Ulmaridae,ephyrae,Trait: Voluntary Body Contraction Rate. Definition: Rate of body contractions for locomotion in an organism with no apparent stimulus. Unit: event / (1 individual * 1 minute). Organism order: Semaeostomeae. Organism family: Ulmaridae.,v5,-1
Escape Gait Change Velocity,Velocity at which resource changes gait during escape expressed per resource number,kilometer / (1 individual * 1 hour),NA,NA,NA,Trait: Escape Gait Change Velocity. Definition: Velocity at which resource changes gait during escape expressed per resource number. Unit: kilometer / (1 individual * 1 hour).,v5,-1
Ground Foraging Duration,Duration of ground foraging bouts for a consumer that sits in perch looking for resource and then comes to the ground to forage (consumer forages in other ways so each time does not represent an entire foraging bout),second / 1 individual,Passeriformes,Muscicapidae,adult (female),Trait: Ground Foraging Duration. Definition: Duration of ground foraging bouts for a consumer that sits in perch looking for resource and then comes to the ground to forage (consumer forages in other ways so each time does not represent an entire foraging bout). Unit: second / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.,v5,6
Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),second / 1 individual,Passeriformes,Muscicapidae,adult (female),Trait: Foraging Perch Time. Definition: Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike). Unit: second / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.,v5,6
Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,second / 1 individual,Passeriformes,Muscicapidae,adult (female),Trait: Attack Interval Time. Definition: Time elapsed from the completion of one attack to the start of the next attack per consumer number. Unit: second / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.,v5,-1
'Ground-Foraging' Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'ground foraging' (i.e., stays on the ground and actively searches for resource)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Ground-Foraging' Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'ground foraging' (i.e., stays on the ground and actively searches for resource). Unit: proportion / 1 individual. Organism order: Passeriformes. Organism family: Muscicapidae.",v5,6
Gut Clearance Time,Time taken for ingested resource to be fully evacuated from consumer (often measured by x-ray or killing of animal),hour / 1 individual,Pleuronectiformes,Pleuronectidae,adult,Trait: Gut Clearance Time. Definition: Time taken for ingested resource to be fully evacuated from consumer (often measured by x-ray or killing of animal). Unit: hour / 1 individual. Organism order: Pleuronectiformes. Organism family: Pleuronectidae.,v5,2
Undigested Mass,Total mass of resource remaining in a consumer's gut since ingestion,milligram (body mass - dry),Salmoniformes,Salmonidae,adult,Trait: Undigested Mass. Definition: Total mass of resource remaining in a consumer's gut since ingestion. Unit: milligram (body mass - dry). Organism order: Salmoniformes. Organism family: Salmonidae.,v5,-1
Escape Body Acceleration,Acceleration of the whole body during burst escape movements,meter / (1 second * 1 second),NA,NA,NA,Trait: Escape Body Acceleration. Definition: Acceleration of the whole body during burst escape movements. Unit: meter / (1 second * 1 second).,v5,7
Voluntary Moving Probability,Proportion of time organism spends physically moving through space or is otherwise visibly active over total observation time,second / 1 minute,Perciformes,Sparidae,larvae,Trait: Voluntary Moving Probability. Definition: Proportion of time organism spends physically moving through space or is otherwise visibly active over total observation time. Unit: second / 1 minute. Organism order: Perciformes. Organism family: Sparidae.,v5,4
Population Filter-Feeding Probability,"Proportion of consumer population that are filter feeding (i.e., 'foraging') at time of observation",percent,Trichoptera,Brachycentridae,instar 5,"Trait: Population Filter-Feeding Probability. Definition: Proportion of consumer population that are filter feeding (i.e., 'foraging') at time of observation. Unit: percent. Organism order: Trichoptera. Organism family: Brachycentridae.",v5,6
Critical Holding Velocity,Velocity at which animal failed to hold position on the substrate when placed in a multi-speed flow chamber for a set time at sequentially increasing speeds,centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Critical Holding Velocity. Definition: Velocity at which animal failed to hold position on the substrate when placed in a multi-speed flow chamber for a set time at sequentially increasing speeds. Unit: centimeter / (1 individual * 1 second).,v5,-1
In Vitro Gill Particle Transport Velocity,Velocity of particles in grooves of gill fragments excised from an organism,millimeter / 1 second,Mytiloida,Mytilidae,adult,Trait: In Vitro Gill Particle Transport Velocity. Definition: Velocity of particles in grooves of gill fragments excised from an organism. Unit: millimeter / 1 second. Organism order: Mytiloida. Organism family: Mytilidae.,v5,-1
Strike Velocity,Velocity of a consumers strike (averaged over strike distance),centimeter / (1 individual * 1 second),Squamata,Colubridae,adult,Trait: Strike Velocity. Definition: Velocity of a consumers strike (averaged over strike distance). Unit: centimeter / (1 individual * 1 second). Organism order: Squamata. Organism family: Colubridae.,v5,-1
Successful Strike Probability,The number of strikes that resulted in consumption of resource in proportion to the total number of strikes attempted by a consumer,proportion,Squamata,Colubridae,adult,Trait: Successful Strike Probability. Definition: The number of strikes that resulted in consumption of resource in proportion to the total number of strikes attempted by a consumer. Unit: proportion. Organism order: Squamata. Organism family: Colubridae.,v5,-1
Consumption Probability,"Probability that an active consumer (i.e., awake, not sleeping) would consume food that was offered to it",percent / 1 individual,Squamata,Colubridae,adult,"Trait: Consumption Probability. Definition: Probability that an active consumer (i.e., awake, not sleeping) would consume food that was offered to it. Unit: percent / 1 individual. Organism order: Squamata. Organism family: Colubridae.",v5,-1
Critical Upright Time,Time taken for animal to become completely exhausted from repeated up-righting of body,minute / 1 individual,Primates,Hominidae,adult,Trait: Critical Upright Time. Definition: Time taken for animal to become completely exhausted from repeated up-righting of body. Unit: minute / 1 individual. Organism order: Primates. Organism family: Hominidae.,v5,-1
