trait_category,OriginalTraitName,OriginalTraitDef,OriginalTraitUnits,n_distinct_units,include,inclusion_basis,audit_status,audit_note
Longevity / lifespan,survival time,mean survival time of fasting larvae,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean survival time of fasting nymphs,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean survival time of larvae post hatch,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean time for egg survival,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean time for engorged adult survival,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean time for engorged nymph survival,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean time for unfed adult survival,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Longevity / lifespan,survival time,mean time for unfed larva survival,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,cumulative daily survival,lx,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,individual-level binomial survival,0 = did not survive life stage; 1 = survived life stage,2,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,percent surviving life stage,%; 0 = did not survive life stage; 1 = survived life stage; days; percent,5,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,percent surviving life stage (across all humidity levels),percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,percentage of individuals surviving life stage (emergence rate),individuals; percent,2,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,probability of survival after exposure to extreme temperatures,probability,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,proportion of individuals surviving life stage (emergence rate),individuals; proportion,2,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival,proportion surviving life stage,days; proportion,2,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,mean percentage surviving life stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percent surviving life stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percent surviving to oviposition,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of larval ticks that molted following engorgement,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of starved larval ticks that survived to the days listed,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived adult engorgement,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived at 17 degrees celcius,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived at 24 degrees celcius,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived at 30 degrees celcius,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived at 5 degrees celcius,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived the adult stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived the larval moult,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived the larval stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived the nymphal moult,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of ticks that survived the nymphal stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Survival proportion,survival rate,percentage of unfed adults that survive,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,Pre-Oviposition Period,Pre-oviposition period of ticks held at constant temperature,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,age at first reproduction,mean age at first reproduction,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,age at first reproduction,mean age at the onset of reproduction,days; progeny individual-1,2,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,age at first reproduction,mean duration from birth to onset of reproduction,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,age at first reproduction,mean duration of life stage,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,pre-reproductive period,mean duration from adult emergence to onset of reproduction,days; hours; percent; progeny individual-1,4,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,pre-reproductive period,mean duration of life stage,days; hours,2,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,pre-reproductive period,mean duration to production of first larva,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,pre-reproductive period,mean rate of life stage completion,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,pre-reproductive period,period of time before female aphids reproduce,days,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,Mean Pre-Oviposition Period,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,individual-level duration of prereproductive period (end of feeding until oviposition),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean Preoviposition Period in days at adult female state at const temps,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean days in preoviposition,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean duration from adult emergence to onset of reproduction,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean duration of life stage,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean duration of period before oviposition,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean time required for an engorged female tick to begin laying eggs,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Pre-oviposition interval,preoviposition period,mean time until onset of oviposition,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,egg hatch,Mean percentage of eggs hatched,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,egg viability,mean percentage of viable eggs produced per female,eggs individual-1,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatch rate,mean hatching rate of egg batches,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatch rate,percentage of egg masses producing larvae,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatch ratio,hatching ratio of eggs,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatchability,mean percentage of eggs hatching,percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatchability,percent of eggs successfully hatching based on the day of oviposition during which it was laid,percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatchability,percent surviving life stage,percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatchability,the percent of laid eggs that successfully hatched,percent,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatching rate,mean duration of life stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,hatching rate,percent surviving life stage,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg-hatching success,larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,percent,1,TRUE,explicit name variant or semantic synonym,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,Incubation Period,Incubation period of ticks held at constant temperature,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,Mean Incubation Period,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,mean Incubation Period in days from egg to larvae at constant temps,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,mean duration from oviposition to hatching,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,mean duration of egg incubation period (lay to hatching),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,mean egg incubation period,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,mean time required for an egg to hatch (from time of completion of egg deposition to eclosion of first larva),days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,median time from oviposition to hatching,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
Egg incubation period,incubation period,time from start of oviposition until first eggs hatched,days,1,TRUE,exact target name,provisional; expert review pending,Name family and definitions manually inspected; name-matched curation inconsistencies retained.
