OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,ConOrder,ConFamily,ConStage,text,version,cluster_id
Resource Mobility Selection,Proportion of replicate consumer-resource trials in which the first resource consumed by the consumer was winged (initially an equal number of winged and wingless resources were in the arena available for consumption),percent / 1 individual,Squamata,Lacertidae,adult,Trait: Resource Mobility Selection. Definition: Proportion of replicate consumer-resource trials in which the first resource consumed by the consumer was winged (initially an equal number of winged and wingless resources were in the arena available for consumption).,v2,-1
Grid-Point Encounter Rate,Encounter rate of individuals in a population with a 1cm square box marked on the substrate over a given time period,event / 5 minute,Mesostigmata,Phytoseiidae,adult,Trait: Grid-Point Encounter Rate. Definition: Encounter rate of individuals in a population with a 1cm square box marked on the substrate over a given time period.,v2,-1
Attack Body Velocity,Body velocity of an individual consumer during an attack,millimeter / (1 individual * 1 second),Clupeiformes,Clupeidae,juvenile,Trait: Attack Body Velocity. Definition: Body velocity of an individual consumer during an attack.,v2,-1
Gut Passage Time,Time for food to move through an animal from ingestion to initial evacuation in faeces,minute / 1 individual,Cheilostomata,Membraniporidae,adult,Trait: Gut Passage Time. Definition: Time for food to move through an animal from ingestion to initial evacuation in faeces.,v2,-1
Unsuccessful Attack Probability,The number of attacks that did not result in consumption of resource in proportion to the total number of attacks attempted,percent / 1 individual,Cypriniformes,Cyprinidae,adult,Trait: Unsuccessful Attack Probability. Definition: The number of attacks that did not result in consumption of resource in proportion to the total number of attacks attempted.,v2,8
Resource Size Selection,Choice of body length of consumed resource by consumers,centimeter / 1 individual,Decapoda,Portunidae,adult,Trait: Resource Size Selection. Definition: Choice of body length of consumed resource by consumers.,v2,-1
Food Mass Conversion Efficiency,Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed),proportion / 1 individual,Forcipulatida,Asteriidae,adult,Trait: Food Mass Conversion Efficiency. Definition: Efficiency of converting food mass to body mass (expressed as growth in tissue mass in proportion to total mass of resource consumed).,v2,-1
Fixed-point Activity Rate,Encounter rate of individuals in a population moving past a fixed point,event / 5 minute,Cladocera,Daphniidae,adult,Trait: Fixed-point Activity Rate. Definition: Encounter rate of individuals in a population moving past a fixed point.,v2,-1
Population Voluntary Exposure Probability,"Proportion of individuals in a population that are exposed (i.e., above substrate surface and active) at time of observation",proportion,Amphipoda,Crangonyctidae,adult,"Trait: Population Voluntary Exposure Probability. Definition: Proportion of individuals in a population that are exposed (i.e., above substrate surface and active) at time of observation.",v2,2
Population Voluntary Movement Probability of Exposed Individuals,Proportion of exposed individuals in a population that are physically moving through space at time of observation,proportion,Amphipoda,Crangonyctidae,adult,Trait: Population Voluntary Movement Probability of Exposed Individuals. Definition: Proportion of exposed individuals in a population that are physically moving through space at time of observation.,v2,2
Gut Loading Time,Time taken to physically fill the gut of an individual consumer with food,hour / 1 individual,Ephemeroptera,Ephemeridae,nymph,Trait: Gut Loading Time. Definition: Time taken to physically fill the gut of an individual consumer with food.,v2,-1
Mass-Specific Mass Clearance Rate,Mass-specific rate of removal of suspended particles from the environment per mass of filter feeder per time,milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),Veneroida,Dreissenidae,adult,Trait: Mass-Specific Mass Clearance Rate. Definition: Mass-specific rate of removal of suspended particles from the environment per mass of filter feeder per time.,v2,-1
Endurance Time,Time maintained on a single-speed treadmill or flow chamber until exhaustion when escaping a consumer (or other non-biotic negative stimulus),minute / 1 individual,Primates,Hominidae,adult,Trait: Endurance Time. Definition: Time maintained on a single-speed treadmill or flow chamber until exhaustion when escaping a consumer (or other non-biotic negative stimulus).,v2,-1
Critical Travel Velocity,Velocity at which an individual fails to maintain itself within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill),centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Critical Travel Velocity. Definition: Velocity at which an individual fails to maintain itself within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill).,v2,-1
Escape Body Response Time,Time interval between the first physical displacement of the body of the resource by a stimulus and the first body movement in response,millisecond / 1 individual,NA,NA,NA,Trait: Escape Body Response Time. Definition: Time interval between the first physical displacement of the body of the resource by a stimulus and the first body movement in response.,v2,-1
Escape Body Contraction Time,Time for animal to contract its body during escape movement,millisecond / 1 individual,NA,NA,NA,Trait: Escape Body Contraction Time. Definition: Time for animal to contract its body during escape movement.,v2,4
Escape Tail Beat Amplitude,Amplitude of the tail of a resource during escape locomotion,millimeter / 1 individual,NA,NA,NA,Trait: Escape Tail Beat Amplitude. Definition: Amplitude of the tail of a resource during escape locomotion.,v2,6
Escape Stroke Duration,Duration of a single stroke (or stride or kick) of a resource during escape burst movement,second / 1 individual,Primates,Hominidae,adult,Trait: Escape Stroke Duration. Definition: Duration of a single stroke (or stride or kick) of a resource during escape burst movement.,v2,-1
Mass-Specific Escape Body Power Production,Mass-specific power production during burst movements by a resource during escape,watt / 1 kilogram (body mass - wet),Primates,Hominidae,adult,Trait: Mass-Specific Escape Body Power Production. Definition: Mass-specific power production during burst movements by a resource during escape.,v2,6
Radular Scrape Rate,"The number of radular scrapes per consumer number per time (a radular is used by many molluscs to graze and scrape diatoms and other microscopic algae off benthic surfaces, and is analogous to bites in other animals)",event / (1 individual * 1 minute),Patellogastropoda,Nacellidae,adult,"Trait: Radular Scrape Rate. Definition: The number of radular scrapes per consumer number per time (a radular is used by many molluscs to graze and scrape diatoms and other microscopic algae off benthic surfaces, and is analogous to bites in other animals).",v2,-1
Digestion Time 50%,Time taken for 50 percent of the mass of a meal to be digested by a consumer,hour / 1 individual,Salmoniformes,Salmonidae,juvenile,Trait: Digestion Time 50%. Definition: Time taken for 50 percent of the mass of a meal to be digested by a consumer.,v2,-1
Population Foraging Probability,Proportion of a consumer population that are foraging at time of observation,percent,Lepidoptera,Sphingidae,instar 4-5,Trait: Population Foraging Probability. Definition: Proportion of a consumer population that are foraging at time of observation.,v2,5
Bite Rate,The number of bites per consumer number per time,event / (1 individual * 1 second),Lepidoptera,Sphingidae,instar 4-5,Trait: Bite Rate. Definition: The number of bites per consumer number per time.,v2,-1
Rattle Rate,Rate of a rattle snake's rattle,event / (1 individual * 1 minute),Primates,Hominidae,adult,Trait: Rattle Rate. Definition: Rate of a rattle snake's rattle.,v2,-1
Critical Travel Velocity 50%,Velocity at which half the individuals fail to maintain themselves within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill),centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Critical Travel Velocity 50%. Definition: Velocity at which half the individuals fail to maintain themselves within a moving terrain that incrementally increases in speed (measured using a multi-speed flow chamber or treadmill).,v2,-1
Voluntary Body Contraction Rate,Rate of body contractions for locomotion in an organism with no apparent stimulus,event / (1 individual * 1 minute),Semaeostomeae,Ulmaridae,ephyrae,Trait: Voluntary Body Contraction Rate. Definition: Rate of body contractions for locomotion in an organism with no apparent stimulus.,v2,6
Escape Gait Change Velocity,Velocity at which resource changes gait during escape expressed per resource number,kilometer / (1 individual * 1 hour),NA,NA,NA,Trait: Escape Gait Change Velocity. Definition: Velocity at which resource changes gait during escape expressed per resource number.,v2,-1
Ground Foraging Duration,Duration of ground foraging bouts for a consumer that sits in perch looking for resource and then comes to the ground to forage (consumer forages in other ways so each time does not represent an entire foraging bout),second / 1 individual,Passeriformes,Muscicapidae,adult (female),Trait: Ground Foraging Duration. Definition: Duration of ground foraging bouts for a consumer that sits in perch looking for resource and then comes to the ground to forage (consumer forages in other ways so each time does not represent an entire foraging bout).,v2,5
Foraging Perch Time,Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike),second / 1 individual,Passeriformes,Muscicapidae,adult (female),Trait: Foraging Perch Time. Definition: Time consumer spends on each perch when foraging (consumer searches for resource from a perch from where it moves to the ground to attack and strike).,v2,5
Attack Interval Time,Time elapsed from the completion of one attack to the start of the next attack per consumer number,second / 1 individual,Passeriformes,Muscicapidae,adult (female),Trait: Attack Interval Time. Definition: Time elapsed from the completion of one attack to the start of the next attack per consumer number.,v2,-1
'Ground-Foraging' Probability,"Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'ground foraging' (i.e., stays on the ground and actively searches for resource)",proportion / 1 individual,Passeriformes,Muscicapidae,adult (female),"Trait: 'Ground-Foraging' Probability. Definition: Proportion of observed foraging time (a fraction of actual foraging time) a consumer spends 'ground foraging' (i.e., stays on the ground and actively searches for resource).",v2,5
Gut Clearance Time,Time taken for ingested resource to be fully evacuated from consumer (often measured by x-ray or killing of animal),hour / 1 individual,Pleuronectiformes,Pleuronectidae,adult,Trait: Gut Clearance Time. Definition: Time taken for ingested resource to be fully evacuated from consumer (often measured by x-ray or killing of animal).,v2,-1
Undigested Mass,Total mass of resource remaining in a consumer's gut since ingestion,milligram (body mass - dry),Salmoniformes,Salmonidae,adult,Trait: Undigested Mass. Definition: Total mass of resource remaining in a consumer's gut since ingestion.,v2,-1
Escape Body Acceleration,Acceleration of the whole body during burst escape movements,meter / (1 second * 1 second),NA,NA,NA,Trait: Escape Body Acceleration. Definition: Acceleration of the whole body during burst escape movements.,v2,6
Voluntary Moving Probability,Proportion of time organism spends physically moving through space or is otherwise visibly active over total observation time,second / 1 minute,Perciformes,Sparidae,larvae,Trait: Voluntary Moving Probability. Definition: Proportion of time organism spends physically moving through space or is otherwise visibly active over total observation time.,v2,2
Population Filter-Feeding Probability,"Proportion of consumer population that are filter feeding (i.e., 'foraging') at time of observation",percent,Trichoptera,Brachycentridae,instar 5,"Trait: Population Filter-Feeding Probability. Definition: Proportion of consumer population that are filter feeding (i.e., 'foraging') at time of observation.",v2,5
Critical Holding Velocity,Velocity at which animal failed to hold position on the substrate when placed in a multi-speed flow chamber for a set time at sequentially increasing speeds,centimeter / (1 individual * 1 second),NA,NA,NA,Trait: Critical Holding Velocity. Definition: Velocity at which animal failed to hold position on the substrate when placed in a multi-speed flow chamber for a set time at sequentially increasing speeds.,v2,-1
In Vitro Gill Particle Transport Velocity,Velocity of particles in grooves of gill fragments excised from an organism,millimeter / 1 second,Mytiloida,Mytilidae,adult,Trait: In Vitro Gill Particle Transport Velocity. Definition: Velocity of particles in grooves of gill fragments excised from an organism.,v2,-1
Strike Velocity,Velocity of a consumers strike (averaged over strike distance),centimeter / (1 individual * 1 second),Squamata,Colubridae,adult,Trait: Strike Velocity. Definition: Velocity of a consumers strike (averaged over strike distance).,v2,-1
Successful Strike Probability,The number of strikes that resulted in consumption of resource in proportion to the total number of strikes attempted by a consumer,proportion,Squamata,Colubridae,adult,Trait: Successful Strike Probability. Definition: The number of strikes that resulted in consumption of resource in proportion to the total number of strikes attempted by a consumer.,v2,-1
Consumption Probability,"Probability that an active consumer (i.e., awake, not sleeping) would consume food that was offered to it",percent / 1 individual,Squamata,Colubridae,adult,"Trait: Consumption Probability. Definition: Probability that an active consumer (i.e., awake, not sleeping) would consume food that was offered to it.",v2,-1
Critical Upright Time,Time taken for animal to become completely exhausted from repeated up-righting of body,minute / 1 individual,Primates,Hominidae,adult,Trait: Critical Upright Time. Definition: Time taken for animal to become completely exhausted from repeated up-righting of body.,v2,-1
Escape Jump Contact Time,Time that a resource exerts force on substrate during an escape jump,second / 1 individual,NA,NA,NA,Trait: Escape Jump Contact Time. Definition: Time that a resource exerts force on substrate during an escape jump.,v2,-1
Escape Jump Distance,Distance animal travels in a single jump for escape,centimeter / 1 individual,Primates,Hominidae,adult,Trait: Escape Jump Distance. Definition: Distance animal travels in a single jump for escape.,v2,-1
Square Root-Linear Gut Clearance Rate,The slope of the regression of square root gut content mass versus time,event / (1 individual * 1 hour),Pleuronectiformes,Pleuronectidae,juvenile,Trait: Square Root-Linear Gut Clearance Rate. Definition: The slope of the regression of square root gut content mass versus time.,v2,-1
Foraging Gill Beat Rate,Rate of beating cilia on gill within live consumer (measured by direct examination of cilia),event / (1 individual * 1 second),Veneroida,Semelidae,juvenile,Trait: Foraging Gill Beat Rate. Definition: Rate of beating cilia on gill within live consumer (measured by direct examination of cilia).,v2,-1
Surface Area-Specific Foraging Gill Filtration Rate,"Area-specific volumetric flow rate of water across the gills of a filter feeding organism (flow rate measured directly, or by the clearance method where flow rate is estimated by the volume of water cleared of material per time)",milliliter / (1 square centimeter * 1 minute),Mytiloida,Mytilidae,adult,"Trait: Surface Area-Specific Foraging Gill Filtration Rate. Definition: Area-specific volumetric flow rate of water across the gills of a filter feeding organism (flow rate measured directly, or by the clearance method where flow rate is estimated by the volume of water cleared of material per time).",v2,-1
Linear-Linear Gut Clearance Rate,The slope of the regression of gut content mass per consumer individual per time,event / (1 individual * 1 minute),Calanoida,Centropagidae,adult,Trait: Linear-Linear Gut Clearance Rate. Definition: The slope of the regression of gut content mass per consumer individual per time.,v2,-1
Grazing Rate,The area grazed per consumer individual per time,square millimeter / (1 individual * 24 hour),Trichoptera,Glossosomatidae,larvae,Trait: Grazing Rate. Definition: The area grazed per consumer individual per time.,v2,-1
Chlorophyll-a-Specific Carbon Production Rate,"Production rate of carbon by a primary producer, measured as mass of carbon produced per mass of chlorophyll-a per time",milligram (body mass - dry) / (1 milligram (body mass - dry) * 1 hour),NA,NA,NA,"Trait: Chlorophyll-a-Specific Carbon Production Rate. Definition: Production rate of carbon by a primary producer, measured as mass of carbon produced per mass of chlorophyll-a per time.",v2,-1
In Vitro Gill Beat Rate,Rate of cilia beating cilia on gill fragments removed from the organism (measured by direct examination of cilia),event / 1 second,Veneroida,Dreissenidae,adult,Trait: In Vitro Gill Beat Rate. Definition: Rate of cilia beating cilia on gill fragments removed from the organism (measured by direct examination of cilia).,v2,-1
Escape Stroke Peak Force,Force attained on the substrate by the resource during a locomotory stroke for escape,micronewton / 1 individual,NA,NA,NA,Trait: Escape Stroke Peak Force. Definition: Force attained on the substrate by the resource during a locomotory stroke for escape.,v2,6
Escape Stroke Peak Force Rate,The ratio of the magnitude of the first clear peak in force divided by the rise time during a stroke by a resource during escape,micronewton / (1 individual * 1 millisecond),NA,NA,NA,Trait: Escape Stroke Peak Force Rate. Definition: The ratio of the magnitude of the first clear peak in force divided by the rise time during a stroke by a resource during escape.,v2,-1
Escape Stroke Rate,Rate of locomotory strokes of a resource individual during escape,event / (1 individual * 1 second),NA,NA,NA,Trait: Escape Stroke Rate. Definition: Rate of locomotory strokes of a resource individual during escape.,v2,6
Voluntary Eye Saccade Angular Velocity,"Angular velocity of fast eye movements, or saccade velocity, of an individual organism during voluntary activity",degree / (1 individual * 1 second),Perciformes,Kyphosidae,adult,"Trait: Voluntary Eye Saccade Angular Velocity. Definition: Angular velocity of fast eye movements, or saccade velocity, of an individual organism during voluntary activity.",v2,-1
Voluntary Wing Beat Rate,Rate of wing beating in a flying organism with no apparent stimulus,event / (1 individual * 1 second),Coleoptera,Coccinellidae,adult,Trait: Voluntary Wing Beat Rate. Definition: Rate of wing beating in a flying organism with no apparent stimulus.,v2,-1
Point-Encounter Rate,Number of crossings across an artificial line by an organism per time,event / (1 individual * 1 hour),Decapoda,Nephropidae,adult,Trait: Point-Encounter Rate. Definition: Number of crossings across an artificial line by an organism per time.,v2,-1
'Consumer-Disorientation' Defence Probability,"Probability that each resource from a population will exhibit 'consumer disorienting' behaviour when attacked (i.e., consists of the resource stopping suddenly and reversing its direction so it faces the direction from which it was being attacked)",percent / 1 individual,Primates,Hominidae,adult,"Trait: 'Consumer-Disorientation' Defence Probability. Definition: Probability that each resource from a population will exhibit 'consumer disorienting' behaviour when attacked (i.e., consists of the resource stopping suddenly and reversing its direction so it faces the direction from which it was being attacked).",v2,-1
In Vitro Muscle Power Output,Power output of muscle measured in muscle removed from animal,watt / 1 kilogram (muscle mass - wet),Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Power Output. Definition: Power output of muscle measured in muscle removed from animal.,v2,4
In Vitro Muscle Optimal Rate,Optimal rate corresponding to the maximum power output of the muscle,event / 1 second,Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Optimal Rate. Definition: Optimal rate corresponding to the maximum power output of the muscle.,v2,4
In Vitro Muscle Work Per Cycle,Muscle work per cycle at optimal frequency measured in excised muscle,joule / 1 kilogram (muscle mass - wet),Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Work Per Cycle. Definition: Muscle work per cycle at optimal frequency measured in excised muscle.,v2,-1
In Vitro Muscle Optimal Strain,Strain at which the power output of the muscle is maximum,percent,Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Optimal Strain. Definition: Strain at which the power output of the muscle is maximum.,v2,4
In Vitro Muscle Optimal Phase,Phase at which the power output of the muscle is maximum in muscle removed from organism,percent,Lepidoptera,Sphingidae,adult,Trait: In Vitro Muscle Optimal Phase. Definition: Phase at which the power output of the muscle is maximum in muscle removed from organism.,v2,4
Voluntary Tongue Flick Strike Duration Rate,Rate of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus,event / (1 individual * 1 second),Squamata,Colubridae,adult,Trait: Voluntary Tongue Flick Strike Duration Rate. Definition: Rate of up-and-down motions or cycles of the tongue per flick in an organism with no obvious stimulus.,v2,-1
Digestion Rate,Rate of digestion of ingested material expressed as resource number per consumer number per time,individual / 1 day,Squamata,Colubridae,adult,Trait: Digestion Rate. Definition: Rate of digestion of ingested material expressed as resource number per consumer number per time.,v2,-1
