OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,Interactor1Stage,text,version,cluster_id
fecundity rate,mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time,nymphs unit time-1,Homoptera,Aphididae,adult,Trait: fecundity rate. Definition: mean number of nymphs produced individual-1 during a period equivalent to the prereporoductive time. Unit: nymphs unit time-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
mortality,percent not surviving life stage,percent,Homoptera,Aphididae,juvenile,Trait: mortality. Definition: percent not surviving life stage. Unit: percent. Organism order: Homoptera. Organism family: Aphididae. Life stage: juvenile.,v6,11
pre-oviposition period,mean duration from adult emergence to onset of reproduction,days,Homoptera,Aphididae,adult,Trait: pre-oviposition period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,19
fecundity,mean lifetime nymphs individual-1,nymphs individual-1,Homoptera,Aphididae,adult,Trait: fecundity. Definition: mean lifetime nymphs individual-1. Unit: nymphs individual-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
fecundity rate,mean eggs individual-1 day-1,eggs individual-1 day-1,Diptera,Sciomyzidae,adult,Trait: fecundity rate. Definition: mean eggs individual-1 day-1. Unit: eggs individual-1 day-1. Organism order: Diptera. Organism family: Sciomyzidae. Life stage: adult.,v6,3
fecundity rate,mean offspring per day,eggs individual-1 day-1,Acari,Tetranychidae,adult,Trait: fecundity rate. Definition: mean offspring per day. Unit: eggs individual-1 day-1. Organism order: Acari. Organism family: Tetranychidae. Life stage: adult.,v6,3
blood feeding frequency,mean lifetime blood meals individual-1,blood meals,Diptera,Culicidae,adult,Trait: blood feeding frequency. Definition: mean lifetime blood meals individual-1. Unit: blood meals. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
body size,mean wet mass,mg,Hemiptera,Aphididae,adult,Trait: body size. Definition: mean wet mass. Unit: mg. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,6
development time,mean duration period from aphid birth to its first reproduction,days,Hemiptera,Aphididae,juvenile,Trait: development time. Definition: mean duration period from aphid birth to its first reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile.,v6,15
fecundity,mean number of progeny in a reproductive period equal to development time,progeny indidividual-1,Hemiptera,Aphididae,adult,Trait: fecundity. Definition: mean number of progeny in a reproductive period equal to development time. Unit: progeny indidividual-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
body size,mean wing length (mm),mm,Diptera,Culicidae,adult,Trait: body size. Definition: mean wing length (mm). Unit: mm. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,6
longevity,median adult lifespan,days,Diptera,Culicidae,adult,Trait: longevity. Definition: median adult lifespan. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Diptera,Culicidae,adult,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
development rate,mean rate of life stage completion,days-1,Lepidoptera,Gelechiidae,larval,Trait: development rate. Definition: mean rate of life stage completion. Unit: days-1. Organism order: Lepidoptera. Organism family: Gelechiidae. Life stage: larval.,v6,15
fecundity,mean lifetime eggs individual-1,eggs individual-1,Lepidoptera,Gelechiidae,adult,Trait: fecundity. Definition: mean lifetime eggs individual-1. Unit: eggs individual-1. Organism order: Lepidoptera. Organism family: Gelechiidae. Life stage: adult.,v6,3
egg viability,mean percentage of viable eggs produced per female,eggs individual-1,Coleoptera,Curculionidae,adult,Trait: egg viability. Definition: mean percentage of viable eggs produced per female. Unit: eggs individual-1. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,-1
fecundity,mean eggs produced per plant,eggs plant-1,Coleoptera,Curculionidae,adult,Trait: fecundity. Definition: mean eggs produced per plant. Unit: eggs plant-1. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,3
fat content,mean lipid content per individual,ug mg-1 individual-1,Coleoptera,Curculionidae,adult,Trait: fat content. Definition: mean lipid content per individual. Unit: ug mg-1 individual-1. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,-1
development rate,rate of life stage completion,days-1,Hemiptera,Aphididae,juvenile,Trait: development rate. Definition: rate of life stage completion. Unit: days-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile.,v6,15
pre-blood meal period,average duration from emergence to first blood meal,days,Diptera,Culicidae,adult,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
fecundity,mean number of eggs per cycle,eggs individual-1 cycle-1,Diptera,Culicidae,adult,Trait: fecundity. Definition: mean number of eggs per cycle. Unit: eggs individual-1 cycle-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
gonotrophic cycle,mean number of gonotrophic cycles completed in individuals lifetime,days,Diptera,Culicidae,adult,Trait: gonotrophic cycle. Definition: mean number of gonotrophic cycles completed in individuals lifetime. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,1
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Coleoptera,Chrysomelidae,L1,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: L1.,v6,-1
blood feeding,percent taking one bloodmeal,percent,Diptera,Culicidae,adult,Trait: blood feeding. Definition: percent taking one bloodmeal. Unit: percent. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
transmission potential,percent of individuals with transmission potential,percent,Diptera,Culicidae,adult,Trait: transmission potential. Definition: percent of individuals with transmission potential. Unit: percent. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
post-oviposition period,mean duration of life stage,days,Homoptera,Pseudococcidae,adult,Trait: post-oviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Pseudococcidae. Life stage: adult.,v6,-1
fecundity,mean lifetime egg punctures,egg punctures individual-1,Coleoptera,Curculionidae,adult,Trait: fecundity. Definition: mean lifetime egg punctures. Unit: egg punctures individual-1. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,3
lipid content,mean lipid content per individual,ug,Diptera,Culicidae,adult,Trait: lipid content. Definition: mean lipid content per individual. Unit: ug. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
protein content,mean protein content per individual,ug,Diptera,Culicidae,adult,Trait: protein content. Definition: mean protein content per individual. Unit: ug. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
glycogen content,mean glycogen content per individual,ug,Diptera,Culicidae,adult,Trait: glycogen content. Definition: mean glycogen content per individual. Unit: ug. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
body size,mean wet mass (waxless and gravid),mg,Homoptera,Pseudococcidae,adult,Trait: body size. Definition: mean wet mass (waxless and gravid). Unit: mg. Organism order: Homoptera. Organism family: Pseudococcidae. Life stage: adult.,v6,6
fecundity rate,mean eggs per unit time,eggs individual-1 day-1,Coleoptera,Tenebrionidae,adult,Trait: fecundity rate. Definition: mean eggs per unit time. Unit: eggs individual-1 day-1. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,3
fecundity rate,mean offspring per unit time,offspring individual-1 day-1,Hemiptera,Aphididae,adult (wingless),Trait: fecundity rate. Definition: mean offspring per unit time. Unit: offspring individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult (wingless).,v6,3
ovariole number,mean number of ovarioles per individual,ovarioles individual-1,Hemiptera,Aphididae,adult (wingless),Trait: ovariole number. Definition: mean number of ovarioles per individual. Unit: ovarioles individual-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult (wingless).,v6,-1
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Hemiptera,Aphididae,adult (wingless),Trait: reproductive capacity. Definition: mean lifetime nymphs (30 days). Unit: nymphs individual-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult (wingless).,v6,3
mortality rate,mean per capita rate of mortality during life stage,individual-1 day-1,Diptera,Culicidae,juvenile (not inc egg stage),Trait: mortality rate. Definition: mean per capita rate of mortality during life stage. Unit: individual-1 day-1. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile (not inc egg stage).,v6,11
pre-reproductive period,mean duration of life stage,days,Coleoptera,Curculionidae,adult,Trait: pre-reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,-1
fecundity,mean lifetime eggs per 10 individuals,eggs 10 individuals-1,Diptera,Culicidae,adult,Trait: fecundity. Definition: mean lifetime eggs per 10 individuals. Unit: eggs 10 individuals-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
hatching rate,percent surviving life stage,percent,Homoptera,Pseudococcidae,egg,Trait: hatching rate. Definition: percent surviving life stage. Unit: percent. Organism order: Homoptera. Organism family: Pseudococcidae. Life stage: egg.,v6,4
hatching rate,mean duration of life stage,percent,Homoptera,Pseudococcidae,egg,Trait: hatching rate. Definition: mean duration of life stage. Unit: percent. Organism order: Homoptera. Organism family: Pseudococcidae. Life stage: egg.,v6,4
mortality,mean duration of life stage,days,Homoptera,Pseudococcidae,N1,Trait: mortality. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Pseudococcidae. Life stage: N1.,v6,-1
body size,mean length,mm,Coleoptera,Coccinellidae,adult,Trait: body size. Definition: mean length. Unit: mm. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,6
body size,mean width,mm,Coleoptera,Coccinellidae,adult,Trait: body size. Definition: mean width. Unit: mm. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,-1
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Coleoptera,Coccinellidae,L1,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: L1.,v6,-1
age specific fecundity,mean number of female offspring individual-1 at specific age,females individual-1,Acari,Tetranychidae,adult,Trait: age specific fecundity. Definition: mean number of female offspring individual-1 at specific age. Unit: females individual-1. Organism order: Acari. Organism family: Tetranychidae. Life stage: adult.,v6,3
fecundity,mean number of female offspring individual-1,females individual-1,Acari,Tetranychidae,adult,Trait: fecundity. Definition: mean number of female offspring individual-1. Unit: females individual-1. Organism order: Acari. Organism family: Tetranychidae. Life stage: adult.,v6,3
development time,mean duration of life cycle (egg-to-egg),days,Coleoptera,Coccinellidae,entire lifecycle,Trait: development time. Definition: mean duration of life cycle (egg-to-egg). Unit: days. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: entire lifecycle.,v6,15
fecundity,mean lifetime eggs per individual (across all humdity levels),eggs individual-1,Coleoptera,Chrysomelidae,adult,Trait: fecundity. Definition: mean lifetime eggs per individual (across all humdity levels). Unit: eggs individual-1. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: adult.,v6,3
fecundity,mean lifetime eggs per individual,eggs individual-1,Coleoptera,Chrysomelidae,adult,Trait: fecundity. Definition: mean lifetime eggs per individual. Unit: eggs individual-1. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: adult.,v6,3
survival,percent surviving life stage (across all humidity levels),percent,Coleoptera,Chrysomelidae,egg-to-adult,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: egg-to-adult.,v6,-1
development time,mean duration of life stage (across all humidity levels),days,Coleoptera,Chrysomelidae,juvenile (inc egg stage),Trait: development time. Definition: mean duration of life stage (across all humidity levels). Unit: days. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: juvenile (inc egg stage).,v6,15
mortality,cummulative mortality percentage across immature stages,percent,Coleoptera,Coccinellidae,L1,Trait: mortality. Definition: cummulative mortality percentage across immature stages. Unit: percent. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: L1.,v6,-1
hatch time,mean duration of life stage,hours,Coleoptera,Chrysomelidae,egg,Trait: hatch time. Definition: mean duration of life stage. Unit: hours. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: egg.,v6,-1
development time,mean duration for 50 percent of eggs to hatch,days,Coleoptera,Chrysomelidae,egg,Trait: development time. Definition: mean duration for 50 percent of eggs to hatch. Unit: days. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: egg.,v6,15
fecundity rate,maximum progengy individual-1 day-1,progeny individual-1 day-1,Hymenoptera,Pteromalidae,adult,Trait: fecundity rate. Definition: maximum progengy individual-1 day-1. Unit: progeny individual-1 day-1. Organism order: Hymenoptera. Organism family: Pteromalidae. Life stage: adult.,v6,3
gonotrophic cycle,mean duration of gonotrophic cycle (7th),days,Diptera,Culicidae,adult,Trait: gonotrophic cycle. Definition: mean duration of gonotrophic cycle (7th). Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,1
fecundity,mean number of eggs per cycle (1st),eggs individual-1 cycle-1,Diptera,Culicidae,adult,Trait: fecundity. Definition: mean number of eggs per cycle (1st). Unit: eggs individual-1 cycle-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
mortality,proportion not surviving life stage,proportion,Hemiptera,Aphididae,juvenile,Trait: mortality. Definition: proportion not surviving life stage. Unit: proportion. Organism order: Hemiptera. Organism family: Aphididae. Life stage: juvenile.,v6,11
development time,median duration for egg development,days,Odonata,Libellulidae,egg,Trait: development time. Definition: median duration for egg development. Unit: days. Organism order: Odonata. Organism family: Libellulidae. Life stage: egg.,v6,-1
development time,mean duration for egg development,days,Odonata,Libellulidae,egg,Trait: development time. Definition: mean duration for egg development. Unit: days. Organism order: Odonata. Organism family: Libellulidae. Life stage: egg.,v6,15
hatching range,range of the number of days all eggs hatched from when the first egg hatching started,days,Odonata,Libellulidae,egg,Trait: hatching range. Definition: range of the number of days all eggs hatched from when the first egg hatching started. Unit: days. Organism order: Odonata. Organism family: Libellulidae. Life stage: egg.,v6,-1
fecundity rate,mean lifetime offspring,offspring individual-1 day-1,Hemiptera,Aphididae,adult,Trait: fecundity rate. Definition: mean lifetime offspring. Unit: offspring individual-1 day-1. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,3
pre-reproductive period,mean duration from adult emergence to onset of reproduction,days,Hemiptera,Aphididae,adult,Trait: pre-reproductive period. Definition: mean duration from adult emergence to onset of reproduction. Unit: days. Organism order: Hemiptera. Organism family: Aphididae. Life stage: adult.,v6,18
age at first reproduction,mean age at first reproduction,days,Homoptera,Aphididae,adult,Trait: age at first reproduction. Definition: mean age at first reproduction. Unit: days. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,18
body size,mean dry mass,mg,Diptera,Culicidae,adult,Trait: body size. Definition: mean dry mass. Unit: mg. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,6
body size,mean head width,mm,Diptera,Culicidae,L1,Trait: body size. Definition: mean head width. Unit: mm. Organism order: Diptera. Organism family: Culicidae. Life stage: L1.,v6,-1
fecundity,mean offspring per reproduction day,offspring individual-1 day-1,Homoptera,Aphididae,adult,Trait: fecundity. Definition: mean offspring per reproduction day. Unit: offspring individual-1 day-1. Organism order: Homoptera. Organism family: Aphididae. Life stage: adult.,v6,3
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of growth temperature,minutes,Coleoptera,Tenebrionidae,adult,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of growth temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,-1
chill-coma recovery time,mean duration for individuals to regain full movement after being cold shocked as function of adult temperature,minutes,Coleoptera,Tenebrionidae,adult,Trait: chill-coma recovery time. Definition: mean duration for individuals to regain full movement after being cold shocked as function of adult temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature,minutes,Coleoptera,Tenebrionidae,adult,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of adult temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,-1
heat knockdown time,mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature,minutes,Coleoptera,Tenebrionidae,adult,Trait: heat knockdown time. Definition: mean duration individuals can tolerate heat exposure before movement ceases as a function of sex and growth temperature. Unit: minutes. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,-1
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,Coleoptera,Tenebrionidae,adult,Trait: fecundity. Definition: mean lifetime offspring as a function of size and adult and growth temperature. Unit: offspring individual-1. Organism order: Coleoptera. Organism family: Tenebrionidae. Life stage: adult.,v6,3
body size,mean thorax length,mm,Diptera,Drosophilidae,adult,Trait: body size. Definition: mean thorax length. Unit: mm. Organism order: Diptera. Organism family: Drosophilidae. Life stage: adult.,v6,-1
development time,duration of life stage,days,Coleoptera,Curculionidae,adult,Trait: development time. Definition: duration of life stage. Unit: days. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,15
development rate,mean duration of life stage,days,Coleoptera,Chrysomelidae,juvenile (inc egg stage),Trait: development rate. Definition: mean duration of life stage. Unit: days. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: juvenile (inc egg stage).,v6,15
consumption rate,mean relative consumption rate,mg of aphids,Coleoptera,Coccinellidae,larval,Trait: consumption rate. Definition: mean relative consumption rate. Unit: mg of aphids. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: larval.,v6,-1
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),Coleoptera,Chrysomelidae,pupal,Trait: growth rate. Definition: mean daily growth rate (the product of ln pupal weight divided by larval development time). Unit: ln(mg day-1). Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: pupal.,v6,-1
body size,mean body weight,mg,Coleoptera,Chrysomelidae,adult,Trait: body size. Definition: mean body weight. Unit: mg. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: adult.,v6,6
weight loss,proportionate weight loss in relation to temperature and population,proportion,Coleoptera,Chrysomelidae,adult,Trait: weight loss. Definition: proportionate weight loss in relation to temperature and population. Unit: proportion. Organism order: Coleoptera. Organism family: Chrysomelidae. Life stage: adult.,v6,-1
mortality,time to 50% mortality,days,Acari,Tetranychidae,adult,Trait: mortality. Definition: time to 50% mortality. Unit: days. Organism order: Acari. Organism family: Tetranychidae. Life stage: adult.,v6,-1
development time,mean duration of life cycle,days,Acari,Tetranychidae,egg-to-egg,Trait: development time. Definition: mean duration of life cycle. Unit: days. Organism order: Acari. Organism family: Tetranychidae. Life stage: egg-to-egg.,v6,15
feeding rate,mean lifetime feeding punctures,feeding punctures individual-1,Coleoptera,Curculionidae,adult,Trait: feeding rate. Definition: mean lifetime feeding punctures. Unit: feeding punctures individual-1. Organism order: Coleoptera. Organism family: Curculionidae. Life stage: adult.,v6,-1
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,days,Diptera,Culicidae,adult,Trait: EIP (extrinsic incubation period). Definition: day sporozoites first detected in salivary glands. Unit: days. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
oocyst prevalence,not stated,percent,Diptera,Culicidae,adult,Trait: oocyst prevalence. Definition: not stated. Unit: percent. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
oocyst intensity,not stated,not stated,Diptera,Culicidae,adult,Trait: oocyst intensity. Definition: not stated. Unit: not stated. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
sporozoite prevalence,not stated,percent,Diptera,Culicidae,adult,Trait: sporozoite prevalence. Definition: not stated. Unit: percent. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
copulation duration,mean copulation duration,hours individual-1 lifetime-1,Coleoptera,Coccinellidae,adult,Trait: copulation duration. Definition: mean copulation duration. Unit: hours individual-1 lifetime-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,-1
hatchability,mean percentage of eggs hatching,percent,Coleoptera,Coccinellidae,egg,Trait: hatchability. Definition: mean percentage of eggs hatching. Unit: percent. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: egg.,v6,4
prey consumption,mean number of prey consumed,number of individual prey individual-1,Coleoptera,Coccinellidae,L4,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: L4.,v6,-1
fecundity rate,mean number of eggs individual-1 day-1,eggs individual-1 day-1,Coleoptera,Coccinellidae,adult,Trait: fecundity rate. Definition: mean number of eggs individual-1 day-1. Unit: eggs individual-1 day-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,3
mortality rate,mean death rate during life stage,individual-1 day-1,Diptera,Culicidae,juvenile,Trait: mortality rate. Definition: mean death rate during life stage. Unit: individual-1 day-1. Organism order: Diptera. Organism family: Culicidae. Life stage: juvenile.,v6,11
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),uL h-1,Diptera,Glossinidae,adult,Trait: metabolic rate. Definition: mean CO2 production (VCO2) (RMR: resting metabolic rate). Unit: uL h-1. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,0
parasite maturation time,mean duration time from infective feed to mature infection,days,Diptera,Glossinidae,adult,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,-1
interlarval period,mean frequency of larval production,days,Diptera,Glossinidae,adult,Trait: interlarval period. Definition: mean frequency of larval production. Unit: days. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,-1
fecundity rate,mean number of offspring per reproductive cycle,offspring individual-1 cycle-1,Diptera,Glossinidae,adult,Trait: fecundity rate. Definition: mean number of offspring per reproductive cycle. Unit: offspring individual-1 cycle-1. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,3
survival,probability of survival after exposure to extreme temperatures,probability,Diptera,Glossinidae,adult,Trait: survival. Definition: probability of survival after exposure to extreme temperatures. Unit: probability. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,-1
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),ml CO2 h-1,Diptera,Glossinidae,adult,Trait: metabolic rate. Definition: mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor). Unit: ml CO2 h-1. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,0
metabolic rate,mean CO2 production rate,ul CO2 h-1,Diptera,Glossinidae,adult,Trait: metabolic rate. Definition: mean CO2 production rate. Unit: ul CO2 h-1. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,0
fat consumption rate,mean daily rate of fat consumption,mg day-1,Diptera,Glossinidae,adult,Trait: fat consumption rate. Definition: mean daily rate of fat consumption. Unit: mg day-1. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,-1
pre-reproductive period,mean duration to production of first larva,days,Diptera,Glossinidae,adult,Trait: pre-reproductive period. Definition: mean duration to production of first larva. Unit: days. Organism order: Diptera. Organism family: Glossinidae. Life stage: adult.,v6,-1
fecundity,mean lifetime eggs,eggs individual-1,Diptera,Culicidae,adult,Trait: fecundity. Definition: mean lifetime eggs. Unit: eggs individual-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,3
blood feeding,mean lifetime blood feeds,blood meals individual-1,Diptera,Culicidae,adult,Trait: blood feeding. Definition: mean lifetime blood feeds. Unit: blood meals individual-1. Organism order: Diptera. Organism family: Culicidae. Life stage: adult.,v6,-1
metabolic rate (active),mean active metabolic rate (AMR),ml CO2 h-1,Blattodea,Blaberidae,NA,Trait: metabolic rate (active). Definition: mean active metabolic rate (AMR). Unit: ml CO2 h-1. Organism order: Blattodea. Organism family: Blaberidae. Life stage: not specified.,v6,0
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Blattodea,Blaberidae,NA,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent. Organism order: Blattodea. Organism family: Blaberidae. Life stage: not specified.,v6,-1
metabolic rate,mean respiratory CO2 rate (RCO2),pmol mg-1 s-1,Coleoptera,Coccinellidae,adult,Trait: metabolic rate. Definition: mean respiratory CO2 rate (RCO2). Unit: pmol mg-1 s-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,0
metabolic heat rate,mean metabolic heat rate (or 455RCO2),uW mg-1,Coleoptera,Coccinellidae,adult,Trait: metabolic heat rate. Definition: mean metabolic heat rate (or 455RCO2). Unit: uW mg-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,0
anabolic rate,mean anabolic rate,uW mg-1,Coleoptera,Coccinellidae,adult,Trait: anabolic rate. Definition: mean anabolic rate. Unit: uW mg-1. Organism order: Coleoptera. Organism family: Coccinellidae. Life stage: adult.,v6,0
