OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,Interactor1Order,Interactor1Family,text,version,cluster_id,,,,,,,,,,,
oviposition failure,mean probability of failure to oviposit,probability,Ixodida,Ixodidae,Trait: oviposition failure. Definition: mean probability of failure to oviposit. Unit: probability. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
oviposition period,mean duration of life stage,days,Hymenoptera,Eulophidae,Trait: oviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,-1,,,,,,,,,,,
ovipositional period,mean duration of life stage,days,Hemiptera,Pseudococcidae,Trait: ovipositional period. Definition: mean duration of life stage. Unit: days. Organism order: Hemiptera. Organism family: Pseudococcidae.,v5,-1,,,,,,,,,,,
ovipositioning,proportion of blood fed mosquitoes laying egg rafts,proportion,Diptera,Culicidae,Trait: ovipositioning. Definition: proportion of blood fed mosquitoes laying egg rafts. Unit: proportion. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
parasite maturation time,mean duration time from infective feed to mature infection,days,Diptera,Glossinidae,Trait: parasite maturation time. Definition: mean duration time from infective feed to mature infection. Unit: days. Organism order: Diptera. Organism family: Glossinidae.,v5,-1,,,,,,,,,,,
peak fecundity,day post engorgement on which an individual female laid most eggs,days,Ixodida,Ixodidae,Trait: peak fecundity. Definition: day post engorgement on which an individual female laid most eggs. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
percent moult,percentage moulted engorged on calves,days,Ixodida,Ixodidae,Trait: percent moult. Definition: percentage moulted engorged on calves. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
percent moult,percentage moulted engorged on rabbits,percent,Ixodida,Ixodidae,Trait: percent moult. Definition: percentage moulted engorged on rabbits. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
percent survival,percent of adult aphids that were still alive each day,percent,Hemiptera,Aphididae,Trait: percent survival. Definition: percent of adult aphids that were still alive each day. Unit: percent. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
post-oviposition period,mean duration of life stage,days,Homoptera,Pseudococcidae,Trait: post-oviposition period. Definition: mean duration of life stage. Unit: days. Organism order: Homoptera. Organism family: Pseudococcidae.,v5,-1,,,,,,,,,,,
pre-blood meal period,average duration from emergence to first blood meal,days,Diptera,Culicidae,Trait: pre-blood meal period. Definition: average duration from emergence to first blood meal. Unit: days. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
pre-hatch period,number of days until hatching,days,Ixodida,Ixodidae,Trait: pre-hatch period. Definition: number of days until hatching. Unit: days. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
pre-reproductive period,mean duration of life stage,days,Coleoptera,Curculionidae,Trait: pre-reproductive period. Definition: mean duration of life stage. Unit: days. Organism order: Coleoptera. Organism family: Curculionidae.,v5,-1,,,,,,,,,,,
pre-reproductive period,mean duration to production of first larva,days,Diptera,Glossinidae,Trait: pre-reproductive period. Definition: mean duration to production of first larva. Unit: days. Organism order: Diptera. Organism family: Glossinidae.,v5,-1,,,,,,,,,,,
pre-reproductive period,mean rate of life stage completion,days,Hemiptera,Aphididae,Trait: pre-reproductive period. Definition: mean rate of life stage completion. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
prey consumption,mean number of prey consumed,number of individual prey individual-1,Coleoptera,Coccinellidae,Trait: prey consumption. Definition: mean number of prey consumed. Unit: number of individual prey individual-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
protein content,mean protein content per individual,ug,Diptera,Culicidae,Trait: protein content. Definition: mean protein content per individual. Unit: ug. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
questing,mean percent of ticks questing,percent,Ixodida,Ixodidae,Trait: questing. Definition: mean percent of ticks questing. Unit: percent. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
recovery time,individual-level duration to recover movement after exposure to extreme temperature,seconds,Diptera,Glossinidae,Trait: recovery time. Definition: individual-level duration to recover movement after exposure to extreme temperature. Unit: seconds. Organism order: Diptera. Organism family: Glossinidae.,v5,-1,,,,,,,,,,,
relative activity,amount of activity as a percentage of maximum recorded activity,percent,Blattodea,Blaberidae,Trait: relative activity. Definition: amount of activity as a percentage of maximum recorded activity. Unit: percent. Organism order: Blattodea. Organism family: Blaberidae.,v5,-1,,,,,,,,,,,
reproductive capacity,mean lifetime nymphs (30 days),nymphs individual-1,Hemiptera,Aphididae,Trait: reproductive capacity. Definition: mean lifetime nymphs (30 days). Unit: nymphs individual-1. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
reproductive capacity,proportion of individuals that laid eggs after first blood meal,proportion,Diptera,Culicidae,Trait: reproductive capacity. Definition: proportion of individuals that laid eggs after first blood meal. Unit: proportion. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
reproductive period,period of time where female aphids reproduce,days,Hemiptera,Aphididae,Trait: reproductive period. Definition: period of time where female aphids reproduce. Unit: days. Organism order: Hemiptera. Organism family: Aphididae.,v5,-1,,,,,,,,,,,
resource consumption rate,mean daily resource consumption rate,cm2 day-1,Coleoptera,Chrysomelidae,Trait: resource consumption rate. Definition: mean daily resource consumption rate. Unit: cm2 day-1. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,-1,,,,,,,,,,,
resource consumption rate,mean lifetime prey consumed,individual prey individual-1,Coleoptera,Coccinellidae,Trait: resource consumption rate. Definition: mean lifetime prey consumed. Unit: individual prey individual-1. Organism order: Coleoptera. Organism family: Coccinellidae.,v5,-1,,,,,,,,,,,
sex ratio,ratio of male ticks to female ticks,ratio,Ixodida,Ixodidae,Trait: sex ratio. Definition: ratio of male ticks to female ticks. Unit: ratio. Organism order: Ixodida. Organism family: Ixodidae.,v5,-1,,,,,,,,,,,
sex ratio,mean proportion of female adults cohort-1,ratio,Hymenoptera,Eulophidae,Trait: sex ratio. Definition: mean proportion of female adults cohort-1. Unit: ratio. Organism order: Hymenoptera. Organism family: Eulophidae.,v5,-1,,,,,,,,,,,
sex ratio,ratio of male psyllids to female psyllids,ratio,Hemiptera,Liviidae,Trait: sex ratio. Definition: ratio of male psyllids to female psyllids. Unit: ratio. Organism order: Hemiptera. Organism family: Liviidae.,v5,-1,,,,,,,,,,,
sporozoite prevalence,not stated,percent,Diptera,Culicidae,Trait: sporozoite prevalence. Definition: not stated. Unit: percent. Organism order: Diptera. Organism family: Culicidae.,v5,-1,,,,,,,,,,,
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,Coleoptera,Tenebrionidae,Trait: starvation tolerance. Definition: individual-level starvation tolerance as a function of temperature and body size (interactor1size). Unit: days. Organism order: Coleoptera. Organism family: Tenebrionidae.,v5,-1,,,,,,,,,,,
survival,percent surviving life stage (across all humidity levels),percent,Coleoptera,Chrysomelidae,Trait: survival. Definition: percent surviving life stage (across all humidity levels). Unit: percent. Organism order: Coleoptera. Organism family: Chrysomelidae.,v5,-1,,,,,,,,,,,
