OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,raw_record_count,concept_label,measurement_subtype,data_quality_flag,V1,V2,V3,V4,V5,V6,V7,V8
body length,mean length (engorged ),mm,2,body size and morphometrics,linear_morphometric,,18,4,6,-1,6,7,-1,7
body length,mean length (unfed ),mm,3,body size and morphometrics,linear_morphometric,,18,4,6,-1,6,7,7,7
body length,replicate-level mean body length,mm,11,body size and morphometrics,linear_morphometric,,18,-1,-1,-1,-1,-1,-1,-1
body size,mean head width,mm,162,body size and morphometrics,linear_morphometric,,19,-1,6,5,-1,-1,-1,-1
body size,mean length,mm,12,body size and morphometrics,linear_morphometric,,19,4,6,5,3,6,6,6
body size,mean thorax length,mm,20,body size and morphometrics,linear_morphometric,,19,4,6,5,-1,-1,-1,-1
body size,mean width,mm,12,body size and morphometrics,linear_morphometric,,19,4,6,5,-1,-1,-1,-1
body size,mean wing length,mm,142,body size and morphometrics,linear_morphometric,,19,4,6,5,3,6,6,6
body size,mean wing length (mm),mm,25,body size and morphometrics,linear_morphometric,,19,-1,6,5,3,6,-1,-1
body size (length),mean body length,mm,5,body size and morphometrics,linear_morphometric,,18,4,6,5,3,6,6,6
body size (length),mean body length (adult),mm,12,body size and morphometrics,linear_morphometric,,18,4,6,5,3,6,6,6
body width,mean width (engorged),mm,2,body size and morphometrics,linear_morphometric,,-1,4,-1,-1,6,7,-1,7
body width,mean width (unfed),mm,3,body size and morphometrics,linear_morphometric,,-1,-1,6,-1,6,7,7,7
head capsule width,mean width of head capsule,mm,15,body size and morphometrics,linear_morphometric,,-1,-1,-1,-1,-1,-1,-1,-1
hypostome length,mean length of hypostome (appendage on the mouth),mm,4,body size and morphometrics,linear_morphometric,,-1,-1,-1,-1,-1,-1,-1,-1
