version,cluster_id,OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,is_wing_length_ground_truth
V4,5,body size,mean thorax length,mm,False
V4,5,body size,mean body weight,mg,False
V4,5,body size,individual-level mass,mg,False
V4,5,body size,individual-level wet mass,mg,False
V4,5,body size,mean dry mass. relationship between dry mass and wing length,mg,False
V4,5,body size,dry mass,mg,False
V4,5,body size,mean wing length,mm,True
V4,5,body size (alate),mean wet mass,mg,False
V4,5,body size (apterous),mean wet mass,mg,False
V4,5,body size (alate nymph),mean wet mass,days,False
V4,5,body size (apterous nymph),mean wet mass,days,False
V4,5,body size (length),mean body length,mm,False
V4,5,body size (length),mean body length (adult),mm,False
V4,5,body size (mass),mean wet mass,mg,False
V5,3,body size,mean wet mass,mg,False
V5,3,body size,mean wing length (mm),mm,True
V5,3,body size,mean wet mass (waxless and gravid),mg,False
V5,3,body size,mean length,mm,False
V5,3,body size,mean dry mass,mg,False
V5,3,body size,mean body weight,mg,False
V5,3,body size,individual-level mass,mg,False
V5,3,body size,individual-level wet mass,mg,False
V5,3,body size,mean dry mass. relationship between dry mass and wing length,mg,False
V5,3,body size,dry mass,mg,False
V5,3,body size,mean wing length,mm,True
V5,3,body size (alate),mean wet mass,mg,False
V5,3,body size (apterous),mean wet mass,mg,False
V5,3,body size (alate nymph),mean wet mass,days,False
V5,3,body size (apterous nymph),mean wet mass,days,False
V5,3,body size (length),mean body length,mm,False
V5,3,body size (length),mean body length (adult),mm,False
V5,3,body size (mass),mean wet mass,mg,False
V6,6,body size,mean wet mass,mg,False
V6,6,body size,mean wing length (mm),mm,True
V6,6,body size,mean wet mass (waxless and gravid),mg,False
V6,6,body size,mean length,mm,False
V6,6,body size,mean dry mass,mg,False
V6,6,body size,mean body weight,mg,False
V6,6,body size,individual-level mass,mg,False
V6,6,body size,individual-level wet mass,mg,False
V6,6,body size,mean dry mass. relationship between dry mass and wing length,mg,False
V6,6,body size,dry mass,mg,False
V6,6,body size,mean wing length,mm,True
V6,6,body size (alate),mean wet mass,mg,False
V6,6,body size (apterous),mean wet mass,mg,False
V6,6,body size (alate nymph),mean wet mass,days,False
V6,6,body size (apterous nymph),mean wet mass,days,False
V6,6,body size (length),mean body length,mm,False
V6,6,body size (length),mean body length (adult),mm,False
V6,6,body size (mass),mean wet mass,mg,False
V7,6,body size,mean wet mass,mg,False
V7,6,body size,mean wet mass (waxless and gravid),mg,False
V7,6,body size,mean length,mm,False
V7,6,body size,mean dry mass,mg,False
V7,6,body size,mean body weight,mg,False
V7,6,body size,individual-level mass,mg,False
V7,6,body size,individual-level wet mass,mg,False
V7,6,body size,mean dry mass. relationship between dry mass and wing length,mg,False
V7,6,body size,dry mass,mg,False
V7,6,body size,mean wing length,mm,True
V7,6,body size (alate),mean wet mass,mg,False
V7,6,body size (apterous),mean wet mass,mg,False
V7,6,body size (alate nymph),mean wet mass,days,False
V7,6,body size (apterous nymph),mean wet mass,days,False
V7,6,body size (length),mean body length,mm,False
V7,6,body size (length),mean body length (adult),mm,False
V7,6,body size (mass),mean wet mass,mg,False
V8,6,body size,mean wet mass,mg,False
V8,6,body size,mean wet mass (waxless and gravid),mg,False
V8,6,body size,mean length,mm,False
V8,6,body size,mean dry mass,mg,False
V8,6,body size,mean body weight,mg,False
V8,6,body size,individual-level mass,mg,False
V8,6,body size,individual-level wet mass,mg,False
V8,6,body size,mean dry mass. relationship between dry mass and wing length,mg,False
V8,6,body size,dry mass,mg,False
V8,6,body size,mean wing length,mm,True
V8,6,body size (alate),mean wet mass,mg,False
V8,6,body size (apterous),mean wet mass,mg,False
V8,6,body size (alate nymph),mean wet mass,days,False
V8,6,body size (apterous nymph),mean wet mass,days,False
V8,6,body size (length),mean body length,mm,False
V8,6,body size (length),mean body length (adult),mm,False
V8,6,body size (mass),mean wet mass,mg,False
