OriginalTraitName,OriginalTraitDef,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
development time,duration of life stage,7,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development rate,mean duration of life stage,6,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
consumption rate,mean relative consumption rate,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
body size,mean body weight,19,4,7,5,3,6,6,6,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,3
weight loss,proportionate weight loss in relation to temperature and population,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mortality,time to 50% mortality,14,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
development time,mean duration of life cycle,8,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
feeding rate,mean lifetime feeding punctures,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
EIP (extrinsic incubation period),day sporozoites first detected in salivary glands,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oocyst prevalence,not stated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oocyst intensity,not stated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
sporozoite prevalence,not stated,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
copulation duration,mean copulation duration,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
hatchability,mean percentage of eggs hatching,21,12,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
prey consumption,mean number of prey consumed,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity rate,mean number of eggs individual-1 day-1,29,10,4,4,5,3,3,3,3,11,12,13,15,13,13,13,14,15,15,13
mortality rate,mean death rate during life stage,15,11,19,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
metabolic rate,mean CO2 production (VCO2) (RMR: resting metabolic rate),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parasite maturation time,mean duration time from infective feed to mature infection,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
interlarval period,mean frequency of larval production,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity rate,mean number of offspring per reproductive cycle,29,10,4,4,5,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
survival,probability of survival after exposure to extreme temperatures,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
metabolic rate,mean CO2 production rate as a function of exposure temperature and acclimation temperature (secondstressor),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabolic rate,mean CO2 production rate,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fat consumption rate,mean daily rate of fat consumption,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
pre-reproductive period,mean duration to production of first larva,23,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,mean lifetime eggs,30,10,4,4,5,3,3,3,3,10,11,10,10,12,11,11,10,10,10,10
blood feeding,mean lifetime blood feeds,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
metabolic rate (active),mean active metabolic rate (AMR),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
relative activity,amount of activity as a percentage of maximum recorded activity,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
metabolic rate,mean respiratory CO2 rate (RCO2),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabolic heat rate,mean metabolic heat rate (or 455RCO2),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anabolic rate,mean anabolic rate,3,0,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0
metabolic rate (resting),mean oxygen consumption of inactive individuals that produced fewer than 0.3 spikes/sec over several minutes of observation,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabolic rate,mean oxygen uptake rate,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metabolic rate (standard),mean CO2 production rate (VCO2),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gonotrophic cycle 1,individual-level duration of first gonotrophic cycle,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,2,2
gonotrophic cycle 2,individual-level duration of second gonotrophic cycle,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,2,2
fecundity,individual-level mean eggs per gonotrophic cycle,30,10,4,4,5,3,3,3,3,10,11,10,10,12,11,11,10,10,10,10
gonotrophic cycle,individual-level lifetime number of cycles completed,2,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,4,2,2
development time,individual-level duration of life stage,7,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
longevity,individual-level duration of life stage,9,16,18,14,14,13,14,17,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,-1
development rate,individual-level rate of life stage completion,6,15,15,12,15,15,18,18,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
body size,individual-level mass,19,4,7,5,3,6,6,6,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
body size,individual-level wet mass,19,4,7,5,3,6,6,6,5,3,5,4,5,5,4,4,4,3,4,4
viral load,individual-level viral load,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
recovery time,individual-level duration to recover movement after exposure to extreme temperature,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mortality rate,individual-level per capita daily rate of mortality,15,-1,19,15,11,11,13,15,13,8,9,9,9,9,12,12,11,11,11,11
survival,individual-level binomial survival,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,-1,9,-1,-1,-1,-1,11,-1
juvenile life span,individual-level duration from hatching to death or adult eclosion,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
fecundity,individual-level lifetime eggs,30,10,4,4,5,3,3,3,3,10,11,10,10,12,11,11,10,10,10,10
bloodmeal weight,individual-level weight of bloodmeal,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
knockdown time,mean time for 50% knockdown of femelaes under exposure to deltamethrin concentration (see notes),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
incubation period,mean duration of egg incubation period (lay to hatching),4,9,11,16,16,14,11,11,14,19,20,21,18,20,21,18,17,18,17,20
development time,mean duration of larval attachment developmental phase,7,15,15,12,15,15,18,18,19,25,25,25,25,23,24,23,23,23,23,23
premolt period (nymphal),mean duration of nymphal premolting phase,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
feeding time,mean duration of adult female feeding developmental phase,22,18,-1,17,18,17,16,13,16,18,19,19,20,18,18,20,18,17,18,17
preoviposition period,mean duration of prereproductive period (end of feeding until oviposition),27,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
ovipositional period,mean duration of reproductive period,28,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
body size,mean wet mass on the day feeding was completed,19,4,7,7,6,7,7,7,7,6,7,7,7,7,-1,7,7,7,7,7
weight loss,nymphal weight loss during molting stage,5,3,3,3,4,5,4,4,4,5,6,6,6,3,6,5,5,5,6,6
egg size,mean weight of egg mass produced by adult female ticks,10,-1,-1,7,6,7,7,7,7,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conversion efficiency index,percentage of adult female weight post feeding that was converted into egg mass,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
premolt period (larval),mean duration of larval premolting phase,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
molting time,mean duration of nymphal molting phase,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
survival rate,percentage of ticks that survived the larval stage,16,14,17,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
survival rate,percentage of ticks that survived the larval moult,16,14,17,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
survival time,mean survival time of fasting larvae,17,6,9,10,10,10,10,9,9,12,10,15,13,11,10,9,9,9,9,9
body size,mean weight of nymphs post-feeding,19,4,7,7,6,7,7,7,7,6,7,7,7,7,9,7,7,7,7,7
premolt period (nymphal),mean time to complete nymphal moulting,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
survival rate,percentage of ticks that survived the nymphal moult,16,14,17,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
sex ratio,ratio of male ticks to female ticks,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
feeding time,mean duration of feeding developmental phase,22,-1,-1,17,18,17,16,13,16,18,19,19,20,18,18,20,18,17,18,17
body size,mean body weight of engorged adult females,19,4,7,7,6,7,7,7,7,6,7,7,7,7,-1,7,7,7,-1,7
fecundity,mean lifetime eggs laid per female,31,10,4,4,5,3,3,3,3,15,15,11,11,15,16,15,12,12,14,14
body size,mean wet mass on the day feeding was completed (engorged),19,4,7,7,6,7,7,7,7,6,7,7,7,7,-1,7,7,-1,-1,7
survival rate,percentage of ticks that survived adult engorgement,16,14,17,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
fecundity,mean lifetime eggs produced by an individual female,30,10,4,4,5,3,3,3,3,15,15,11,11,15,16,15,12,12,14,14
survival rate,percentage of ticks that survived the nymphal stage,16,14,17,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
premolt period (larval),mean time to complete larval moulting,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
fertility,percentage of females that laid fertile eggs,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
oviposition failure,mean probability of failure to oviposit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
preoviposition period,mean duration of period before oviposition,27,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
ovipositional period,mean duration of ovipositional period,28,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
conversion efficiency index,total mg eggs produced divided by mg engorged weight,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
fecundity rate,mean weight of egg mass per day,29,10,4,4,5,3,3,3,3,15,15,11,11,15,16,15,12,12,14,14
fecundity,individual-level weight of lifetime eggs per individual,30,10,4,4,5,3,3,3,3,15,15,11,11,15,16,15,12,12,14,14
hatch rate,mean hatching rate of egg batches,21,12,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
incubation period,median time from oviposition to hatching,4,9,11,16,16,14,11,11,14,19,20,21,18,20,21,18,17,18,17,20
weight loss,cumulative weight loss across time (see notes for time intervals),5,-1,-1,3,4,5,4,4,4,5,6,6,6,3,6,5,5,5,6,6
development rate,mean development rate per day,6,-1,15,13,13,-1,15,16,17,20,17,17,17,19,17,16,16,16,16,16
egg mass,mean egg mass weight,10,4,8,7,6,7,7,7,7,6,7,7,7,7,8,7,7,7,7,7
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,-1,2,1,2,2,2,2,2,2,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
incubation period,time from start of oviposition until first eggs hatched,4,9,11,16,16,14,11,11,14,19,20,21,18,20,21,18,17,18,17,20
larval hatch rate,percentage of unfertilized eggs that were subsequently fertilized,21,-1,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
mortality,number of dead individuals per group,14,-1,-1,-1,-1,-1,-1,-1,11,9,13,-1,-1,10,-1,10,-1,-1,-1,-1
weight loss,mean weight loss,5,-1,-1,3,4,5,4,4,4,5,6,6,6,3,6,5,5,5,6,6
hatch rate,percentage of unfertilized eggs that were subsequently fertilized,21,12,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
feeding preference,mean number of individual ticks selecting to feed on human (see notes for %),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
survival rate,percent surviving to oviposition,16,-1,-1,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
preoviposition period,mean duration of life stage,27,17,14,20,20,19,20,20,21,23,23,20,21,21,22,21,21,21,19,21
hatch rate,percentage of egg masses producing larvae,21,12,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
development time,mean duration from when eggs were deposited to hatch,8,15,15,12,15,15,18,18,19,25,25,25,25,23,24,23,23,23,23,23
molt success rate (larval),percentage that molted,25,7,10,9,9,9,9,10,10,16,16,16,16,16,20,17,19,19,21,19
premolt period (larval),mean duration of life stage,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
molt success rate (nymphal),percentage that molted,25,7,10,9,9,9,9,10,10,16,16,16,16,16,20,17,19,19,21,19
premolt period,mean duration of life stage,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
premolt period (nymphal),mean duration of life stage,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
survival rate,percent surviving life stage,16,13,16,11,12,12,12,14,12,13,13,14,12,10,14,10,15,13,13,15
fecundity,total number of eggs produced,30,10,4,4,5,3,3,3,3,15,15,11,11,15,16,15,12,12,14,14
body mass,mean weight of female,20,-1,7,7,6,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
longevity,duration for 50% mortality,9,16,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
conversion efficiency,total number of eggs produced divided by engorged weight,0,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
incubation period,mean duration from oviposition to hatching,4,9,11,16,16,14,11,11,14,19,20,21,18,20,21,18,17,18,17,20
hatch ratio,hatching ratio of eggs,21,-1,12,6,8,4,5,5,6,4,3,5,3,6,5,6,6,6,5,5
molting period (larval),mean duration of life stage,26,18,-1,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
molting ratio (larval),percentage that molted during life stage,25,7,10,9,9,9,9,10,10,16,16,16,16,16,20,17,19,19,21,19
molting period (nymphal),mean duration of life stage,26,18,21,18,17,16,17,12,15,17,18,18,19,17,19,19,20,20,20,18
molting ratio (nymphal),percentage that molted during life stage,25,7,10,9,9,9,9,10,10,16,16,16,16,16,20,17,19,19,21,19
prefeeding period (larval),mean duration of life stage,22,18,20,17,18,17,16,13,16,18,19,19,20,18,18,20,18,17,18,17
