OriginalTraitName,OriginalTraitDef,OriginalTraitUnit,raw_record_count,ground_truth_decision,concept_label,measurement_subtype,data_quality_flag,decision_reason,V1,V2,V3,V4,V5,V6,V7,V8
fecundity,mean lifetime offspring as a function of size and adult and growth temperature,offspring individual-1,8,exclude,,excluded,,Mentions size/mass/length only as contextual information,30,10,4,4,5,3,3,3
fecundity rate,mean weight of egg mass per day,mg eggs day-1,18,exclude,,excluded,,Measures eggs or reproductive output rather than organism body size,29,10,4,4,5,3,3,3
feed conversion rate,ability to produce eggs relative to the weight at detachment of each engorged female,percent,30,exclude,,excluded,,Measures eggs or reproductive output rather than organism body size,-1,2,1,2,2,2,2,2
growth rate,mean daily growth rate (the product of ln pupal weight divided by larval development time),ln(mg day-1),72,exclude,,excluded,,Derived rate or efficiency rather than a direct size measurement,6,-1,-1,-1,-1,-1,-1,-1
growth rate,mean relative growth rate (ln(adult moult weight (ug)) - ln(birth wt (ug))/development time),ug ug-1 day-1,9,exclude,,excluded,,Derived rate or efficiency rather than a direct size measurement,6,-1,-1,-1,-1,-1,-1,-1
lipid content,median proportion of lipid content of the tick- calculated by (dried weight - lipid weight) / dried weight,NA,34,exclude,,excluded,,"Context, behaviour, composition or duration rather than body size",1,-1,-1,-1,-1,-1,-1,-1
longevity,mean duration of life stage as a function of body size,days,8,exclude,,excluded,,"Context, behaviour, composition or duration rather than body size",9,16,18,14,14,13,14,17
Questing Height,questing height -- Average (across 38 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,5,exclude,,excluded,,"Context, behaviour, composition or duration rather than body size",-1,-1,-1,-1,-1,-1,-1,-1
Questing Height,questing height -- Average (across 43 hours and interactor1number of ticks) mm from the lower end of the tube - measured along the length of the tube. Tube is at a 15* incline,mm,4,exclude,,excluded,,"Context, behaviour, composition or duration rather than body size",-1,-1,-1,-1,-1,-1,-1,-1
reproductive efficiency index,mean number of eggs per mg weight of engorged female,eggs individual-1 mg-1,6,exclude,,excluded,,Measures eggs or reproductive output rather than organism body size,-1,-1,1,2,2,2,2,2
reproductive efficiency index,ratio of lifetime eggs to engorged female weight,eggs individual-1 day-1,4,exclude,,excluded,,Measures eggs or reproductive output rather than organism body size,-1,2,1,2,2,2,2,2
starvation tolerance,individual-level starvation tolerance as a function of temperature and body size (interactor1size),days,164,exclude,,excluded,,"Context, behaviour, composition or duration rather than body size",-1,-1,-1,-1,-1,-1,-1,-1
weight,Mean egg mass,mg,4,exclude,,excluded,,Measures eggs or reproductive output rather than organism body size,11,4,8,7,6,7,7,7
Weight,Weight of eggs laid by an individual engorged female raised at constant temp,g,33,exclude,,excluded,,Measures eggs or reproductive output rather than organism body size,12,-1,-1,7,6,7,7,7
weight loss,cumulative weight loss across time (see notes for time intervals),percent,61,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,-1,-1,3,4,5,4,4
weight loss,mean weight loss,mg,30,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,-1,-1,3,4,5,4,4
weight loss,nymphal weight loss during molting stage,percent,12,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,3,3,3,4,5,4,4
weight loss,Percentage loss in body weight during female prefeeding period,percent,4,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,-1,-1,3,4,5,4,4
weight loss,Percentage loss in body weight during larval molting period,percent,4,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,3,3,3,4,5,4,4
weight loss,Percentage loss in body weight during larval prefeeding period,percent,4,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,3,3,3,4,5,4,4
weight loss,Percentage loss in body weight during nymphal molting period,percent,4,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,3,3,3,4,5,4,4
weight loss,Percentage loss in body weight during nymphal prefeeding period,percent,4,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,3,3,3,4,5,4,4
weight loss,proportionate weight loss in relation to temperature and population,proportion,72,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,-1,-1,-1,-1,-1,-1,-1
Weight loss,Weight loss of ticks exposed to dry air for 24 hours,percent,16,exclude,,excluded,,Measures change in weight rather than body size at a time point,5,-1,-1,3,-1,-1,-1,-1
