order_id,field_1,field_2,field_3,order_string,combination_key,completed,api_prompt_tokens,completed_at
37,def,family,order,def>family>order,def+order+family,TRUE,13749,2026-08-16 14:44:29
38,def,order,family,def>order>family,def+order+family,TRUE,13749,2026-08-16 14:44:32
39,family,def,order,family>def>order,def+order+family,TRUE,13749,2026-08-16 14:44:35
40,family,order,def,family>order>def,def+order+family,TRUE,13749,2026-08-16 14:44:38
41,order,def,family,order>def>family,def+order+family,TRUE,13749,2026-08-16 14:44:42
42,order,family,def,order>family>def,def+order+family,TRUE,13749,2026-08-16 14:44:45
43,def,order,phylum,def>order>phylum,def+order+phylum,TRUE,13404,2026-08-16 14:44:48
44,def,phylum,order,def>phylum>order,def+order+phylum,TRUE,13404,2026-08-16 14:44:51
45,order,def,phylum,order>def>phylum,def+order+phylum,TRUE,13404,2026-08-16 14:44:54
46,order,phylum,def,order>phylum>def,def+order+phylum,TRUE,13404,2026-08-16 14:44:56
47,phylum,def,order,phylum>def>order,def+order+phylum,TRUE,13404,2026-08-16 14:45:00
48,phylum,order,def,phylum>order>def,def+order+phylum,TRUE,13404,2026-08-16 14:45:03
49,def,order,stage,def>order>stage,def+order+stage,TRUE,11827,2026-08-16 14:45:06
50,def,stage,order,def>stage>order,def+order+stage,TRUE,11827,2026-08-16 14:45:09
51,order,def,stage,order>def>stage,def+order+stage,TRUE,11827,2026-08-16 14:45:13
52,order,stage,def,order>stage>def,def+order+stage,TRUE,11827,2026-08-16 14:45:16
53,stage,def,order,stage>def>order,def+order+stage,TRUE,11827,2026-08-16 14:45:18
54,stage,order,def,stage>order>def,def+order+stage,TRUE,11827,2026-08-16 14:45:22
55,class,def,stage,class>def>stage,def+stage+class,TRUE,11809,2026-08-16 14:45:25
56,class,stage,def,class>stage>def,def+stage+class,TRUE,11809,2026-08-16 14:45:28
57,def,class,stage,def>class>stage,def+stage+class,TRUE,11809,2026-08-16 14:45:31
58,def,stage,class,def>stage>class,def+stage+class,TRUE,11809,2026-08-16 14:45:35
59,stage,class,def,stage>class>def,def+stage+class,TRUE,11809,2026-08-16 14:45:38
60,stage,def,class,stage>def>class,def+stage+class,TRUE,11809,2026-08-16 14:45:40
61,def,phylum,stage,def>phylum>stage,def+stage+phylum,TRUE,12036,2026-08-16 14:45:44
62,def,stage,phylum,def>stage>phylum,def+stage+phylum,TRUE,12036,2026-08-16 14:45:47
63,phylum,def,stage,phylum>def>stage,def+stage+phylum,TRUE,12036,2026-08-16 14:45:50
64,phylum,stage,def,phylum>stage>def,def+stage+phylum,TRUE,12036,2026-08-16 14:45:53
65,stage,def,phylum,stage>def>phylum,def+stage+phylum,TRUE,12036,2026-08-16 14:45:56
66,stage,phylum,def,stage>phylum>def,def+stage+phylum,TRUE,12036,2026-08-16 14:46:00
67,class,def,unit,class>def>unit,def+unit+class,TRUE,11594,2026-08-16 14:46:03
68,class,unit,def,class>unit>def,def+unit+class,TRUE,11594,2026-08-16 14:46:06
69,def,class,unit,def>class>unit,def+unit+class,TRUE,11594,2026-08-16 14:46:09
70,def,unit,class,def>unit>class,def+unit+class,TRUE,11594,2026-08-16 14:46:12
71,unit,class,def,unit>class>def,def+unit+class,TRUE,11594,2026-08-16 14:46:15
72,unit,def,class,unit>def>class,def+unit+class,TRUE,11594,2026-08-16 14:46:18
73,def,family,unit,def>family>unit,def+unit+family,TRUE,12166,2026-08-16 14:46:21
74,def,unit,family,def>unit>family,def+unit+family,TRUE,12166,2026-08-16 14:46:25
75,family,def,unit,family>def>unit,def+unit+family,TRUE,12166,2026-08-16 14:46:28
76,family,unit,def,family>unit>def,def+unit+family,TRUE,12166,2026-08-16 14:46:31
77,unit,def,family,unit>def>family,def+unit+family,TRUE,12166,2026-08-16 14:46:34
78,unit,family,def,unit>family>def,def+unit+family,TRUE,12166,2026-08-16 14:46:36
79,def,order,unit,def>order>unit,def+unit+order,TRUE,11612,2026-08-16 14:46:39
80,def,unit,order,def>unit>order,def+unit+order,TRUE,11612,2026-08-16 14:46:42
81,order,def,unit,order>def>unit,def+unit+order,TRUE,11612,2026-08-16 14:46:45
82,order,unit,def,order>unit>def,def+unit+order,TRUE,11612,2026-08-16 14:46:48
83,unit,def,order,unit>def>order,def+unit+order,TRUE,11612,2026-08-16 14:46:51
84,unit,order,def,unit>order>def,def+unit+order,TRUE,11612,2026-08-16 14:46:54
85,def,phylum,unit,def>phylum>unit,def+unit+phylum,TRUE,11821,2026-08-16 14:46:57
86,def,unit,phylum,def>unit>phylum,def+unit+phylum,TRUE,11821,2026-08-16 14:47:00
87,phylum,def,unit,phylum>def>unit,def+unit+phylum,TRUE,11821,2026-08-16 14:47:03
88,phylum,unit,def,phylum>unit>def,def+unit+phylum,TRUE,11821,2026-08-16 14:47:05
89,unit,def,phylum,unit>def>phylum,def+unit+phylum,TRUE,11821,2026-08-16 14:47:09
90,unit,phylum,def,unit>phylum>def,def+unit+phylum,TRUE,11821,2026-08-16 14:47:12
91,def,stage,unit,def>stage>unit,def+unit+stage,TRUE,10244,2026-08-16 14:47:14
92,def,unit,stage,def>unit>stage,def+unit+stage,TRUE,10244,2026-08-16 14:47:17
93,stage,def,unit,stage>def>unit,def+unit+stage,TRUE,10244,2026-08-16 14:47:20
94,stage,unit,def,stage>unit>def,def+unit+stage,TRUE,10244,2026-08-16 14:47:23
95,unit,def,stage,unit>def>stage,def+unit+stage,TRUE,10244,2026-08-16 14:47:25
96,unit,stage,def,unit>stage>def,def+unit+stage,TRUE,10244,2026-08-16 14:47:28
97,class,family,phylum,class>family>phylum,family+class+phylum,TRUE,12508,2026-08-16 14:47:30
98,class,phylum,family,class>phylum>family,family+class+phylum,TRUE,12508,2026-08-16 14:47:33
99,family,class,phylum,family>class>phylum,family+class+phylum,TRUE,12508,2026-08-16 14:47:35
100,family,phylum,class,family>phylum>class,family+class+phylum,TRUE,12508,2026-08-16 14:47:37
101,phylum,class,family,phylum>class>family,family+class+phylum,TRUE,12508,2026-08-16 14:47:40
102,phylum,family,class,phylum>family>class,family+class+phylum,TRUE,12508,2026-08-16 14:47:42
103,class,family,stage,class>family>stage,family+stage+class,TRUE,10931,2026-08-16 14:47:45
104,class,stage,family,class>stage>family,family+stage+class,TRUE,10931,2026-08-16 14:47:47
105,family,class,stage,family>class>stage,family+stage+class,TRUE,10931,2026-08-16 14:47:52
106,family,stage,class,family>stage>class,family+stage+class,TRUE,10931,2026-08-16 14:47:54
107,stage,class,family,stage>class>family,family+stage+class,TRUE,10931,2026-08-16 14:47:57
108,stage,family,class,stage>family>class,family+stage+class,TRUE,10931,2026-08-16 14:48:00
109,family,phylum,stage,family>phylum>stage,family+stage+phylum,TRUE,11158,2026-08-16 14:48:02
110,family,stage,phylum,family>stage>phylum,family+stage+phylum,TRUE,11158,2026-08-16 14:48:05
111,phylum,family,stage,phylum>family>stage,family+stage+phylum,TRUE,11158,2026-08-16 14:48:08
112,phylum,stage,family,phylum>stage>family,family+stage+phylum,TRUE,11158,2026-08-16 14:48:10
113,stage,family,phylum,stage>family>phylum,family+stage+phylum,TRUE,11158,2026-08-16 14:48:13
114,stage,phylum,family,stage>phylum>family,family+stage+phylum,TRUE,11158,2026-08-16 14:48:15
115,class,name,phylum,class>name>phylum,name+class+phylum,TRUE,10783,2026-08-16 14:48:18
116,class,phylum,name,class>phylum>name,name+class+phylum,TRUE,10783,2026-08-16 14:48:21
117,name,class,phylum,name>class>phylum,name+class+phylum,TRUE,10783,2026-08-16 14:48:24
118,name,phylum,class,name>phylum>class,name+class+phylum,TRUE,10783,2026-08-16 14:48:28
119,phylum,class,name,phylum>class>name,name+class+phylum,TRUE,10783,2026-08-16 14:48:30
120,phylum,name,class,phylum>name>class,name+class+phylum,TRUE,10783,2026-08-16 14:48:34
121,class,def,name,class>def>name,name+def+class,TRUE,12006,2026-08-16 14:48:37
122,class,name,def,class>name>def,name+def+class,TRUE,12006,2026-08-16 14:48:40
123,def,class,name,def>class>name,name+def+class,TRUE,12006,2026-08-16 14:48:43
124,def,name,class,def>name>class,name+def+class,TRUE,12006,2026-08-16 14:48:47
125,name,class,def,name>class>def,name+def+class,TRUE,12006,2026-08-16 14:48:50
126,name,def,class,name>def>class,name+def+class,TRUE,12006,2026-08-16 14:48:53
127,def,family,name,def>family>name,name+def+family,TRUE,12578,2026-08-16 14:48:56
128,def,name,family,def>name>family,name+def+family,TRUE,12578,2026-08-16 14:48:59
129,family,def,name,family>def>name,name+def+family,TRUE,12578,2026-08-16 14:49:03
130,family,name,def,family>name>def,name+def+family,TRUE,12578,2026-08-16 14:49:06
131,name,def,family,name>def>family,name+def+family,TRUE,12578,2026-08-16 14:49:09
132,name,family,def,name>family>def,name+def+family,TRUE,12578,2026-08-16 14:49:12
133,def,name,order,def>name>order,name+def+order,TRUE,12024,2026-08-16 14:49:15
134,def,order,name,def>order>name,name+def+order,TRUE,12024,2026-08-16 14:49:19
135,name,def,order,name>def>order,name+def+order,TRUE,12024,2026-08-16 14:49:22
136,name,order,def,name>order>def,name+def+order,TRUE,12024,2026-08-16 14:49:25
137,order,def,name,order>def>name,name+def+order,TRUE,12024,2026-08-16 14:49:30
138,order,name,def,order>name>def,name+def+order,TRUE,12024,2026-08-16 14:49:33
139,def,name,phylum,def>name>phylum,name+def+phylum,TRUE,12233,2026-08-16 14:49:36
140,def,phylum,name,def>phylum>name,name+def+phylum,TRUE,12233,2026-08-16 14:49:39
141,name,def,phylum,name>def>phylum,name+def+phylum,TRUE,12233,2026-08-16 14:49:43
142,name,phylum,def,name>phylum>def,name+def+phylum,TRUE,12233,2026-08-16 14:49:47
143,phylum,def,name,phylum>def>name,name+def+phylum,TRUE,12233,2026-08-16 14:49:50
144,phylum,name,def,phylum>name>def,name+def+phylum,TRUE,12233,2026-08-16 14:49:54
145,def,name,stage,def>name>stage,name+def+stage,TRUE,10656,2026-08-16 14:49:57
146,def,stage,name,def>stage>name,name+def+stage,TRUE,10656,2026-08-16 14:50:00
147,name,def,stage,name>def>stage,name+def+stage,TRUE,10656,2026-08-16 14:50:03
148,name,stage,def,name>stage>def,name+def+stage,TRUE,10656,2026-08-16 14:50:07
149,stage,def,name,stage>def>name,name+def+stage,TRUE,10656,2026-08-16 14:50:10
150,stage,name,def,stage>name>def,name+def+stage,TRUE,10656,2026-08-16 14:50:13
151,class,family,name,class>family>name,name+family+class,TRUE,11128,2026-08-16 14:50:16
152,class,name,family,class>name>family,name+family+class,TRUE,11128,2026-08-16 14:50:19
153,family,class,name,family>class>name,name+family+class,TRUE,11128,2026-08-16 14:50:22
154,family,name,class,family>name>class,name+family+class,TRUE,11128,2026-08-16 14:50:26
155,name,class,family,name>class>family,name+family+class,TRUE,11128,2026-08-16 14:50:28
156,name,family,class,name>family>class,name+family+class,TRUE,11128,2026-08-16 14:50:31
157,family,name,phylum,family>name>phylum,name+family+phylum,TRUE,11355,2026-08-16 14:50:35
158,family,phylum,name,family>phylum>name,name+family+phylum,TRUE,11355,2026-08-16 14:50:38
159,name,family,phylum,name>family>phylum,name+family+phylum,TRUE,11355,2026-08-16 14:50:41
160,name,phylum,family,name>phylum>family,name+family+phylum,TRUE,11355,2026-08-16 14:50:45
161,phylum,family,name,phylum>family>name,name+family+phylum,TRUE,11355,2026-08-16 14:50:48
162,phylum,name,family,phylum>name>family,name+family+phylum,TRUE,11355,2026-08-16 14:50:51
163,family,name,stage,family>name>stage,name+family+stage,TRUE,9778,2026-08-16 14:50:54
164,family,stage,name,family>stage>name,name+family+stage,TRUE,9778,2026-08-16 14:50:57
165,name,family,stage,name>family>stage,name+family+stage,TRUE,9778,2026-08-16 14:51:00
166,name,stage,family,name>stage>family,name+family+stage,TRUE,9778,2026-08-16 14:51:04
167,stage,family,name,stage>family>name,name+family+stage,TRUE,9778,2026-08-16 14:51:07
168,stage,name,family,stage>name>family,name+family+stage,TRUE,9778,2026-08-16 14:51:10
169,class,name,order,class>name>order,name+order+class,TRUE,10574,2026-08-16 14:51:13
170,class,order,name,class>order>name,name+order+class,TRUE,10574,2026-08-16 14:51:16
171,name,class,order,name>class>order,name+order+class,TRUE,10574,2026-08-16 14:51:19
172,name,order,class,name>order>class,name+order+class,TRUE,10574,2026-08-16 14:51:22
173,order,class,name,order>class>name,name+order+class,TRUE,10574,2026-08-16 14:51:25
174,order,name,class,order>name>class,name+order+class,TRUE,10574,2026-08-16 14:51:28
175,family,name,order,family>name>order,name+order+family,TRUE,11146,2026-08-16 14:51:31
176,family,order,name,family>order>name,name+order+family,TRUE,11146,2026-08-16 14:51:35
177,name,family,order,name>family>order,name+order+family,TRUE,11146,2026-08-16 14:51:38
178,name,order,family,name>order>family,name+order+family,TRUE,11146,2026-08-16 14:51:41
179,order,family,name,order>family>name,name+order+family,TRUE,11146,2026-08-16 14:51:45
180,order,name,family,order>name>family,name+order+family,TRUE,11146,2026-08-16 14:51:49
181,name,order,phylum,name>order>phylum,name+order+phylum,TRUE,10801,2026-08-16 14:51:52
182,name,phylum,order,name>phylum>order,name+order+phylum,TRUE,10801,2026-08-16 14:51:55
183,order,name,phylum,order>name>phylum,name+order+phylum,TRUE,10801,2026-08-16 14:51:58
184,order,phylum,name,order>phylum>name,name+order+phylum,TRUE,10801,2026-08-16 14:52:01
185,phylum,name,order,phylum>name>order,name+order+phylum,TRUE,10801,2026-08-16 14:52:06
186,phylum,order,name,phylum>order>name,name+order+phylum,TRUE,10801,2026-08-16 14:52:09
187,name,order,stage,name>order>stage,name+order+stage,TRUE,9224,2026-08-16 14:52:13
188,name,stage,order,name>stage>order,name+order+stage,TRUE,9224,2026-08-16 14:52:16
189,order,name,stage,order>name>stage,name+order+stage,TRUE,9224,2026-08-16 14:52:19
190,order,stage,name,order>stage>name,name+order+stage,TRUE,9224,2026-08-16 14:52:22
191,stage,name,order,stage>name>order,name+order+stage,TRUE,9224,2026-08-16 14:52:34
192,stage,order,name,stage>order>name,name+order+stage,TRUE,9224,2026-08-16 14:52:37
193,class,name,stage,class>name>stage,name+stage+class,TRUE,9206,2026-08-16 14:52:40
194,class,stage,name,class>stage>name,name+stage+class,TRUE,9206,2026-08-16 14:52:43
195,name,class,stage,name>class>stage,name+stage+class,TRUE,9206,2026-08-16 14:52:46
196,name,stage,class,name>stage>class,name+stage+class,TRUE,9206,2026-08-16 14:52:49
197,stage,class,name,stage>class>name,name+stage+class,TRUE,9206,2026-08-16 14:52:52
198,stage,name,class,stage>name>class,name+stage+class,TRUE,9206,2026-08-16 14:52:55
199,name,phylum,stage,name>phylum>stage,name+stage+phylum,TRUE,9433,2026-08-16 14:52:58
200,name,stage,phylum,name>stage>phylum,name+stage+phylum,TRUE,9433,2026-08-16 14:53:01
201,phylum,name,stage,phylum>name>stage,name+stage+phylum,TRUE,9433,2026-08-16 14:53:13
202,phylum,stage,name,phylum>stage>name,name+stage+phylum,TRUE,9433,2026-08-16 14:53:15
203,stage,name,phylum,stage>name>phylum,name+stage+phylum,TRUE,9433,2026-08-16 14:53:19
204,stage,phylum,name,stage>phylum>name,name+stage+phylum,TRUE,9433,2026-08-16 14:53:21
205,class,name,unit,class>name>unit,name+unit+class,TRUE,8991,2026-08-16 14:53:24
206,class,unit,name,class>unit>name,name+unit+class,TRUE,8991,2026-08-16 14:53:27
207,name,class,unit,name>class>unit,name+unit+class,TRUE,8991,2026-08-16 14:53:30
208,name,unit,class,name>unit>class,name+unit+class,TRUE,8991,2026-08-16 14:53:32
209,unit,class,name,unit>class>name,name+unit+class,TRUE,8991,2026-08-16 14:53:35
210,unit,name,class,unit>name>class,name+unit+class,TRUE,8991,2026-08-16 14:53:38
211,family,name,unit,family>name>unit,name+unit+family,TRUE,9563,2026-08-16 14:53:41
212,family,unit,name,family>unit>name,name+unit+family,TRUE,9563,2026-08-16 14:53:51
213,name,family,unit,name>family>unit,name+unit+family,TRUE,9563,2026-08-16 14:53:54
214,name,unit,family,name>unit>family,name+unit+family,TRUE,9563,2026-08-16 14:53:57
215,unit,family,name,unit>family>name,name+unit+family,TRUE,9563,2026-08-16 14:54:00
216,unit,name,family,unit>name>family,name+unit+family,TRUE,9563,2026-08-16 14:54:03
217,name,order,unit,name>order>unit,name+unit+order,TRUE,9009,2026-08-16 14:54:06
218,name,unit,order,name>unit>order,name+unit+order,TRUE,9009,2026-08-16 14:54:09
219,order,name,unit,order>name>unit,name+unit+order,TRUE,9009,2026-08-16 14:54:11
220,order,unit,name,order>unit>name,name+unit+order,TRUE,9009,2026-08-16 14:54:14
221,unit,name,order,unit>name>order,name+unit+order,TRUE,9009,2026-08-16 14:54:17
222,unit,order,name,unit>order>name,name+unit+order,TRUE,9009,2026-08-16 14:54:20
223,name,phylum,unit,name>phylum>unit,name+unit+phylum,TRUE,9218,2026-08-16 14:54:23
224,name,unit,phylum,name>unit>phylum,name+unit+phylum,TRUE,9218,2026-08-16 14:54:26
225,phylum,name,unit,phylum>name>unit,name+unit+phylum,TRUE,9218,2026-08-16 14:54:28
226,phylum,unit,name,phylum>unit>name,name+unit+phylum,TRUE,9218,2026-08-16 14:54:31
227,unit,name,phylum,unit>name>phylum,name+unit+phylum,TRUE,9218,2026-08-16 14:54:34
228,unit,phylum,name,unit>phylum>name,name+unit+phylum,TRUE,9218,2026-08-16 14:54:37
229,name,stage,unit,name>stage>unit,name+unit+stage,TRUE,7641,2026-08-16 14:54:40
230,name,unit,stage,name>unit>stage,name+unit+stage,TRUE,7641,2026-08-16 14:54:43
231,stage,name,unit,stage>name>unit,name+unit+stage,TRUE,7641,2026-08-16 14:54:46
232,stage,unit,name,stage>unit>name,name+unit+stage,TRUE,7641,2026-08-16 14:55:09
233,unit,name,stage,unit>name>stage,name+unit+stage,TRUE,7641,2026-08-16 14:55:12
234,unit,stage,name,unit>stage>name,name+unit+stage,TRUE,7641,2026-08-16 14:55:15
235,class,order,phylum,class>order>phylum,order+class+phylum,TRUE,11954,2026-08-16 14:55:17
236,class,phylum,order,class>phylum>order,order+class+phylum,TRUE,11954,2026-08-16 14:55:20
237,order,class,phylum,order>class>phylum,order+class+phylum,TRUE,11954,2026-08-16 14:55:22
238,order,phylum,class,order>phylum>class,order+class+phylum,TRUE,11954,2026-08-16 14:55:25
239,phylum,class,order,phylum>class>order,order+class+phylum,TRUE,11954,2026-08-16 14:55:28
240,phylum,order,class,phylum>order>class,order+class+phylum,TRUE,11954,2026-08-16 14:55:30
241,class,family,order,class>family>order,order+family+class,TRUE,12299,2026-08-16 14:55:33
242,class,order,family,class>order>family,order+family+class,TRUE,12299,2026-08-16 14:55:35
243,family,class,order,family>class>order,order+family+class,TRUE,12299,2026-08-16 14:55:37
244,family,order,class,family>order>class,order+family+class,TRUE,12299,2026-08-16 14:55:40
245,order,class,family,order>class>family,order+family+class,TRUE,12299,2026-08-16 14:55:42
246,order,family,class,order>family>class,order+family+class,TRUE,12299,2026-08-16 14:55:44
247,family,order,phylum,family>order>phylum,order+family+phylum,TRUE,12526,2026-08-16 14:55:47
248,family,phylum,order,family>phylum>order,order+family+phylum,TRUE,12526,2026-08-16 14:55:49
249,order,family,phylum,order>family>phylum,order+family+phylum,TRUE,12526,2026-08-16 14:55:51
250,order,phylum,family,order>phylum>family,order+family+phylum,TRUE,12526,2026-08-16 14:55:54
251,phylum,family,order,phylum>family>order,order+family+phylum,TRUE,12526,2026-08-16 14:55:57
252,phylum,order,family,phylum>order>family,order+family+phylum,TRUE,12526,2026-08-16 14:55:59
253,family,order,stage,family>order>stage,order+family+stage,TRUE,10949,2026-08-16 14:56:02
254,family,stage,order,family>stage>order,order+family+stage,TRUE,10949,2026-08-16 14:56:04
255,order,family,stage,order>family>stage,order+family+stage,TRUE,10949,2026-08-16 14:56:07
256,order,stage,family,order>stage>family,order+family+stage,TRUE,10949,2026-08-16 14:56:10
257,stage,family,order,stage>family>order,order+family+stage,TRUE,10949,2026-08-16 14:56:13
258,stage,order,family,stage>order>family,order+family+stage,TRUE,10949,2026-08-16 14:56:15
259,class,order,stage,class>order>stage,order+stage+class,TRUE,10377,2026-08-16 14:56:18
260,class,stage,order,class>stage>order,order+stage+class,TRUE,10377,2026-08-16 14:56:21
261,order,class,stage,order>class>stage,order+stage+class,TRUE,10377,2026-08-16 14:56:24
262,order,stage,class,order>stage>class,order+stage+class,TRUE,10377,2026-08-16 14:56:27
263,stage,class,order,stage>class>order,order+stage+class,TRUE,10377,2026-08-16 14:56:29
264,stage,order,class,stage>order>class,order+stage+class,TRUE,10377,2026-08-16 14:56:32
265,order,phylum,stage,order>phylum>stage,order+stage+phylum,TRUE,10604,2026-08-16 14:56:35
266,order,stage,phylum,order>stage>phylum,order+stage+phylum,TRUE,10604,2026-08-16 14:56:37
267,phylum,order,stage,phylum>order>stage,order+stage+phylum,TRUE,10604,2026-08-16 14:57:10
268,phylum,stage,order,phylum>stage>order,order+stage+phylum,TRUE,10604,2026-08-16 14:57:13
269,stage,order,phylum,stage>order>phylum,order+stage+phylum,TRUE,10604,2026-08-16 14:57:16
270,stage,phylum,order,stage>phylum>order,order+stage+phylum,TRUE,10604,2026-08-16 14:57:18
271,class,phylum,stage,class>phylum>stage,stage+class+phylum,TRUE,10586,2026-08-16 14:57:21
272,class,stage,phylum,class>stage>phylum,stage+class+phylum,TRUE,10586,2026-08-16 14:57:24
273,phylum,class,stage,phylum>class>stage,stage+class+phylum,TRUE,10586,2026-08-16 14:57:27
274,phylum,stage,class,phylum>stage>class,stage+class+phylum,TRUE,10586,2026-08-16 14:57:29
275,stage,class,phylum,stage>class>phylum,stage+class+phylum,TRUE,10586,2026-08-16 14:57:32
276,stage,phylum,class,stage>phylum>class,stage+class+phylum,TRUE,10586,2026-08-16 14:57:35
277,class,phylum,unit,class>phylum>unit,unit+class+phylum,TRUE,10371,2026-08-16 14:57:38
278,class,unit,phylum,class>unit>phylum,unit+class+phylum,TRUE,10371,2026-08-16 14:57:41
279,phylum,class,unit,phylum>class>unit,unit+class+phylum,TRUE,10371,2026-08-16 14:57:44
280,phylum,unit,class,phylum>unit>class,unit+class+phylum,TRUE,10371,2026-08-16 14:57:46
281,unit,class,phylum,unit>class>phylum,unit+class+phylum,TRUE,10371,2026-08-16 14:57:50
282,unit,phylum,class,unit>phylum>class,unit+class+phylum,TRUE,10371,2026-08-16 14:57:52
283,class,family,unit,class>family>unit,unit+family+class,TRUE,10716,2026-08-16 14:57:55
284,class,unit,family,class>unit>family,unit+family+class,TRUE,10716,2026-08-16 14:57:58
285,family,class,unit,family>class>unit,unit+family+class,TRUE,10716,2026-08-16 14:58:01
286,family,unit,class,family>unit>class,unit+family+class,TRUE,10716,2026-08-16 14:58:04
287,unit,class,family,unit>class>family,unit+family+class,TRUE,10716,2026-08-16 14:58:08
288,unit,family,class,unit>family>class,unit+family+class,TRUE,10716,2026-08-16 14:58:11
289,family,phylum,unit,family>phylum>unit,unit+family+phylum,TRUE,10943,2026-08-16 14:58:14
290,family,unit,phylum,family>unit>phylum,unit+family+phylum,TRUE,10943,2026-08-16 14:58:16
291,phylum,family,unit,phylum>family>unit,unit+family+phylum,TRUE,10943,2026-08-16 14:58:19
292,phylum,unit,family,phylum>unit>family,unit+family+phylum,TRUE,10943,2026-08-16 14:58:22
293,unit,family,phylum,unit>family>phylum,unit+family+phylum,TRUE,10943,2026-08-16 14:58:29
294,unit,phylum,family,unit>phylum>family,unit+family+phylum,TRUE,10943,2026-08-16 14:58:33
295,family,stage,unit,family>stage>unit,unit+family+stage,TRUE,9366,2026-08-16 14:58:36
296,family,unit,stage,family>unit>stage,unit+family+stage,TRUE,9366,2026-08-16 14:58:39
297,stage,family,unit,stage>family>unit,unit+family+stage,TRUE,9366,2026-08-16 14:58:42
298,stage,unit,family,stage>unit>family,unit+family+stage,TRUE,9366,2026-08-16 14:58:45
299,unit,family,stage,unit>family>stage,unit+family+stage,TRUE,9366,2026-08-16 14:58:47
300,unit,stage,family,unit>stage>family,unit+family+stage,TRUE,9366,2026-08-16 14:58:50
301,class,order,unit,class>order>unit,unit+order+class,TRUE,10162,2026-08-16 14:58:53
302,class,unit,order,class>unit>order,unit+order+class,TRUE,10162,2026-08-16 14:58:55
303,order,class,unit,order>class>unit,unit+order+class,TRUE,10162,2026-08-16 14:58:58
304,order,unit,class,order>unit>class,unit+order+class,TRUE,10162,2026-08-16 14:59:01
305,unit,class,order,unit>class>order,unit+order+class,TRUE,10162,2026-08-16 14:59:05
306,unit,order,class,unit>order>class,unit+order+class,TRUE,10162,2026-08-16 14:59:09
307,family,order,unit,family>order>unit,unit+order+family,TRUE,10734,2026-08-16 14:59:12
